p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.087264482636173e-6,0.34212466667498864,0.405,0.289,0.12756367342296848,IEG-High Microglia,Tbc1d16
7.1004630293547896e-6,0.6423911956733415,0.206,0.131,0.12780123406535684,IEG-High Microglia,Fbxo33
8.636943031805485e-6,0.5397901881103947,0.208,0.133,0.15545633762946692,IEG-High Microglia,Ern1
9.534772058473218e-6,0.3856002393760287,0.288,0.194,0.17161636228045946,IEG-High Microglia,Lmbrd1
9.673222167250763e-6,0.4714140375056226,0.221,0.144,0.17410832578834648,IEG-High Microglia,P4hb
9.731084948324644e-6,0.3070349865716293,0.42,0.311,0.17514979798489527,IEG-High Microglia,Fnip2
1.1409012462201795e-5,0.4446675002213974,0.214,0.137,0.20535081530717011,IEG-High Microglia,Ucp2
1.1493729751036368e-5,0.33207756459715343,0.498,0.378,0.20687564178890358,IEG-High Microglia,Hnrnpu
1.1872033768026948e-5,0.3242424976245202,0.452,0.341,0.21368473579071703,IEG-High Microglia,Top1
1.2845800547762397e-5,0.6495045452467971,0.106,0.056,0.23121156405917537,IEG-High Microglia,Hnrnpab
1.2931632415049015e-5,0.41700631966844404,0.188,0.115,0.23275645183846722,IEG-High Microglia,Gm49797
1.3655144571920106e-5,0.5155022853042601,0.104,0.054,0.24577894714999,IEG-High Microglia,Nprl3
1.3831030917917501e-5,0.7769981827881973,0.106,0.056,0.2489447254915971,IEG-High Microglia,Slc7a6os
1.4113886834173012e-5,0.5134134508408358,0.186,0.114,0.25403584912828003,IEG-High Microglia,Bcl2l11
1.4555088579188406e-5,0.38554057981864837,0.268,0.181,0.2619770393368121,IEG-High Microglia,Elmsan1
1.540007255348992e-5,0.4894536729119081,0.141,0.081,0.2771859058902651,IEG-High Microglia,Zfp991
1.688884688510116e-5,0.5968457327452708,0.193,0.122,0.3039823550849358,IEG-High Microglia,Aplp2
1.773695402617849e-5,0.7309186953305853,0.108,0.058,0.3192474355171866,IEG-High Microglia,Napa
1.81266550920527e-5,0.25528441220022136,0.426,0.313,0.32626166500185655,IEG-High Microglia,Ehd4
1.9269855860589984e-5,0.29521464946895004,0.468,0.351,0.3468381356347591,IEG-High Microglia,Rsrc2
1.961335208920346e-5,0.6026208031211355,0.119,0.066,0.35302072425357306,IEG-High Microglia,Wbp2
2.1162121435521034e-5,0.2661384238317006,0.574,0.443,0.3808970237179431,IEG-High Microglia,Tbc1d9
2.129963646124926e-5,0.34474981849416264,0.461,0.355,0.3833721566660254,IEG-High Microglia,Hnrnpc
2.1864746042481047e-5,0.34531988012322967,0.333,0.235,0.39354356401861634,IEG-High Microglia,Slc3a2
2.359395718486396e-5,0.3463672053649657,0.277,0.187,0.4246676353703664,IEG-High Microglia,Fscn1
2.426588787125121e-5,0.2979681863943694,0.407,0.302,0.4367617157946505,IEG-High Microglia,Plgrkt
2.6670621161302343e-5,0.42517304060693545,0.165,0.1,0.4800445102822809,IEG-High Microglia,Slc15a4
3.1684195326202576e-5,0.33323144019591977,0.357,0.259,0.5702838316763201,IEG-High Microglia,Usp2
3.180608276567209e-5,0.3992508785018013,0.34,0.247,0.5724776836993319,IEG-High Microglia,Mapkap1
3.4603568298386927e-5,0.5793119733654598,0.201,0.132,0.6228296258026663,IEG-High Microglia,Traf3
3.464707045885422e-5,0.6125120449436552,0.106,0.058,0.6236126211889171,IEG-High Microglia,Ube2a
3.4840779184995204e-5,0.6948061856263238,0.208,0.138,0.6270991845507287,IEG-High Microglia,Slc37a2
3.645389856862261e-5,0.5088414741919626,0.13,0.075,0.6561337203366384,IEG-High Microglia,Gpr137b
3.713414403781873e-5,0.2590011190785648,0.504,0.381,0.6683774585366993,IEG-High Microglia,Fat3
3.913645818423978e-5,0.6560051406311784,0.139,0.083,0.7044171108581319,IEG-High Microglia,Coq10b
4.2109572994341813e-5,0.6443569024658423,0.117,0.066,0.7579302043251583,IEG-High Microglia,Dazap2
4.285088199263178e-5,0.4564464152260179,0.16,0.099,0.7712730249853794,IEG-High Microglia,Snx3
4.5728325645678764e-5,0.2523823622649125,0.387,0.288,0.8230641332965721,IEG-High Microglia,Jarid2
4.652543175537586e-5,0.5129448690248476,0.121,0.069,0.8374112461650102,IEG-High Microglia,A930007I19Rik
4.655591448437794e-5,0.46326674687681857,0.227,0.153,0.8379599048043186,IEG-High Microglia,Cep120
4.861270614401512e-5,0.25442876245785495,0.632,0.514,0.8749800978861282,IEG-High Microglia,Lims1
5.104822839050384e-5,0.2525609262238256,0.242,0.163,0.9188170628006787,IEG-High Microglia,Zfp654
5.24390333165348e-5,0.46631501269880127,0.154,0.094,0.9438501606643098,IEG-High Microglia,March3
5.410902188300827e-5,0.38681909344087373,0.175,0.11,0.9739082848722659,IEG-High Microglia,Hdac1
5.6075559696698196e-5,0.29828458264015023,0.21,0.137,1,IEG-High Microglia,Tug1
