avg.exp,pct.exp,features.plot,id,avg.exp.scaled,avg.exp.mm,pct.exp.plot
20.567607985542054,93.51789331532748,P2ry12,Homeostatic Microglia,0.9836492227263635,1,93.51789331532748
9.17270829197365,75.016880486158,Fcrls,Homeostatic Microglia,0.938445695125596,0.9649771743266506,75.016880486158
8.612091804984432,74.44294395678595,Gpr34,Homeostatic Microglia,1.1522223932669846,1,74.44294395678595
2.485576215727922,19.20999324780554,Rgs1,Homeostatic Microglia,0.2766403152238214,0.40142533079061554,19.20999324780554
1.451629380374045,21.573261309925726,Ier5,Homeostatic Microglia,-0.0662784729100596,0.24453826596920375,21.573261309925726
1.4682663351821432,19.041188386225524,Sox4,Homeostatic Microglia,0.48218650385280054,0.4594066353393071,19.041188386225524
0.9119679023707734,13.200540175557057,Ccl12,Homeostatic Microglia,-0.7244608059148767,0.046292775025488245,13.200540175557057
0.5725677487749267,8.710330857528698,Gm4951,Homeostatic Microglia,-0.5418640312820493,0.06535812058981069,8.710330857528698
0.3486567026450099,5.570560432140446,Ifi204,Homeostatic Microglia,-0.6944243977932175,0.019895356391387724,5.570560432140446
97.07601817863797,99.932478055368,Cst3,Homeostatic Microglia,0.9104705297857613,0.7450526816637086,99.932478055368
50.39462413688873,99.76367319378798,Hexb,Homeostatic Microglia,0.8781697543392805,1,99.76367319378798
45.23432057158495,99.39230249831195,Tanc2,Homeostatic Microglia,0.72159088695407,0.9407075894990943,99.39230249831195
27.366649758482158,95.50979068197164,mt-Cytb,Homeostatic Microglia,-0.5304375926215434,0.18326402288447724,95.50979068197164
26.37554652593883,94.9020931802836,mt-Nd1,Homeostatic Microglia,-0.6529975320295076,0.1654571190233841,94.9020931802836
23.82482612207434,92.97771775827144,mt-Nd2,Homeostatic Microglia,-0.4717019896369479,0.16791670241827392,92.97771775827144
17.728521042606594,95.02590673575129,P2ry12,Transiently Activated Microglia,0.7737727926216539,0.839952137067,95.02590673575129
