"condition","antigen","infected_region","side_of_slide","region","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","Slide","ROI_number","sample_id","infection_region","infection_region_simple","ROI (Label)","region_annotation","segment","UMAP1","UMAP2","Condition","Antigen_status"
"HSV","HSV1 negative","Uninfected","bottom","tract",1.84075001243188,2.15466359703047,"5_WTA",7,"DSP-1001660019915-A-C04.dcc","Uninfected","Uninfected","007","TG","negative",-0.689441476047311,1.899619392258,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",1.83317574133837,2.13471236125347,"5_WTA",8,"DSP-1001660019915-A-C05.dcc","Uninfected","Uninfected","008","TG","negative",-0.614082236464468,1.18436593727456,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",1.65293904723306,2.17692742825212,"5_WTA",9,"DSP-1001660019915-A-C07.dcc","Uninfected","Uninfected","009","TG","negative",-1.11879015439306,-0.130998054977218,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",2.06592573153813,2.07829722273299,"5_WTA",10,"DSP-1001660019915-A-C08.dcc","Uninfected","Uninfected","010","TG","negative",0.623059729248034,1.9874436186017,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.60704097124683,2.20548011222694,"5_WTA",11,"DSP-1001660019915-A-C09.dcc","Uninfected","Uninfected","011","TG","negative",-0.352822357393435,-0.223151888383751,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.54601928365042,2.33787724928165,"5_WTA",12,"DSP-1001660019915-A-C10.dcc","Uninfected","Uninfected","012","TG","negative",0.160111037012342,0.0198820870638903,"HSV-1","Uninfected"
"HSV","HSV1 positive","Infected","top","tract",1.50423087315426,2.26192895345597,"5_WTA",13,"DSP-1001660019915-A-C11.dcc","Infected","Infected","013","TN","positive",0.439659022014754,0.344621458620247,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","tract",2.04560025539606,2.07088791563752,"5_WTA",14,"DSP-1001660019915-A-C12.dcc","Infected","Infected","014","TN","positive",0.002156366957482,2.05916196478045,"HSV-1","Infected"
"HSV","HSV1 negative","Infected","top","tract",13.1361467788105,1.39467699432996,"5_WTA",15,"DSP-1001660019915-A-D01.dcc","Infected","Infected","015","TN","negative",0.652633551334073,2.75188238519799,"HSV-1","Infected"
"HSV","HSV1 negative","Infected","top","nuclei",1.84687641826997,2.10387941856066,"5_WTA",16,"DSP-1001660019915-A-D02.dcc","Infected","Infected","016","TN","negative",-1.08635644364117,1.17739988199269,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","nuclei",2.06237368086062,2.2155568931534,"5_WTA",17,"DSP-1001660019915-A-D03.dcc","Infected","Infected","017","TN","positive",0.700771284597103,1.64791652678958,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","nuclei",2.32211986192668,2.11127855951543,"5_WTA",18,"DSP-1001660019915-A-D04.dcc","Infected","Infected","018","TN","positive",1.06597184024411,1.59255293256497,"HSV-1","Infected"
"HSV","HSV1 negative","Uninfected","bottom","tract",2.29737075946587,2.21084627566975,"5_WTA",19,"DSP-1001660019915-A-D05.dcc","Uninfected","Uninfected","019","TN","negative",1.44232716516337,2.09460124362033,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",2.05835131683417,2.19294798091177,"5_WTA",20,"DSP-1001660019915-A-D06.dcc","Uninfected","Uninfected","020","TN","negative",0.731135081221949,2.10856653682526,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",2.01849229104239,2.26287817434958,"5_WTA",21,"DSP-1001660019915-A-D07.dcc","Uninfected","Uninfected","021","TN","negative",1.28179872354228,1.84862327426863,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.53917174794258,2.19214519815181,"5_WTA",22,"DSP-1001660019915-A-D08.dcc","Uninfected","Uninfected","022","TN","negative",-0.747932001597761,-1.58920228438609,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.09954258570195,2.19478311163286,"5_WTA",23,"DSP-1001660019915-A-D12.dcc","Uninfected","Uninfected","023","TN","negative",-0.549897983582986,-2.0959304381283,"HSV-1","Uninfected"
