"log2foldchange","p.value","FDR","gene"
0.225066555634773,0.820860512670435,0.893896544319853,"0610009B22Rik"
0.273833806686318,0.491351749454103,0.663983456715597,"Sanbr"
0.600644122953426,0.0324248442464578,0.235969646681659,"0610010K14Rik"
0.263034405833794,0.49155643927038,0.664125187188855,"0610012G03Rik"
0.332899212708365,0.12426693674836,0.349826059987416,"0610030E20Rik"
0.386633784275178,0.524540818038345,0.688375768173128,"0610040J01Rik"
0.451211111832329,0.679552119471289,0.801206036789668,"1110002E22Rik"
0.0473057147783571,0.172147660296837,0.398327962338403,"1110004F10Rik"
0.425021587851466,0.142978745039869,0.369375932937338,"Bbln"
0.363748270581989,0.239326969332765,0.463951164409894,"Eola1"
0.499715214102646,0.358814635629885,0.564083479341454,"1110017D15Rik"
0.584962500721157,0.00875426405168541,0.192692975301524,"1110025L11Rik"
0.372554167957331,0.259262269678966,0.480092154668973,"1110032A03Rik"
0.616375453352618,0.30665284642017,0.519253971653145,"1110032F04Rik"
0.192047812340453,0.320200987021125,0.531752557167923,"1110038F14Rik"
0.156868848616866,0.534332658882009,0.695895665234902,"1110051M20Rik"
0.00566875008669232,0.954184377698307,0.975531857978574,"1110059E24Rik"
0.363150757613876,0.418753994804361,0.610470112048832,"1110059G10Rik"
0.189477798863713,0.120254570644861,0.345498235350132,"1110065P20Rik"
0.222392421336448,0.37968376351786,0.580340527361678,"1190007I07Rik"
0.192645077942396,0.438134368717816,0.62427111123091,"1300017J02Rik"
1.14446942075964,0.320591782909784,0.532043857205852,"1500009C09Rik"
0.260000345744161,0.256010015600226,0.477926861630198,"1500009L16Rik"
0.130198723126701,0.426224786628731,0.615791617090895,"1520401A03Rik"
0.181997833742887,0.263612380186324,0.483349897426233,"1600012H06Rik"
0.303069067636046,0.692481647789094,0.810100890795261,"1600014C10Rik"
0.184424571137427,0.287107765337313,0.502476346805492,"1600014C23Rik"
0.289985202384608,0.743206019178299,0.843244749705677,"1700001C19Rik"
0.383328639551506,0.379336183079418,0.580119447426415,"1700001K19Rik"
0.40234677734266,0.004904110562255,0.184799733310565,"1700001L19Rik"
0.662418640801152,0.0778189536280983,0.299483700081762,"1700001O22Rik"
0.193823269139677,0.293169122001192,0.507082749622026,"1700001P01Rik"
0.241757746203379,0.62997159139869,0.766424482417153,"1700003E16Rik"
0.333609899934998,0.384960863917213,0.584397671739433,"1700003F12Rik"
0.298469122063374,0.0475702645751545,0.261647007931953,"1700003H04Rik"
0.379413589548123,0.760119083108827,0.854700452713254,"1700006A11Rik"
1.32192809488736,0.976926006722113,0.988331351244778,"1700007K13Rik"
0.445502780005895,0.0967305797449923,0.319374104014148,"1700008O03Rik"
0.24626382495529,0.517061615888716,0.682418775297226,"1700008P02Rik"
0.577185150129437,0.0646767394874967,0.281256638164258,"1700009N14Rik"
0.466876430798462,0.0420862750383549,0.253821915179693,"1700010B08Rik"
0.128048361293327,0.478960389607746,0.654863513517111,"1700010I14Rik"
0.206450877467426,0.635684051817038,0.770556536456868,"1700011L22Rik"
0.520154205093058,0.320649402278334,0.532043857205852,"1700012A03Rik"
0.736965594166206,0.00141453881560798,0.174888157011517,"1700012B07Rik"
0.245112497836532,0.698009863005875,0.813378245400577,"1700012B09Rik"
0.610433188237274,0.0322188535491418,0.235500825539352,"1700012P22Rik"
0.206450877467426,0.94272104741259,0.969053140451005,"1700013D24Rik"
0.247381141522308,0.954368798245683,0.975531857978574,"1700013F07Rik"
0.507483748043439,0.0330931163386642,0.236847270933756,"1700013G24Rik"
0.535634788357588,0.244881905856767,0.469039781684204,"1700013H16Rik"
0.51175265376738,0.227724503838321,0.451827506770756,"Pttg1ip2"
0.247381141522308,0.55993405502767,0.713751719600013,"1700015G11Rik"
0.37763752747365,0.493755305978466,0.665795995788782,"1700016C15Rik"
0.42428981251704,0.0575268499201804,0.273584378922944,"1700016D06Rik"
0.386058432307078,0.108713244429218,0.332536589840031,"1700016H13Rik"
0.40234677734266,0.0704778119364848,0.290366498877179,"1700016K19Rik"
0.413720570806853,0.114457947291546,0.338039583345738,"1700017B05Rik"
0.333609899934998,0.46328907574351,0.643261913472347,"1700017N19Rik"
0.228818690495881,0.291113861978925,0.505248006343681,"1700018B08Rik"
0.592017258255106,0.0285280283602863,0.230258012114203,"1700018F24Rik"
0.592575684831031,0.0362631297296864,0.243353265587969,"1700018G05Rik"
0.562936194391157,0.181451205296936,0.406763497102106,"1700019A02Rik"
0.423074818344262,0.300632897981092,0.513310166212004,"1700019D03Rik"
0.15200309344505,0.287794907576047,0.502973379883826,"1700019N19Rik"
0.67151253267759,0.0561873526244937,0.272890218980768,"1700020A23Rik"
0.74874276194256,0.00386382017978585,0.184410282806498,"Nscme3l"
0.259283157898366,0.0961432686397571,0.318736034586034,"1700020L24Rik"
0.204744555517023,0.140765037718462,0.367410000383882,"1700020N01Rik"
0.287439718502072,0.214853938018777,0.440545472705872,"1700020N15Rik"
0.356693513048039,0.215593525790965,0.441255225490459,"1700021F07Rik"
0.38003104945093,0.0853101401952628,0.306600148358619,"1700022I11Rik"
0.445310510392644,0.212225830181237,0.438099774245285,"1700024G13Rik"
0.418143410146666,0.0569162938637621,0.273378984145433,"1700024J04Rik"
0.247927513443586,0.352311516058328,0.558295029257469,"1700025C18Rik"
-0.132637768578119,0.305353764652593,0.518058120856286,"1700025G04Rik"
0.321928094887362,0.157221945149944,0.382926362748071,"1700028J19Rik"
0.428843298803874,0.20349149601837,0.429063598988305,"1700028K03Rik"
0.3474631869945,0.437038715621344,0.623674190589614,"1700028P14Rik"
0.268488835925902,0.434446984342814,0.621787207083181,"1700029F12Rik"
0.425432670641222,0.571913670919128,0.723298321014168,"1700029H14Rik"
0.473931188332412,0.656602391682645,0.785467546159822,"1700029I15Rik"
0.51765256576173,0.0608262957780597,0.276712515114318,"1700029J07Rik"
0.357261167999643,0.0159746777598058,0.21258561259533,"Ndufb11b"
0.62148837674627,0.00115559765952806,0.174888157011517,"1700030J22Rik"
0.391190757324476,0.738376065424955,0.841101518946186,"1700030K09Rik"
0.220999186036582,0.676015822069264,0.798860629201412,"1700031F05Rik"
-0.14017765804826,0.795681014957545,0.878066928577459,"1700034E13Rik"
0.514573172829758,0.0341393776762201,0.238784252688404,"1700034I23Rik"
-0.0141211082446526,0.829032353220553,0.900489500486912,"1700034J05Rik"
0.17417447444367,0.236952169791473,0.460824257858463,"1700037C18Rik"
0.687212558969106,0.00421233614023741,0.184799733310565,"1700037H04Rik"
0.409390936137702,0.0141790694110139,0.209872217356031,"P3r3urf"
0.386633784275178,0.57881196688126,0.72833109448334,"1700056E22Rik"
0.46948528330122,0.0771405057087248,0.298813774522505,"1700057G04Rik"
0.175086706558091,0.294275732357108,0.507628541683532,"1700066B19Rik"
0.0588936890535683,0.596205282714921,0.740686111608961,"1700066M21Rik"
0.499715214102646,0.278216303684913,0.495376571437081,"1700067K01Rik"
0.241008099503795,0.17541086906501,0.401462023420745,"1700067P10Rik"
0.123988717275454,0.561994593423207,0.714510927578757,"1700069L16Rik"
0.282933963271499,0.434762358739831,0.621952573109108,"Prss59"
0.376375878909738,0.0285365134451426,0.230258012114203,"1700084M14Rik"
0.607330313749611,0.00507838845093785,0.184799733310565,"1700086L19Rik"
0.0469210473874924,0.43378172462251,0.621259422971526,"1700088E04Rik"
0.18834494050877,0.710799038089496,0.822310399216063,"1700092M07Rik"
0.525461488972494,0.109340102541697,0.332796065157131,"1700093K21Rik"
0.0389941316158633,0.562074504937343,0.71456701487449,"1700094D03Rik"
0.68449817427207,0.149268518912063,0.375465999813836,"1700102P08Rik"
0.523561956057013,0.0955119050884569,0.31755640395999,"1700109H08Rik"
0.566346822553809,0.0101402949908136,0.196869286346045,"1700113H08Rik"
0.4260364982281,0.436670241789033,0.623396515422269,"1700122O11Rik"
0.698782400278319,0.0190334301728145,0.218144830555429,"1700123K08Rik"
0.556393348524385,0.0957885396612931,0.318047803282989,"1700123L14Rik"
-0.128104825747685,0.743771580664125,0.843493256062792,"1700123O20Rik"
0.361456459074,0.0206772194581524,0.218851206009998,"1700125H20Rik"
0.636438718212242,0.00100451667492046,0.174888157011517,"1700129C05Rik"
0.333243408115197,0.270489007130443,0.488768821737083,"1810009A15Rik"
0.471504450937872,0.0772923995660905,0.298813774522505,"1810009J06Rik"
0.333802195175654,0.482256247837469,0.657433532700373,"1810009N02Rik"
0.560087832082127,0.0440346150603602,0.257107349179962,"1810010H24Rik"
0.338229907216463,0.607325501374184,0.749453182231633,"1810013L24Rik"
0.332420468705005,0.221462778871059,0.446618223928303,"1810024B03Rik"
0.373458395527445,0.235581991549473,0.459291699903368,"1810030O07Rik"
0.0338027080907382,0.866640750362007,0.923251289290553,"1810037I17Rik"
0.199937570508752,0.67106274024168,0.795119780737469,"1810046K07Rik"
0.31194400631474,0.294060193172598,0.507628541683532,"1810055G02Rik"
0.263980745678083,0.140539613829121,0.367157671935208,"1810062G17Rik"
0.360402242701998,0.595786317627463,0.740551802151924,"1810065E05Rik"
0.44930740136359,0.00825472754624546,0.192606480311732,"2010003K11Rik"
0.344295907915817,0.689618475283406,0.807589112026713,"2010106E10Rik"
0.106539061288677,0.752596671836713,0.849543924632688,"2010109A12Rik"
0.293358942690592,0.230491481301786,0.454880452852019,"Cracdl"
0.45647021826619,0.0169243642765316,0.213285454348563,"2200002D01Rik"
0.657112286476991,0.0124804621315295,0.206492171486928,"2200002J24Rik"
0.20945336562895,0.84088889968337,0.90763733676586,"2210016F16Rik"
0.28926190596704,0.203377118074655,0.429063598988305,"2210016L21Rik"
0.175849835399418,0.322363103806719,0.532832017735342,"Lypd8l"
0.467778961350817,0.0814215664195741,0.302787427395342,"2210408I21Rik"
0.276980688833388,0.361299808262155,0.565667982159148,"2210418O10Rik"
0.557556343380504,0.0396288851547561,0.249707009299003,"2300002M23Rik"
0.063616099295972,0.55654531474941,0.711115507458729,"2300009A05Rik"
0.212303603712864,0.192226325549188,0.418453861571745,"2310002L09Rik"
0.0927940956718594,0.875994199896721,0.929340510852608,"2310009B15Rik"
0.398549376490275,0.454488046682311,0.636428002237211,"2310011J03Rik"
0.57748738015901,0.0362340153563687,0.243353265587969,"2310022A10Rik"
0.242701403736787,0.244121292364557,0.468440746973852,"2310022B05Rik"
0.367731784500487,0.081304438243094,0.302634591482147,"2310030G06Rik"
0.709409871645645,0.0537942807098249,0.269200659696547,"2310033P09Rik"
0.10350457575386,0.571575658076041,0.723008255909887,"2310034C09Rik"
0.0887289185943319,0.851536350166773,0.914498332640131,"2310034G01Rik"
0.401781402576577,0.885004891024927,0.936176300363435,"2310034P14Rik"
0.149975412098067,0.473438385660449,0.651283650648052,"2310039H08Rik"
0.204888673697143,0.404371167421466,0.599707076082266,"2310050C09Rik"
