"condition","antigen","infected_region","side_of_slide","region","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","Slide","ROI_number","Sample_ID","sample_id","infection_region","ROI_label","region_annotation","q3_value","q_norm_factor","UMAP1","UMAP2","Condition","Antigen_status"
"HSV","HSV1 positive","Infected","top","tract",1.7370267145505,2.19864042310913,"5_WTA",4,"DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C01.dcc","Infected","004","tract",3,1,-1.58613257029542,-1.15066891871828,"HSV-1","Infected"
"HSV","HSV1 negative","Infected","top","nuclei",1.80453340922983,2.16211952194943,"5_WTA",5,"DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C02.dcc","Infected","005","nuclei",3,1,1.21059187372857,0.0162121207194779,"HSV-1","Uninfected"
"HSV","HSV1 negative","Infected","top","nuclei",1.96418056909685,2.20806754852815,"5_WTA",6,"DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C03.dcc","Infected","006","nuclei",3,1,1.14835915250792,-0.562529652611942,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",1.84075001243188,2.15466359703047,"5_WTA",7,"DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C04.dcc","Uninfected","007","tract",3,1,2.14834448111917,-0.105486137778639,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",1.83317574133837,2.13471236125347,"5_WTA",8,"DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C05.dcc","Uninfected","008","tract",3,1,0.386559745963253,-0.942799450417004,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",1.65293904723306,2.17692742825212,"5_WTA",9,"DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C07.dcc","Uninfected","009","tract",3,1,1.46049183476556,0.0556049933819831,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",2.06592573153813,2.07829722273299,"5_WTA",10,"DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C08.dcc","Uninfected","010","nuclei",4,0.75,1.23172708032261,0.722449014054897,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.60704097124683,2.20548011222694,"5_WTA",11,"DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C09.dcc","Uninfected","011","nuclei",3,1,0.45472841225635,-0.495196555522904,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.54601928365042,2.33787724928165,"5_WTA",12,"DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C10.dcc","Uninfected","012","nuclei",3,1,-0.889323045257248,-0.712337143490725,"HSV-1","Uninfected"
"HSV","HSV1 positive","Infected","top","tract",1.50423087315426,2.26192895345597,"5_WTA",13,"DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C11.dcc","Infected","013","tract",3,1,-1.89042179328823,-0.961110809887234,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","tract",2.04560025539606,2.07088791563752,"5_WTA",14,"DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-C12.dcc","Infected","014","tract",3,1,-1.19852444106321,-1.32773745798987,"HSV-1","Infected"
"HSV","HSV1 negative","Infected","top","tract",13.1361467788105,1.39467699432996,"5_WTA",15,"DSP-1001660019915-A-D01.dcc","DSP-1001660019915-A-D01.dcc","Infected","015","tract",17,0.176470588235294,2.20655267255113,1.25402021533518,"HSV-1","Uninfected"
"HSV","HSV1 negative","Infected","top","nuclei",1.84687641826997,2.10387941856066,"5_WTA",16,"DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D02.dcc","Infected","016","nuclei",3,1,2.26443926803452,0.519473870648316,"HSV-1","Uninfected"
"HSV","HSV1 positive","Infected","top","nuclei",2.06237368086062,2.2155568931534,"5_WTA",17,"DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D03.dcc","Infected","017","nuclei",3,1,2.48184799659284,-0.29826109038693,"HSV-1","Infected"
"HSV","HSV1 positive","Infected","top","nuclei",2.32211986192668,2.11127855951543,"5_WTA",18,"DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D04.dcc","Infected","018","nuclei",3,1,2.03105260329959,-0.650605283319159,"HSV-1","Infected"
"HSV","HSV1 negative","Uninfected","bottom","tract",2.29737075946587,2.21084627566975,"5_WTA",19,"DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D05.dcc","Uninfected","019","tract",4,0.75,1.76397040571695,-0.363782487002948,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",2.05835131683417,2.19294798091177,"5_WTA",20,"DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D06.dcc","Uninfected","020","tract",3,1,1.64300751749132,-0.485237161977747,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","tract",2.01849229104239,2.26287817434958,"5_WTA",21,"DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D07.dcc","Uninfected","021","tract",4,0.75,1.717665122714,-0.967548145821614,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.53917174794258,2.19214519815181,"5_WTA",22,"DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D08.dcc","Uninfected","022","nuclei",3,1,1.97868329345376,1.09346382569113,"HSV-1","Uninfected"
"HSV","HSV1 negative","Uninfected","bottom","nuclei",1.09954258570195,2.19478311163286,"5_WTA",23,"DSP-1001660019915-A-D12.dcc","DSP-1001660019915-A-D12.dcc","Uninfected","023","nuclei",2,1.5,2.05608658577633,0.555827641375747,"HSV-1","Uninfected"
