"Gene","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A03.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D11.dcc","DSP-1001660019915-A-D12.dcc"
"0610009B22Rik",0,1.58496250072116,0,1,0,1,0,1.58496250072116,1.58496250072116,0,0,5,1,2,0,0,1,1.58496250072116,3.4594316186373,2.32192809488736,1,1,4.16992500144231,1,0,2.58496250072116,0,2.32192809488736,0,1.58496250072116,1.58496250072116,1.58496250072116,0,0,0,2.32192809488736,0,1,0,1,0,1,0
"Sanbr",0,0,0,0,1.58496250072116,0,1.58496250072116,0,0,1,1.58496250072116,4.4594316186373,1,0,0,1.58496250072116,0,0,1,0,1,1,3.70043971814109,0,1.58496250072116,0,0,1,1,1,0,1,1.58496250072116,1,0,0,0,0,1.58496250072116,0,0,1.58496250072116,0
"0610010K14Rik",0,0,1,0,0,0,0,1,0,0,1,4.4594316186373,0,1,0,1,1,0,0,0,2,1,3.70043971814109,0,1.58496250072116,1,0,0,1,1.58496250072116,0,0,1,1.58496250072116,0,1.58496250072116,0,1.58496250072116,2.32192809488736,1,2,0,0
"0610012G03Rik",1.58496250072116,1,0,1.58496250072116,0,0,1.58496250072116,1,2,2.32192809488736,0,4.39231742277876,2.32192809488736,1.58496250072116,1.58496250072116,1,0,0,1.58496250072116,0,1.58496250072116,2,3.70043971814109,0,0,0,0,1,0,1,1.58496250072116,0,1,0,0,0,0,2.8073549220576,2,2,1,0,0
"0610030E20Rik",0,0,0,1.58496250072116,1,0,0,0,1.58496250072116,1.58496250072116,2.32192809488736,4.75488750216347,0,0,0,0,1,1,1,1,1.58496250072116,0,3.32192809488736,1,0,1,0,1,0,0,2,0,0,1.58496250072116,0,1.58496250072116,1.58496250072116,1.58496250072116,1,1,0,0,0
"0610040J01Rik",0,0,0,0,0,0,0,1,1,1,0,4.24792751344359,0,0,0,1,0,0,1,0,0,0,3.32192809488736,0,1.58496250072116,1,0,1,1,1,1.58496250072116,0,0,2,0,0,0,1,0,0,0,1,0
"1110002E22Rik",0,0,0,1.58496250072116,0,0,0,0,0,0,0,4.4594316186373,0,1.58496250072116,0,0,0,1,0,1.58496250072116,0,1,4.16992500144231,1.58496250072116,0,1.58496250072116,1,1,1,2,2,0,0,0,1,1.58496250072116,0,2.58496250072116,0,1.58496250072116,1,0,0
"1110004F10Rik",2,0,0,1,1.58496250072116,0,1.58496250072116,1,0,1,1,4.95419631038687,2.32192809488736,1.58496250072116,1,1,0,1.58496250072116,0,1.58496250072116,0,1.58496250072116,3.58496250072116,0,0,0,0,1.58496250072116,0,0,0,1.58496250072116,2,0,0,0,0,1,1,1.58496250072116,0,0,1
"Bbln",0,0,0,0,0,0,1,2,1,0,0,4.70043971814109,1,0,0,0,0,0,0,0,0,1.58496250072116,3.70043971814109,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
"Eola1",0,1,0,2.58496250072116,0,1.58496250072116,1.58496250072116,0,1.58496250072116,1.58496250072116,1,4.32192809488736,1,0,0,2,1.58496250072116,0,0,0,1.58496250072116,2,3.32192809488736,1,0,2.32192809488736,1,0,1,0,1,0,0,2,0,0,1.58496250072116,1.58496250072116,2,1.58496250072116,1,1.58496250072116,0
"1110017D15Rik",0,1,0,0,1,0,0,0,1,0,1.58496250072116,4.70043971814109,0,0,0,0,0,0,0,0,0,0,3.8073549220576,2.58496250072116,1.58496250072116,0,1,1.58496250072116,0,1,1,1.58496250072116,0,2,0,0,0,2,1,0,1.58496250072116,0,0
"1110025L11Rik",0,0,0,0,0,1,1.58496250072116,0,0,0,0,4.16992500144231,0,0,0,0,0,0,0,0,0,0,3.16992500144231,0,0,1.58496250072116,1,0,0,0,0,0,0,0,1,1.58496250072116,1,0,0,0,0,1.58496250072116,0
"1110032A03Rik",0,2,0,0,2,2.58496250072116,1,0,2,0,1.58496250072116,4.24792751344359,2.8073549220576,1,1,1,2.8073549220576,2,1.58496250072116,1,2.32192809488736,2,4.16992500144231,0,2,1.58496250072116,2.58496250072116,1.58496250072116,0,2.8073549220576,1,2,1,2.32192809488736,0,2,1.58496250072116,1.58496250072116,1.58496250072116,2,1.58496250072116,2.32192809488736,0
"1110032F04Rik",0,0,0,2,0,0,0,0,0,0,0,4.16992500144231,1.58496250072116,0,0,1.58496250072116,0,0,0,0,0,0,3.90689059560852,0,0,0,1.58496250072116,0,0,0,0,0,0,1.58496250072116,1.58496250072116,0,0,1,0,0,0,0,0
"1110038F14Rik",1.58496250072116,1.58496250072116,0,0,0,0,2,0,1.58496250072116,0,0,4.85798099512757,3,2,0,2,0,0,1.58496250072116,1,1.58496250072116,1,3.70043971814109,1,1.58496250072116,2,0,0,1.58496250072116,1.58496250072116,0,1.58496250072116,0,0,0,2,1,2,1,1,0,0,2
"1110051M20Rik",1.58496250072116,1,2,1.58496250072116,0,1,1,2,1.58496250072116,2.32192809488736,1,5.20945336562895,1.58496250072116,2.32192809488736,1.58496250072116,2.32192809488736,1.58496250072116,2.8073549220576,2,1.58496250072116,2.8073549220576,3,3.90689059560852,2.58496250072116,1,1.58496250072116,1,3.4594316186373,1,2.8073549220576,2,1.58496250072116,2.32192809488736,2,1,1.58496250072116,1,3.58496250072116,2.32192809488736,2.58496250072116,3,0,1.58496250072116
"1110059E24Rik",0,1,0,0,1,0,1.58496250072116,0,1,1,0,4.8073549220576,0,0,1,0,1,0,1.58496250072116,1,0,0,3,0,0,0,1,0,1,1,0,1,0,1,0,1,2,1.58496250072116,0,0,1.58496250072116,0,0
"1110059G10Rik",0,0,1,1.58496250072116,2,1.58496250072116,1.58496250072116,1,0,1,2,4.32192809488736,1.58496250072116,1,1,0,1,0,0,0,1,0,3.58496250072116,1.58496250072116,1.58496250072116,1,1.58496250072116,2,1,1.58496250072116,0,0,0,0,0,3,1.58496250072116,2.58496250072116,1,0,0,0,1
"1110065P20Rik",3.4594316186373,4.08746284125034,4,3.90689059560852,3.70043971814109,3.32192809488736,3.16992500144231,3,3.8073549220576,3.8073549220576,4.08746284125034,4.85798099512757,4.08746284125034,4,4.08746284125034,3.70043971814109,3.8073549220576,4.08746284125034,3.70043971814109,3.90689059560852,4,3,4.58496250072116,4.24792751344359,3.4594316186373,3.70043971814109,3,3.8073549220576,3.58496250072116,3.16992500144231,3.32192809488736,4,4.08746284125034,4.08746284125034,3.32192809488736,4.24792751344359,3.70043971814109,4,3.32192809488736,3.8073549220576,2.32192809488736,2,2
"1190007I07Rik",1.58496250072116,0,0,1.58496250072116,1.58496250072116,0,1,1,2.58496250072116,1,1,4.64385618977472,2,1.58496250072116,2,0,0,0,2.32192809488736,1.58496250072116,0,0,3.4594316186373,1.58496250072116,2,1.58496250072116,2,0,1,2.32192809488736,1,1.58496250072116,1,3,1.58496250072116,1,1.58496250072116,1,1,2.8073549220576,2.32192809488736,1,0
"1300017J02Rik",0,0,0,0,1,0,0,0,1,0,1,5.39231742277876,1,0,0,1.58496250072116,0,1,0,0,0,1,3.58496250072116,0,0,2.32192809488736,1,1,1.58496250072116,0,2,1,1,0,0,2,1,0,1.58496250072116,1,0,0,0
"1500009C09Rik",3.58496250072116,2.32192809488736,2.8073549220576,2.8073549220576,2,2.8073549220576,0,0,2,2.58496250072116,1,4.95419631038687,3.70043971814109,2.32192809488736,3,2.32192809488736,2.58496250072116,1,2,2.32192809488736,2.32192809488736,0,3.90689059560852,2.8073549220576,1,1.58496250072116,1.58496250072116,1,1.58496250072116,3.16992500144231,0,1.58496250072116,1.58496250072116,2.32192809488736,6.52356195605701,1,2.8073549220576,2,0,0,1,1.58496250072116,0
"1500009L16Rik",1,0,0,0,0,1,1,1,0,1,2,4.52356195605701,0,0,1,0,0,0,0,1.58496250072116,0,0,3.16992500144231,1,0,1.58496250072116,1,2,0,1,0,0,0,1,1,0,2.32192809488736,0,0,0,1,0,0
"1520401A03Rik",3.90689059560852,3,4.32192809488736,3.90689059560852,3.32192809488736,2.8073549220576,3,3,3.4594316186373,3.8073549220576,3.58496250072116,5.16992500144231,3.8073549220576,4.16992500144231,4,2.32192809488736,3.58496250072116,3.58496250072116,2.32192809488736,3.32192809488736,3.90689059560852,3,4.52356195605701,3.8073549220576,4,3.4594316186373,3.70043971814109,4.08746284125034,3.90689059560852,4.16992500144231,3.32192809488736,4,4.4594316186373,4.4594316186373,2.58496250072116,2.58496250072116,3.90689059560852,4.08746284125034,3.58496250072116,4.24792751344359,2,2.32192809488736,0
"1600012H06Rik",0,0,0,0,1,0,1,1,1.58496250072116,0,0,4.52356195605701,0,1.58496250072116,0,0,0,1,0,0,1,0,3.16992500144231,1,0,1,0,0,0,1,0,0,0,0,1.58496250072116,1,0,1,0,1,1.58496250072116,0,0
"1600014C10Rik",2,1,0,1.58496250072116,1.58496250072116,0,1,1,1,0,1,4.4594316186373,1,0,1.58496250072116,2,2,0,1,1,2.32192809488736,0,4.24792751344359,1,0,2,1.58496250072116,1.58496250072116,0,2.58496250072116,1,2.32192809488736,1,1.58496250072116,0,0,2.58496250072116,2,2.8073549220576,1,0,0,0
"1600014C23Rik",0,0,0,0,0,0,1,0,0,0,0,3.8073549220576,1.58496250072116,1,0,0,1,0,0,0,1,0,1.58496250072116,0,1.58496250072116,1.58496250072116,0,0,1,0,2.58496250072116,0,0,0,0,0,2.32192809488736,2,1,1.58496250072116,0,1,0
"1700001C19Rik",0,0,0,0,0,1.58496250072116,1,0,0,1,0,4.8073549220576,1,1.58496250072116,0,0,0,1.58496250072116,2,2,0,0,3.58496250072116,0,1,1.58496250072116,1.58496250072116,1.58496250072116,0,1,0,0,0,0,0,1.58496250072116,1,0,2.58496250072116,0,0,0,1
"1700001K19Rik",1,0,1,1,1,1.58496250072116,1,1.58496250072116,0,0,1,4.16992500144231,1,1.58496250072116,1,0,0,1,1,2,1.58496250072116,1,3.70043971814109,0,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,0,2.32192809488736,1.58496250072116,1,2,1.58496250072116,0,0,1,0,1.58496250072116,1,1,1,0
"1700001L19Rik",2,0,1,2,0,1,0,0,2.8073549220576,2,0,5.16992500144231,0,0,1,0,0,1,0,2.8073549220576,2.32192809488736,1,3.16992500144231,2,0,2.32192809488736,1,0,0,0,1.58496250072116,0,1.58496250072116,1.58496250072116,2,1.58496250072116,2.32192809488736,1.58496250072116,1.58496250072116,1.58496250072116,0,1.58496250072116,1.58496250072116
"1700001O22Rik",0,0,1.58496250072116,1,0,0,1.58496250072116,0,0,0,0,4.8073549220576,0,1,0,1.58496250072116,0,0,0,1,2.32192809488736,0,4.24792751344359,1,1.58496250072116,2.32192809488736,1.58496250072116,1.58496250072116,0,1.58496250072116,0,0,0,2,1.58496250072116,0,0,2.58496250072116,2.8073549220576,1.58496250072116,0,1.58496250072116,1.58496250072116
"1700001P01Rik",1.58496250072116,0,0,0,1,1,0,0,1,0,0,4.75488750216347,0,1,0,0,0,0,0,1,2,0,3.58496250072116,1,2.32192809488736,1.58496250072116,2,0,0,1,0,4.64385618977472,0,0,0,1.58496250072116,0,1.58496250072116,0,1.58496250072116,1.58496250072116,0,0
"1700003E16Rik",1.58496250072116,1.58496250072116,0,1,2,0,1,1.58496250072116,1.58496250072116,1.58496250072116,0,4.95419631038687,0,1.58496250072116,0,0,0,1,0,0,1.58496250072116,0,3.70043971814109,0,0,0,0,1.58496250072116,1,1,1,1.58496250072116,1.58496250072116,2,0,2,1,2.8073549220576,0,2.32192809488736,0,0,0
"1700003F12Rik",0,0,0,0,1,0,0,0,1,0,1,4.70043971814109,0,1.58496250072116,1,1,0,0,0,0,1,0,3,0,1,0,0,0,1.58496250072116,0,0,0,1.58496250072116,0,0,2.58496250072116,0,0,2.58496250072116,1,0,0,0
"1700003H04Rik",1,0,0,0,1.58496250072116,0,0,0,0,0,0,4.8073549220576,0,0,0,0,0,0,1,0,1,0,3.16992500144231,1.58496250072116,0,0,1,1,2.58496250072116,2.32192809488736,0,0,2,1.58496250072116,1,1.58496250072116,0,0,1.58496250072116,2,0,0,0
"1700006A11Rik",0,0,1,1,1,0,1.58496250072116,1,0,0,0,4.52356195605701,0,0,0,0,0,0,1.58496250072116,1,0,0,4.24792751344359,0,0,0,0,0,1.58496250072116,0,1.58496250072116,0,0,0,1,0,0,1.58496250072116,1,1.58496250072116,0,0,0
"1700007K13Rik",0,0,0,0,1,1,0,0,0,0,0,5,1.58496250072116,0,2,0,0,0,1,1.58496250072116,0,0,3.58496250072116,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,1,0,0,0
"1700008O03Rik",0,0,0,0,0,0,0,0,0,0,0,4.70043971814109,1.58496250072116,0,0,0,1,2.32192809488736,0,1,1,0,4.08746284125034,0,1.58496250072116,0,0,1,0,0,2,1.58496250072116,1.58496250072116,1.58496250072116,1,1,0,1,0,1.58496250072116,0,0,0
"1700008P02Rik",0,0,0,1,0,1,0,1.58496250072116,1,0,0,5.08746284125034,0,0,0,0,0,0,0,1,0,1,3.4594316186373,0,0,0,0,1,0,1,0,3.4594316186373,0,0,1,0,2,0,0,1.58496250072116,0,0,0
"1700009N14Rik",0,0,0,0,1,1,1,1.58496250072116,0,2,0,4.58496250072116,1.58496250072116,1,0,0,0,0,0,0,0,0,3.4594316186373,1.58496250072116,0,2.32192809488736,1,2,0,1,0,1,0,1.58496250072116,2,1,1.58496250072116,0,1.58496250072116,1,0,0,0
"1700010B08Rik",0,0,1,0,0,0,0,0,1.58496250072116,0,0,4.75488750216347,0,0,0,1,1,0,0,1.58496250072116,0,1,3.58496250072116,0,1,0,0,1.58496250072116,1.58496250072116,0,0,0,1.58496250072116,1.58496250072116,0,1.58496250072116,1.58496250072116,1,1,2,0,0,0
"1700010I14Rik",0,1,0,1,1,0,0,1.58496250072116,2,0,0,5.35755200461808,2,0,1.58496250072116,0,0,1.58496250072116,0,2.8073549220576,0,0,3.8073549220576,0,2,1,1.58496250072116,0,2,2.58496250072116,0,0,0,1,1.58496250072116,1,1.58496250072116,2,2.32192809488736,2.58496250072116,1,0,0
"1700011L22Rik",0,0,1,0,0,0,1.58496250072116,0,1,1,1,5,0,0,0,0,1,0,0,0,0,1,3.4594316186373,0,0,0,2,1.58496250072116,1,0,0,1.58496250072116,0,1.58496250072116,0,1,1,1,1,0,0,0,0
"1700012A03Rik",2,0,0,0,0,1.58496250072116,0,0,1,0,1.58496250072116,4.32192809488736,1,1,0,1,0,0,1,1,0,0,3.70043971814109,1,2.58496250072116,1.58496250072116,1.58496250072116,1,0,2,0,1,0,0,0,2,1,1.58496250072116,2,1.58496250072116,0,0,0
"1700012B07Rik",0,0,0,0,1.58496250072116,0,0,1,0,0,0,4.52356195605701,0,0,1,0,0,0,0,1,1.58496250072116,0,3.32192809488736,0,1,1,1,1,0,0,0,0,0,1,1,1,1.58496250072116,1,0,0,0,0,0
"1700012B09Rik",2,0,0,0,0,0,0,0,0,1.58496250072116,0,5,0,0,1,0,1,1,1,0,0,0,3.8073549220576,0,1,1,1,0,1,0,0,2,1,1,0,1,0,1,0,2,2,1.58496250072116,1
"1700012P22Rik",0,0,0,0,0,0,0,1.58496250072116,0,0,0,5.08746284125034,1,0,1,0,0,0,0,1,0,2,3.16992500144231,0,1.58496250072116,1,0,0,2,1.58496250072116,0,1.58496250072116,0,0,1,2.58496250072116,1.58496250072116,2,1,1,0,0,0
"1700013D24Rik",1,0,0,0,1,0,0,0,1,1,1,4.24792751344359,0,0,2,0,0,0,0,0,1.58496250072116,0,3,0,0,0,1,0,1,1,1,1,0,1.58496250072116,0,0,1,1.58496250072116,0,0,1.58496250072116,0,0
"1700013F07Rik",0,1,0,1.58496250072116,1,0,0,0,2.32192809488736,1,1,4.58496250072116,0,1.58496250072116,0,1,0,0,1,0,1,0,3.58496250072116,0,0,0,0,1,1.58496250072116,1,1.58496250072116,1.58496250072116,1,1,0,1,1.58496250072116,2,0,2.8073549220576,0,0,0
"1700013G24Rik",1,0,0,0,2.58496250072116,2.58496250072116,1.58496250072116,1,1,0,0,4.64385618977472,0,0,0,1.58496250072116,1.58496250072116,1.58496250072116,1,1,2.32192809488736,1,4,2,2,1,1,2,1,1.58496250072116,1,1.58496250072116,1.58496250072116,2.58496250072116,1.58496250072116,1,1,1,2,1.58496250072116,1.58496250072116,0,1
"1700013H16Rik",0,0,0,0,0,1,0,2,0,0,0,4.64385618977472,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,2,0,1,1,2.58496250072116,0,1.58496250072116,2.58496250072116,1,1,1.58496250072116,0,0,0
"Pttg1ip2",0,1,0,2,0,1,1,1.58496250072116,1.58496250072116,1,0,4.52356195605701,0,0,1,0,1,0,0,1,0,0,4.24792751344359,0,2,2.32192809488736,1.58496250072116,1,0,1,2,1.58496250072116,1,1.58496250072116,0,0,1.58496250072116,0,1.58496250072116,0,0,0,0
"1700015G11Rik",0,0,0,0,2,0,1,0,2,1.58496250072116,0,4.70043971814109,0,1,0,0,0,0,1.58496250072116,0,0,0,3.4594316186373,0,1,1,2.58496250072116,1,0,2,0,1,1,0,1,0,2,2.32192809488736,1.58496250072116,1.58496250072116,1,0,0
"1700016C15Rik",0,2,1,1,0,1.58496250072116,0,2,0,0,0,4.58496250072116,0,1,0,0,0,0,1,1,1,0,3.8073549220576,1,0,1,1.58496250072116,2,0,2,1,0,1,0,0,0,1.58496250072116,1.58496250072116,1.58496250072116,0,0,0,0
"1700016D06Rik",0,0,0,1,1,0,0,0,2,2,0,4.70043971814109,2,0,0,1,1,1.58496250072116,1.58496250072116,1,0,1,4.08746284125034,0,1.58496250072116,1.58496250072116,2.32192809488736,2,0,0,0,0,0,1.58496250072116,1.58496250072116,2,1.58496250072116,1.58496250072116,1,0,0,0,0
"1700016H13Rik",1,0,0,1,0,0,1.58496250072116,1,0,1,1,5.12928301694497,0,0,0,1,0,0,0,0,1,0,3.32192809488736,0,0,2,1,0,0,1,0,0,1.58496250072116,0,1,1,0,2.32192809488736,0,0,0,0,0
"1700016K19Rik",1,0,0,1.58496250072116,1.58496250072116,0,1.58496250072116,1,2,1.58496250072116,2.58496250072116,4.75488750216347,1,1,0,1.58496250072116,1.58496250072116,0,2,2,0,1,3.8073549220576,2.32192809488736,2,0,0,0,1.58496250072116,2,1.58496250072116,0,1.58496250072116,2.32192809488736,1.58496250072116,2.8073549220576,1.58496250072116,1.58496250072116,1.58496250072116,1.58496250072116,2,1,0
"1700017B05Rik",0,0,1,1,0,0,0,1.58496250072116,1.58496250072116,0,0,5.04439411935845,0,2,1,0,0,0,1,1.58496250072116,2,1,3.8073549220576,0,0,1.58496250072116,0,1,1,1.58496250072116,2,0,0,1,1,1.58496250072116,1,1,0,2,0,0,0
"1700017N19Rik",0,0,0,0,1,1,1.58496250072116,2.32192809488736,0,1,0,4.75488750216347,1,0,0,0,0,0,0,0,0,0,3.32192809488736,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,1,0,2.32192809488736,1,0,0,0
"1700018B08Rik",0,0,0,0,0,0,1,0,0,0,1.58496250072116,5.28540221886225,0,0,0,1,0,0,0,0,1,0,3.70043971814109,0,0,1,2.32192809488736,0,0,0,1,0,0,0,0,0,1.58496250072116,1,0,0,0,0,0
"1700018F24Rik",0,0,1,0,0,0,1,2,2,0,1.58496250072116,5.08746284125034,0,0,0,1.58496250072116,0,0,1,1.58496250072116,1.58496250072116,0,3.58496250072116,0,1.58496250072116,2.58496250072116,0,0,0,1,0,1,0,1,1.58496250072116,1,2,1,1.58496250072116,0,0,0,0
"1700018G05Rik",0,0,1,0,1.58496250072116,1.58496250072116,2,0,0,0,0,5.04439411935845,0,0,0,0,0,0,0,0,0,0,3.90689059560852,2,1,1,0,1,0,1,2,0,1.58496250072116,0,0,2.58496250072116,0,1,0,1,0,0,0
"1700019A02Rik",0,1,0,0,0,0,0,1,0,0,0,4.52356195605701,0,1,1,2,1,0,1.58496250072116,0,1,0,3.90689059560852,1.58496250072116,1,1.58496250072116,1.58496250072116,1,2.58496250072116,1.58496250072116,1,0,0,1.58496250072116,1.58496250072116,0,0,0,0,2,1,1,0
"1700019D03Rik",1.58496250072116,2,1,1.58496250072116,1.58496250072116,0,1,1,0,1,0,4.90689059560852,1,1,2.58496250072116,1,0,1,3.16992500144231,0,0,1.58496250072116,3.58496250072116,1,1,3.16992500144231,2.32192809488736,2.32192809488736,2,2,2.32192809488736,2,2,2,4.24792751344359,1,1,0,2,3,1.58496250072116,0,1
"1700019N19Rik",0,0,0,0,1,0,0,0,0,0,2,5.04439411935845,0,1,1,1,0,0,2.32192809488736,1,0,0,3.32192809488736,1,1,2,0,0,0,0,1.58496250072116,2.58496250072116,1,1,0,0,0,0,0,1,1,0,0
"1700020A23Rik",0,0,1,0,0,0,1,1,0,1,0,4.75488750216347,0,0,0,0,0,0,1,0,2.58496250072116,0,3.70043971814109,0,0,0,1,0,1,1.58496250072116,0,1,1.58496250072116,1,2,1,2,2,1.58496250072116,1.58496250072116,0,0,0
"Nscme3l",1,0,0,0,0,1,1,0,1,1,0,4.32192809488736,0,1.58496250072116,1,0,0,1,0,0,1,1.58496250072116,4.24792751344359,1.58496250072116,2.32192809488736,0,1,1.58496250072116,0,1,0,0,2,1,0,1.58496250072116,1.58496250072116,2.32192809488736,0,2,0,0,0
"1700020L24Rik",3,3.16992500144231,3.70043971814109,3.32192809488736,3.70043971814109,4.08746284125034,3.58496250072116,2,2.58496250072116,2,3.16992500144231,5.08746284125034,3.58496250072116,3,3.58496250072116,2.58496250072116,2.32192809488736,2.58496250072116,2.32192809488736,3,3.16992500144231,3.4594316186373,4.08746284125034,3.58496250072116,3.70043971814109,3.16992500144231,3.16992500144231,3,3,2.8073549220576,4,3.70043971814109,3.70043971814109,2.8073549220576,3,2.58496250072116,4,3.32192809488736,2.58496250072116,4.08746284125034,1.58496250072116,0,2
"1700020N01Rik",1,0,0,0,0,1.58496250072116,0,1,0,1,0,4.95419631038687,0,0,0,0,1,0,0,1.58496250072116,0,0,3.16992500144231,1.58496250072116,1,1,4.16992500144231,1,2,0,0,0,0,1.58496250072116,0,1,1,0,1.58496250072116,0,0,0,0
"1700020N15Rik",1,0,0,1,2,0,1,0,0,1,0,4.70043971814109,0,1,0,0,1,0,0,2,0,1,3.8073549220576,0,1,1,1.58496250072116,0,0,0,0,1.58496250072116,0,1.58496250072116,0,2,1,0,1.58496250072116,1.58496250072116,0,0,0
"1700021F07Rik",0,0,0,1,1.58496250072116,0,2,0,1.58496250072116,0,0,3.90689059560852,0,0,1,1,1,1,0,0,0,1,3.32192809488736,2,0,1.58496250072116,0,2,2,1.58496250072116,0,0,0,2,0,1,1,1.58496250072116,1,1,1,0,0
"1700022I11Rik",0,0,0,1,0,0,1.58496250072116,0,1.58496250072116,1,1,4.85798099512757,1.58496250072116,1.58496250072116,0,0,2,0,1,1.58496250072116,1.58496250072116,2,3.8073549220576,2,0,2.8073549220576,1,1.58496250072116,1,1,1.58496250072116,1.58496250072116,0,1.58496250072116,0,1.58496250072116,1,1.58496250072116,0,2.32192809488736,0,0,0
"1700024G13Rik",1,0,0,0,0,0,0,1,0,0,0,4.75488750216347,0,0,0,1,0,1,0,0,0,0,3.58496250072116,2,0,0,0,0,0,0,1,0,0,0,0,1,1.58496250072116,0,0,0,1,0,0
"1700024J04Rik",0,0,0,0,1,0,0,0,0,2,0,4.70043971814109,0,1,0,0,1.58496250072116,0,0,1,0,0,3.4594316186373,1,0,2.32192809488736,0,0,0,0,0,0,1.58496250072116,1,0,0,0,0,1,0,1,0,0
"1700025C18Rik",0,0,0,1,0,1.58496250072116,0,0,0,0,0,4.8073549220576,0,0,0,0,1.58496250072116,1,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1.58496250072116,0,0,0,0,0
"1700025G04Rik",1,0,0,1,1,0,1,2,0,0,1,5.20945336562895,0,0,0,1,1,1.58496250072116,1.58496250072116,1,0,0,3.32192809488736,1,0,1,0,0,0,1,1,2,0,0,1,0,0,1,1,2.32192809488736,0,0,0
"1700028J19Rik",1.58496250072116,0,0,0,2,0,0,0,1,1,0,4.75488750216347,0,2,1,1,0,0,1,0,1.58496250072116,1.58496250072116,3.32192809488736,1.58496250072116,1,1.58496250072116,1.58496250072116,0,0,1.58496250072116,0,1,0,0,0,1,0,1.58496250072116,0,1.58496250072116,0,0,0
"1700028K03Rik",0,0,0,0,1,0,2.58496250072116,0,1,0,0,4.8073549220576,1,0,1,0,0,0,0,1,0,0,4.32192809488736,0,1,0,2,0,0,0,0,1,0,1.58496250072116,1,0,2,0,2,2.32192809488736,0,1,0
"1700028P14Rik",0,0,0,0,0,0,1,1,0,1,0,4.70043971814109,1,1,0,0,1.58496250072116,0,1,0,0,0,3.16992500144231,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1700029F12Rik",1,0,0,0,1.58496250072116,0,0,0,0,1,0,4.16992500144231,0,1.58496250072116,0,0,0,1.58496250072116,0,0,1,1,3.16992500144231,1,0,2,1,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0
"1700029H14Rik",0,0,1,0,0,0,0,0,1,0,0,4.75488750216347,0,1.58496250072116,0,0,0,1,0,0,0,0,3.32192809488736,0,1.58496250072116,0,0,0,0,2,1,0,0,0,0,1.58496250072116,0,1,2,0,0,0,1.58496250072116
"1700029I15Rik",1,0,0,0,0,0,0,0,1,0,0,4.90689059560852,0,1,0,1.58496250072116,1.58496250072116,1,0,1,0,1.58496250072116,4.24792751344359,0,1.58496250072116,0,0,0,1,0,0,0,0,0,1,0,2,1.58496250072116,1,1,0,0,1
"1700029J07Rik",1,0,0,0,0,1,1.58496250072116,1,0,0,0,4.75488750216347,0,1,0,0,0,0,1,0,0,1.58496250072116,3.58496250072116,1,0,0,0,0,0,0,0,1,0,0,0,2,2.58496250072116,1,1,0,0,0,1
"Ndufb11b",0,0,0,1,1,0,0,0,1.58496250072116,0,0,4.70043971814109,1.58496250072116,0,0,0,0,1,0,0,1,0,3.58496250072116,0,1,1,2.58496250072116,0,0,0,0,0,0,1,1.58496250072116,1.58496250072116,1.58496250072116,1,1,1,0,0,0
