"Gene","DSP-1001660019915-A-A02.dcc","DSP-1001660019915-A-A03.dcc","DSP-1001660019915-A-A04.dcc","DSP-1001660019915-A-A05.dcc","DSP-1001660019915-A-A06.dcc","DSP-1001660019915-A-A07.dcc","DSP-1001660019915-A-A08.dcc","DSP-1001660019915-A-A09.dcc","DSP-1001660019915-A-A10.dcc","DSP-1001660019915-A-A11.dcc","DSP-1001660019915-A-A12.dcc","DSP-1001660019915-A-B01.dcc","DSP-1001660019915-A-B02.dcc","DSP-1001660019915-A-B03.dcc","DSP-1001660019915-A-B04.dcc","DSP-1001660019915-A-B05.dcc","DSP-1001660019915-A-B06.dcc","DSP-1001660019915-A-B07.dcc","DSP-1001660019915-A-B08.dcc","DSP-1001660019915-A-B09.dcc","DSP-1001660019915-A-B10.dcc","DSP-1001660019915-A-B11.dcc","DSP-1001660019915-A-B12.dcc","DSP-1001660019915-A-C01.dcc","DSP-1001660019915-A-C02.dcc","DSP-1001660019915-A-C03.dcc","DSP-1001660019915-A-C04.dcc","DSP-1001660019915-A-C05.dcc","DSP-1001660019915-A-C07.dcc","DSP-1001660019915-A-C08.dcc","DSP-1001660019915-A-C09.dcc","DSP-1001660019915-A-C10.dcc","DSP-1001660019915-A-C11.dcc","DSP-1001660019915-A-C12.dcc","DSP-1001660019915-A-D02.dcc","DSP-1001660019915-A-D03.dcc","DSP-1001660019915-A-D04.dcc","DSP-1001660019915-A-D05.dcc","DSP-1001660019915-A-D06.dcc","DSP-1001660019915-A-D07.dcc","DSP-1001660019915-A-D08.dcc","DSP-1001660019915-A-D11.dcc","DSP-1001660019915-A-D12.dcc"
"Csnk1g1",2,2,1,1.58496250072116,1,2,1,1,0,1,2.32192809488736,4.58496250072116,1,0,0,1.58496250072116,2,0,2,1.58496250072116,2,2,3.16992500144231,1.58496250072116,0,1.58496250072116,2.58496250072116,2.58496250072116,2.32192809488736,2,1,2,1.58496250072116,1.58496250072116,1,1.58496250072116,2,2,2.32192809488736,1,1,0,0
"Csnk1g2",2,2.8073549220576,1.58496250072116,0,2.32192809488736,2.58496250072116,3.4594316186373,1,2.8073549220576,2.58496250072116,2.8073549220576,5.12928301694497,3.70043971814109,2.58496250072116,3,2.32192809488736,2,3.32192809488736,2.32192809488736,1.58496250072116,2.32192809488736,2,3.8073549220576,2.8073549220576,1,2.32192809488736,1.58496250072116,2.32192809488736,2.32192809488736,2,2.58496250072116,2.32192809488736,3.16992500144231,3.16992500144231,2,1,2,2,3,2.58496250072116,1,2.32192809488736,1.58496250072116
"Csnk1g3",1,1,0,1.58496250072116,0,2,2.58496250072116,0,0,2,0,4.90689059560852,2.32192809488736,1,0,0,0,0,1,1,2,1.58496250072116,3.4594316186373,2.32192809488736,2,1,2,1,1,1,0,1,1,2.32192809488736,0,0,0,1.58496250072116,1,0,0,0,0
"Csnk2a1",0,1,0,1,0,2,1,1,1.58496250072116,2.58496250072116,0,5.35755200461808,1,2,1,2.32192809488736,1,2.32192809488736,0,0,1,1,3.58496250072116,0,1,2.58496250072116,1,2.32192809488736,1.58496250072116,1,0,1,2,1.58496250072116,2.32192809488736,0,2,2.58496250072116,2,1.58496250072116,1.58496250072116,0,0
"Csnk2a2",0,1,1,0,1.58496250072116,0,2,0,0,2,0,5.08746284125034,0,1,0,0,0,0,0,1,1.58496250072116,1.58496250072116,4.32192809488736,0,0,0,1,1,0,1.58496250072116,1,1,0,2,1,1.58496250072116,0,0,0,1,0,0,0
"Csnk2b",1.58496250072116,1.58496250072116,0,1.58496250072116,0,1.58496250072116,0,0,2.58496250072116,0,0,4.8073549220576,1,0,1.58496250072116,0,0,0,2.32192809488736,1,0,0,3,0,1,0,1.58496250072116,1.58496250072116,0,0,0,0,0,1.58496250072116,1,0,2.32192809488736,0,0,1.58496250072116,0,1.58496250072116,0
"Csnka2ip",0,0,0,0,1.58496250072116,1,0,0,2,0,1,5.28540221886225,0,0,0,0,0,0,0,0,2,1.58496250072116,3.58496250072116,1,1,0,1.58496250072116,2.32192809488736,1,1.58496250072116,1,1.58496250072116,1.58496250072116,1.58496250072116,1,1.58496250072116,1.58496250072116,1,1,1,1,0,0
"Cspg4",0,0,1,0,1,0,0,0,0,0,0,4.85798099512757,2,1,0,0,0,0,1,1,0,1,3.8073549220576,0,1.58496250072116,2.32192809488736,0,2,1,1,0,0,1,2,1,0,1,1.58496250072116,2,1,0,0,0
"Cspg5",2,1.58496250072116,1.58496250072116,1.58496250072116,2.58496250072116,1.58496250072116,0,3,1,0,2,5.20945336562895,1.58496250072116,1,2.8073549220576,2,1.58496250072116,2,1.58496250072116,1.58496250072116,2,1.58496250072116,3.32192809488736,1.58496250072116,2,1.58496250072116,1,1,2,2.32192809488736,1,1.58496250072116,1.58496250072116,1.58496250072116,0,0,2.8073549220576,2,0,2.32192809488736,0,0,0
"Cspp1",0,0,0,1,0,2,0,0,0,0,0,5.24792751344359,1,1,1,0,2,1.58496250072116,0,1,1,1.58496250072116,4.16992500144231,0,0,0,1,0,1.58496250072116,0,1.58496250072116,1,0,0,2,1.58496250072116,0,2,2.32192809488736,0,0,0,0
