"","condition","antigen","infected_region","side_of_slide","region","NegGeoMean_Mm_R_NGS_WTA_v1.0","NegGeoSD_Mm_R_NGS_WTA_v1.0","Slide","ROI_number","sample_id","infection_region","infection_region_simple","ROI (Label)","region_annotation","segment"
"DSP-1001660019915-A-C07.dcc","HSV","HSV1 negative","Uninfected","bottom","tract",1.65293904723306,2.17692742825212,"5_WTA",9,"DSP-1001660019915-A-C07.dcc","Uninfected","Uninfected","009","TG","negative"
"DSP-1001660019915-A-C08.dcc","HSV","HSV1 negative","Uninfected","bottom","nuclei",2.06592573153813,2.07829722273299,"5_WTA",10,"DSP-1001660019915-A-C08.dcc","Uninfected","Uninfected","010","TG","negative"
"DSP-1001660019915-A-C09.dcc","HSV","HSV1 negative","Uninfected","bottom","nuclei",1.60704097124683,2.20548011222694,"5_WTA",11,"DSP-1001660019915-A-C09.dcc","Uninfected","Uninfected","011","TG","negative"
"DSP-1001660019915-A-C10.dcc","HSV","HSV1 negative","Uninfected","bottom","nuclei",1.54601928365042,2.33787724928165,"5_WTA",12,"DSP-1001660019915-A-C10.dcc","Uninfected","Uninfected","012","TG","negative"
"DSP-1001660019915-A-C11.dcc","HSV","HSV1 positive","Infected","top","tract",1.50423087315426,2.26192895345597,"5_WTA",13,"DSP-1001660019915-A-C11.dcc","Infected","Infected","013","TN","positive"
"DSP-1001660019915-A-C12.dcc","HSV","HSV1 positive","Infected","top","tract",2.04560025539606,2.07088791563752,"5_WTA",14,"DSP-1001660019915-A-C12.dcc","Infected","Infected","014","TN","positive"
"DSP-1001660019915-A-D01.dcc","HSV","HSV1 negative","Infected","top","tract",13.1361467788105,1.39467699432996,"5_WTA",15,"DSP-1001660019915-A-D01.dcc","Infected","Infected","015","TN","negative"
"DSP-1001660019915-A-D02.dcc","HSV","HSV1 negative","Infected","top","nuclei",1.84687641826997,2.10387941856066,"5_WTA",16,"DSP-1001660019915-A-D02.dcc","Infected","Infected","016","TN","negative"
"DSP-1001660019915-A-D03.dcc","HSV","HSV1 positive","Infected","top","nuclei",2.06237368086062,2.2155568931534,"5_WTA",17,"DSP-1001660019915-A-D03.dcc","Infected","Infected","017","TN","positive"
"DSP-1001660019915-A-D04.dcc","HSV","HSV1 positive","Infected","top","nuclei",2.32211986192668,2.11127855951543,"5_WTA",18,"DSP-1001660019915-A-D04.dcc","Infected","Infected","018","TN","positive"
"DSP-1001660019915-A-D05.dcc","HSV","HSV1 negative","Uninfected","bottom","tract",2.29737075946587,2.21084627566975,"5_WTA",19,"DSP-1001660019915-A-D05.dcc","Uninfected","Uninfected","019","TN","negative"
"DSP-1001660019915-A-D06.dcc","HSV","HSV1 negative","Uninfected","bottom","tract",2.05835131683417,2.19294798091177,"5_WTA",20,"DSP-1001660019915-A-D06.dcc","Uninfected","Uninfected","020","TN","negative"
"DSP-1001660019915-A-D07.dcc","HSV","HSV1 negative","Uninfected","bottom","tract",2.01849229104239,2.26287817434958,"5_WTA",21,"DSP-1001660019915-A-D07.dcc","Uninfected","Uninfected","021","TN","negative"
"DSP-1001660019915-A-D08.dcc","HSV","HSV1 negative","Uninfected","bottom","nuclei",1.53917174794258,2.19214519815181,"5_WTA",22,"DSP-1001660019915-A-D08.dcc","Uninfected","Uninfected","022","TN","negative"
"DSP-1001660019915-A-D12.dcc","HSV","HSV1 negative","Uninfected","bottom","nuclei",1.09954258570195,2.19478311163286,"5_WTA",23,"DSP-1001660019915-A-D12.dcc","Uninfected","Uninfected","023","TN","negative"
