"log2foldchange","p.value","FDR","gene","direction"
-0.248573750467497,0.937894053477971,1,"0610009B22Rik","ns"
-0.052169028898597,0.969018306782213,1,"0610012G03Rik","ns"
0.271296099204151,0.32988947318458,0.895215226969384,"1110004F10Rik","ns"
0.0757612455176015,0.640524684043961,0.974811859859798,"Eola1","ns"
0.38066585540634,0.460714696719778,0.939640002886245,"1110032A03Rik","ns"
0.203436287677853,0.667775899759544,0.980752189523642,"1110038F14Rik","ns"
0.0189548947680578,0.876725185042987,1,"1110051M20Rik","ns"
0.00528383072348126,0.906923145317411,1,"1110059G10Rik","ns"
0.549773215247451,0.00684323068718535,0.296918206085441,"1110065P20Rik","ns"
-0.173516237350183,0.969018306782213,1,"1190007I07Rik","ns"
1.01824469973415,0.0076359444306411,0.311919017864334,"1500009C09Rik","up"
0.717032726841684,0.00286774905293914,0.190393951496191,"1520401A03Rik","ns"
0.13308978334945,0.814478411483546,0.998180567365338,"1600014C10Rik","ns"
-0.336468902059212,0.559417685098841,0.962744449880033,"1700001L19Rik","ns"
-0.199025198715534,0.937069908184305,1,"1700001O22Rik","ns"
-0.125101632957735,0.84229747122948,1,"1700001P01Rik","ns"
0.0493308947400168,0.752709177423599,0.99025616289514,"1700003E16Rik","ns"
-0.152667534035563,0.663115091715191,0.980752189523642,"1700010I14Rik","ns"
0.042402518707509,0.84229747122948,1,"1700012A03Rik","ns"
0.150416899534228,0.631368148398734,0.974811859859798,"1700012B09Rik","ns"
-0.0823316712159241,1,1,"1700013F07Rik","ns"
-0.286087563590454,0.198399713514913,0.82649529522339,"1700013G24Rik","ns"
-0.411330710761485,0.631368148398734,0.974811859859798,"1700015G11Rik","ns"
-0.0634560249254725,0.906709085661024,1,"1700016D06Rik","ns"
-0.469803734745622,0.0437388151776311,0.583891800855689,"1700016K19Rik","ns"
-0.136183343889426,0.75205039905816,0.99025616289514,"1700019A02Rik","ns"
0.117265969118893,0.349601223526261,0.904949258187915,"1700019D03Rik","ns"
-0.42021868807715,0.328911870237,0.895215226969384,"1700019N19Rik","ns"
0.418165023680018,0.104669153852082,0.726190968791927,"1700020L24Rik","ns"
-0.230981581521212,0.127198838505701,0.753476046752161,"1700022I11Rik","ns"
-0.0966409871581702,0.552968669025318,0.962744449880033,"1700028J19Rik","ns"
-0.0427123848830382,0.906057935291809,1,"1700034J05Rik","ns"
-0.168587255965492,0.5063113778683,0.954783665705453,"1700066M21Rik","ns"
-0.180651373768233,1,1,"Prss59","ns"
0.142175447504061,0.482977122575922,0.948592676755966,"1700086L19Rik","ns"
0.209112267746479,0.668255354632074,0.980752189523642,"1700094D03Rik","ns"
0.16706394533128,0.437631055285442,0.934722483373357,"1700122O11Rik","ns"
-0.380662570277652,0.527143609836634,0.961914848836852,"1700125H20Rik","ns"
