"log2foldchange","p.value","FDR","gene","direction"
-0.157473532824125,0.503933162328789,0.904461355936054,"D7Ertd443e","ns"
-0.294881125632035,0.392858780393902,0.858636568397154,"D830031N03Rik","ns"
-0.342720325458894,0.15600607352122,0.696743925155571,"D8Ertd738e","ns"
0.0824342336678652,0.814115450829196,0.972042380725181,"D930048N14Rik","ns"
-0.447822628281454,0.103105645497002,0.629764168776002,"Daam2","ns"
-0.0551264263066495,0.614032941135686,0.944347777222566,"Dab1","ns"
-0.300020182178422,0.277003971960689,0.807659292655351,"Dact2","ns"
-0.18161830628984,0.480702858873148,0.894472036055775,"Dact3","ns"
-0.114475482827324,0.83763343151485,0.975665375563718,"Dad1","ns"
-0.446084130207542,0.0468454756026899,0.477812439338521,"Dao","ns"
-0.313032649347307,0.179446928490932,0.728705155628688,"Dap3","ns"
-0.117806014210698,0.45816542477513,0.886752182471169,"Dapk1","ns"
-0.516222198797111,0.4117086254833,0.8682283649062,"Dapk2","ns"
0.0483619463790701,0.568763833652053,0.930894916507947,"Daxx","ns"
0.702869639739592,0.000781333635109408,0.0641459594157469,"Dazap1","ns"
0.223886122300942,0.280219381723326,0.807897269815439,"Dazap2","ns"
0.269614799727377,0.527616831581815,0.910528693859115,"Dazl","ns"
-0.2378521261344,0.777519114833629,0.971741185318365,"Dbh","ns"
0.282326429249106,0.0935551591219621,0.608593230226917,"Dbi","ns"
0.137617028767322,0.717893645234035,0.963979212933434,"Dbndd2","ns"
-0.297473309679058,0.20109253672237,0.74880107088,"Dbp","ns"
0.056248938732834,0.256341290324362,0.795527710182802,"Dbx1","ns"
0.603739430810694,0.00982859393348334,0.255764438650503,"Dbx2","ns"
-0.522882476322893,0.376401116048561,0.854109906365414,"Dcaf12","ns"
-0.0457402729323064,0.900299549978873,0.986361133324179,"Dcaf12l2","ns"
-0.110017459380632,0.787654230297244,0.972042380725181,"Dcaf15","ns"
-0.386450333326337,0.0895847007273593,0.603525570306442,"Dcaf4","ns"
-0.400878477931137,0.158554839931577,0.700415258709732,"Dcaf7","ns"
-0.590920460683589,0.010272024308946,0.258255869144906,"Dcaf8l","ns"
-0.385709999792963,0.138880204558196,0.674731470597679,"Dcc","ns"
-0.11275907077955,0.823801891800062,0.972042380725181,"Dchs1","ns"
0.365178560293821,0.212088633989419,0.759699858668936,"Dchs2","ns"
0.218180659938342,0.509870197724134,0.906505105216544,"Dclk1","ns"
-0.0260913743840443,0.949880420739068,0.995351869948558,"Dclre1c","ns"
0.477765402003574,0.0819635958350363,0.586410078182729,"Dcn","ns"
0.0566788716122009,0.740720293244387,0.966848389930146,"Dcp1b","ns"
0.1601973274584,0.661042965658553,0.953419577564694,"Dcp2","ns"
-0.0170030145392912,0.315640748376579,0.830143098902473,"Dcpp3","ns"
-1.52381352980118,0.0165630573715609,0.32012040947585,"Dcps","down"
0.123855863578419,0.922534497105551,0.990743469517124,"Dcstamp","ns"
-0.112519515775402,0.515736361099508,0.909167345051908,"Dctn1","ns"
-0.177929409215262,0.987419433577633,1,"Dctn2","ns"
-0.202854366317576,0.339324651919537,0.842001432549328,"Dctn3","ns"
-0.371930493977876,0.0567801216473262,0.519646708934108,"Dcun1d1","ns"
0.213109806232427,0.692168196412413,0.961977339885574,"Dcun1d3","ns"
-0.0402651007710486,0.789281034527976,0.972042380725181,"Dcun1d4","ns"
-0.21611146897621,0.371266218903489,0.852179068474605,"Dcun1d5","ns"
-0.298474035780467,0.452809535850927,0.884494297461083,"Dcx","ns"
0.00805808090511939,0.872677204650541,0.98384160066753,"Dda1","ns"
-0.131474266192563,0.729388996822655,0.9655412456893,"Ddah2","ns"
0.187079055299974,0.131632848672306,0.665776366652792,"Ddb1","ns"
-0.567718296289776,0.0613746313946567,0.533876587352932,"Ddc","ns"
-0.0228070951000252,1,1,"Ddhd2","ns"
0.605935126876147,0.00513192674159686,0.186037898416156,"Ddit3","ns"
0.0920189255452286,1,1,"Ddit4","ns"
-0.514296423787407,0.0238117772706636,0.371660643286313,"Ddo","ns"
0.221730863976874,0.291760488881669,0.813145933295611,"Ddost","ns"
-0.146983172270465,0.509271383786708,0.906505105216544,"Ddr1","ns"
0.415875676624646,0.0265547513862501,0.384820589457794,"Ddrgk1","ns"
0.0370263079952133,1,1,"Ddt","ns"
-0.190461109521163,0.361168752464575,0.850948022026749,"Ddx1","ns"
0.122730591285311,0.380406569899993,0.854130622421927,"Ddx17","ns"
-0.0135434405093435,0.677002602594544,0.959346451338753,"Ddx18","ns"
-0.17256776142997,0.587836166043679,0.938423617564952,"Ddx20","ns"
-0.232566285266938,0.469939022058981,0.893364215827902,"Ddx21","ns"
0.58102016925891,0.0377007448342128,0.439702001729385,"Ddx24","ns"
-0.280854749077926,0.134472245171416,0.669160435026022,"Ddx25","ns"
-0.398898402933623,0.202924242918907,0.749079838588778,"Ddx31","ns"
0.336990575429389,0.342632004701037,0.844102356110195,"Ddx39a","ns"
0.174763814522244,0.375550210549024,0.8538847306917,"Ddx39b","ns"
0.648805071307483,0.0115866643345215,0.269518686492453,"Ddx3x","ns"
-0.0479950551032671,0.58786558033819,0.938423617564952,"Ddx3y","ns"
-0.262185867701667,0.692111395310595,0.961977339885574,"Ddx47","ns"
0.0904583273411332,0.594075744310779,0.938423617564952,"Ddx5","ns"
0.427939292123829,0.0802955768813692,0.583170130793222,"Ddx50","ns"
0.0773932032544657,0.837540833766901,0.975665375563718,"Ddx52","ns"
-0.221871797978076,0.205269820343792,0.751608865570143,"Ddx54","ns"
0.220063825202861,0.145400504751403,0.682026045833854,"Ddx55","ns"
1.40975145076559,2.47077610801053e-05,0.0110990312970274,"Ddx58","up"
0.0200007275675649,0.163754240494453,0.707573792518342,"Ddx6","ns"
0.251552232061197,0.0980263278609781,0.617441567909731,"Ddx60","ns"
-0.348018554633551,0.150418107044354,0.686556629929984,"Deaf1","ns"
-0.644590860596932,0.824504482232456,0.972042380725181,"Decr2","ns"
-0.317276562489344,0.100807085447861,0.626079188269048,"Dedd","ns"
-0.0950669733955192,0.361519088134389,0.850948022026749,"Def8","ns"
-0.289060567306473,0.168948362118582,0.715254592710315,"Defa2","ns"
0.0924988757429293,0.900201356522522,0.986361133324179,"Defa29","ns"
-0.546201168174419,0.613321430622658,0.944347777222566,"Defa34","ns"
-0.284216147036194,0.0858424076095165,0.59704677850672,"Defa40","ns"
-0.256116891568796,0.218482766879299,0.772624446726036,"Defa-rs4","ns"
-0.117513253262069,0.787492704339819,0.972042380725181,"Defb11","ns"
-0.154758832679713,0.848959167427941,0.978695608857197,"Defb2","ns"
