ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0010837,regulation of keratinocyte proliferation,24,0.23726948528654107,0.7652314382410584,0.7928994082840237,0.9504060731606007,0.8232661487351107,1269,"tags=21%, list=16%, signal=18%",21816/13039/22695/22337/18426
GO:0043616,keratinocyte proliferation,24,0.23726948528654107,0.7652314382410584,0.7928994082840237,0.9504060731606007,0.8232661487351107,1269,"tags=21%, list=16%, signal=18%",21816/13039/22695/22337/18426
GO:0071880,adenylate cyclase-activating adrenergic receptor signaling pathway,13,0.27506582520022793,0.7345579185555094,0.7914438502673797,0.9504060731606007,0.8232661487351107,831,"tags=31%, list=10%, signal=28%",14683/14678/18578/75547
GO:0001967,suckling behavior,10,0.2933208252221414,0.7275557109269585,0.7932816537467701,0.9504060731606007,0.8232661487351107,1614,"tags=30%, list=20%, signal=24%",11820/70093/14660
GO:0060512,prostate gland morphogenesis,10,0.2924281136928858,0.725341420922734,0.7932816537467701,0.9504060731606007,0.8232661487351107,439,"tags=20%, list=5%, signal=19%",20377/20682
GO:1903008,organelle disassembly,70,0.20505430343223202,0.81735213841195,0.7947882736156352,0.9512181866969189,0.8239696223368284,1315,"tags=26%, list=16%, signal=22%",13043/56486/225845/66169/170731/77006/12660/66155/319801/66361/105787/18412/67998/67006/66734/15185/68184/67526
GO:0032011,ARF protein signal transduction,11,-0.31625993503570676,-0.7667760098294659,0.7947882736156352,0.9512181866969189,0.8239696223368284,4068,"tags=82%, list=51%, signal=40%",99371/212307/50753/19158/26921/245666/243621/232227/215632
GO:0032012,regulation of ARF protein signal transduction,11,-0.31625993503570676,-0.7667760098294659,0.7947882736156352,0.9512181866969189,0.8239696223368284,4068,"tags=82%, list=51%, signal=40%",99371/212307/50753/19158/26921/245666/243621/232227/215632
GO:0042491,inner ear auditory receptor cell differentiation,22,0.2438990886698737,0.7655087201264165,0.7943661971830986,0.9512181866969189,0.8239696223368284,802,"tags=23%, list=10%, signal=21%",97031/14182/20655/17920/380959
GO:0072091,regulation of stem cell proliferation,43,-0.2367344833653754,-0.7935079333205264,0.795355587808418,0.9516490757436661,0.8243428694951382,2523,"tags=44%, list=32%, signal=30%",12580/20666/11421/17311/14175/12387/18028/14825/14183/217127/18952/15364/22410/50721/20672/21386/14633/21908/17283
GO:0000075,cell cycle checkpoint signaling,78,-0.22442671590272076,-0.8259611295777701,0.7963483146067416,0.9516788555092269,0.8243686654928657,2228,"tags=32%, list=28%, signal=23%",107995/70799/65964/28000/99375/52040/67052/234664/11789/381979/11799/52696/225131/67177/109019/28114/208583/71702/20184/107829/66371/15937/26951/234736/16319
GO:0032740,positive regulation of interleukin-17 production,11,-0.31602853379583107,-0.7662149747449509,0.7964169381107492,0.9516788555092269,0.8243686654928657,904,"tags=27%, list=11%, signal=24%",18673/30925/17085
GO:0060674,placenta blood vessel development,20,-0.2673834287118954,-0.755003342684684,0.7963246554364471,0.9516788555092269,0.8243686654928657,2247,"tags=40%, list=28%, signal=29%",18815/18799/18814/231672/11651/238328/56334/14367
GO:2000279,negative regulation of DNA biosynthetic process,20,-0.26608793566007094,-0.7513452940566737,0.7963246554364471,0.9516788555092269,0.8243686654928657,379,"tags=15%, list=5%, signal=14%",17283/18159/72400
GO:0006783,heme biosynthetic process,12,-0.2981145728465504,-0.7483569410398312,0.7958860759493671,0.9516788555092269,0.8243686654928657,3347,"tags=58%, list=42%, signal=34%",64602/216792/14297/11655/11306/14664/14151
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,96,-0.21423997516988272,-0.8274839860610482,0.79702300405954,0.9521552463276991,0.8247813274544126,2293,"tags=42%, list=29%, signal=30%",16336/140498/14677/19084/217674/19735/243277/245424/51801/14773/11539/15874/15552/15566/56508/11803/18441/233919/14673/11552/14682/14685/11551/11535/11515/215798/12669/12921/17201/13491/381628/435529/99633/15550/20606/54393/12374/12766/14309/13490
GO:0034766,negative regulation of monoatomic ion transmembrane transport,57,-0.23285538684186863,-0.8097306925581655,0.7985401459854015,0.9522331974594749,0.8248488507266839,2439,"tags=37%, list=31%, signal=26%",98660/22333/14664/76757/53416/56437/11735/11977/11472/83814/30948/403088/11651/54652/69563/13491/225055/14697/29867/57814/13490
GO:0014855,striated muscle cell proliferation,35,-0.24295930723444842,-0.7803357614590891,0.7982456140350878,0.9522331974594749,0.8248488507266839,2108,"tags=43%, list=26%, signal=32%",14609/19084/353326/12387/14465/77579/16646/14463/11789/11600/14183/17928/211323/19662/17260
GO:1990573,potassium ion import across plasma membrane,22,-0.26919990357085577,-0.7753577201827754,0.7975270479134466,0.9522331974594749,0.8248488507266839,3194,"tags=55%, list=40%, signal=33%",11931/16521/232975/16519/98660/75607/16529/15166/171286/211480/107723/16513
GO:0043029,T cell homeostasis,21,0.2506154928745041,0.7732759390809026,0.7977207977207977,0.9522331974594749,0.8248488507266839,488,"tags=14%, list=6%, signal=13%",20104/12028/12721
GO:0150077,regulation of neuroinflammatory response,19,0.25993219961866043,0.772511014260174,0.7977207977207977,0.9522331974594749,0.8248488507266839,981,"tags=26%, list=12%, signal=23%",21938/16835/12978/229521/19225
GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,25,-0.25813573932648154,-0.7707203108800901,0.7982062780269058,0.9522331974594749,0.8248488507266839,1692,"tags=24%, list=21%, signal=19%",11789/69274/225131/237256/268709/234736
GO:0010743,regulation of macrophage derived foam cell differentiation,10,0.29038880974483455,0.7202831123877129,0.7984496124031008,0.9522331974594749,0.8248488507266839,157,"tags=10%, list=2%, signal=10%",16173
GO:0071470,cellular response to osmotic stress,21,-0.27043892093128613,-0.7699104482098049,0.7987711213517665,0.9522612874905115,0.8248731830329713,2446,"tags=43%, list=31%, signal=30%",98363/110876/74370/231549/53416/66972/12015/107723/56384
