ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
mmu05020,Prion disease - Mus musculus (house mouse),166,0.20457946987923364,0.9469337719982263,0.6419213973799127,0.9651444017641201,0.7810050093222816,1023,"tags=16%, list=13%, signal=14%",20304/12260/12262/12289/13198/13063/12028/19354/66925/69077/20655/15481/11909/19057/19177/20192/26446/19170/21762/68342/17463/12371/66416/26442/68349/26444
mmu04070,Phosphatidylinositol signaling system - Mus musculus (house mouse),48,-0.25688525698134707,-0.8943621567396203,0.6419213973799127,0.9651444017641201,0.7810050093222816,1947,"tags=25%, list=24%, signal=19%",219135/53332/77116/13139/217480/20975/269180/271424/74596/18798/83493/219024
mmu04730,Long-term depression - Mus musculus (house mouse),34,-0.27451539891700955,-0.8796405790173804,0.6424242424242425,0.9651444017641201,0.7810050093222816,2353,"tags=35%, list=29%, signal=25%",78390/54195/109880/211429/14673/14682/60596/271844/12921/329502/18798/26417
mmu04935,"Growth hormone synthesis, secretion and action - Mus musculus (house mouse)",67,0.22175786195884714,0.891528397080929,0.6635220125786163,0.992182448715688,0.8028844815265108,626,"tags=12%, list=8%, signal=11%",12703/20848/12289/12702/14683/14678/26395/11909
mmu05200,Pathways in cancer - Mus musculus (house mouse),242,0.1869666100606012,0.9189484165783662,0.7440758293838863,0.9968257723625322,0.8066419078986282,1033,"tags=17%, list=13%, signal=16%",15978/14701/14707/59069/12983/12984/15368/12313/20848/112406/12122/12386/21402/13063/14688/14693/14683/12028/14678/19354/11848/26395/14182/12978/16195/66066/17873/20182/170770/12540/381810/13542/76551/21802/19877/15519/24069/67673/12371/19225/16400/433759
mmu04371,Apelin signaling pathway - Mus musculus (house mouse),71,0.22108630163548132,0.8953832431689169,0.6775244299674267,0.9968257723625322,0.8066419078986282,878,"tags=18%, list=11%, signal=16%",14701/14707/12313/14688/14693/20104/14678/26395/66066/107589/320207/20192/105787
mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),87,-0.23233295429558734,-0.8852091910599318,0.7106741573033708,0.9968257723625322,0.8066419078986282,1274,"tags=21%, list=16%, signal=18%",20183/12151/19401/15364/14048/12427/53618/12524/107951/235320/100041952/12576/21908/110794/17283/17260/109115/50528
mmu05012,Parkinson disease - Mus musculus (house mouse),166,0.18861902999920077,0.8730579351546165,0.8427947598253275,0.9968257723625322,0.8066419078986282,1043,"tags=17%, list=13%, signal=16%",22187/12313/22166/22201/13198/20617/13063/170731/14683/12028/14678/66925/69077/22195/20655/19177/20192/26446/19170/21762/68427/68342/17463/12371/66416/26442/68349/26444/22433
mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),277,-0.19721583459477382,-0.8685125890564025,0.8076448828606658,0.9968257723625322,0.8066419078986282,1835,"tags=22%, list=23%, signal=18%",22223/13417/216795/16175/14682/11957/18039/19182/66945/11789/28080/20463/69875/75406/22416/56811/12015/22202/12977/68942/12857/240960/16973/66142/21926/22241/12669/54130/67530/93897/22410/226641/237038/54652/22421/72900/68943/19164/12421/12288/18951/17992/218460/76559/51897/56208/22334/13067/18798/22143/29869/70247/12006/140499/22272/380684/14778/14367/26417/13665/14103
mmu04137,Mitophagy - animal - Mus musculus (house mouse),62,-0.2379227344947094,-0.8664889808867853,0.6891117478510028,0.9968257723625322,0.8066419078986282,2137,"tags=29%, list=27%, signal=21%",17827/78294/72825/20683/271457/12034/19349/382793/22241/74143/12177/68943/19344/56208/100756/17966/76815/13665
