"UMAP_1","UMAP_2","cluster","myeloid_binary"
-1.01702049220255,0.461809049486708,"Transiently Activated Microglia","Myeloid"
3.42210266148398,2.88961566531618,"Infiltrating Macrophages","Myeloid"
-0.385361461288241,-0.34851824200194,"Homeostatic Microglia","Myeloid"
-1.95055416072061,-0.795534004331041,"Transiently Activated Microglia","Myeloid"
-2.71849563563516,-2.43459450161498,"Homeostatic Microglia","Myeloid"
-0.591726092941073,0.804817329287123,"Transiently Activated Microglia","Myeloid"
-2.0509679600065,0.0296377047296277,"Primed Microglia","Myeloid"
-1.67180254901102,2.33962691867311,"Homeostatic Microglia","Myeloid"
-1.18881895983866,-1.2855304375891,"Transiently Activated Microglia","Myeloid"
-2.7166722103422,-0.0505736962560901,"Transiently Activated Microglia","Myeloid"
-1.11844613993814,-2.78988968288939,"Transiently Activated Microglia","Myeloid"
4.86797592198202,-2.23794971859496,"CD8+ T Cells","Non-Myeloid"
-1.25976255381754,0.628446470141005,"Primed Microglia","Myeloid"
-0.766998080856112,-3.98773466503661,"Homeostatic Microglia","Myeloid"
-3.04201510394266,0.281895767092299,"Transiently Activated Microglia","Myeloid"
-2.12166312182596,1.92131460750062,"Transiently Activated Microglia","Myeloid"
-1.11331537211588,0.229898582338881,"Homeostatic Microglia","Myeloid"
-1.31359222376993,2.41837514483888,"Homeostatic Microglia","Myeloid"
-1.58642342532328,2.28774560534913,"IEG-High Microglia","Myeloid"
-1.66073039019754,-0.601781715512682,"Homeostatic Microglia","Myeloid"
-2.66162255252054,1.58252013766725,"Homeostatic Microglia","Myeloid"
-3.13349202120951,0.875323902010511,"Homeostatic Microglia","Myeloid"
1.0853206828768,0.979518543123793,"Mitochondrial-Activated Microglia","Myeloid"
-1.8947146221464,-3.25614105618041,"Transiently Activated Microglia","Myeloid"
-3.24221089327982,1.5388172968622,"IEG-High Microglia","Myeloid"
-2.14642050707987,-0.471859802365709,"Homeostatic Microglia","Myeloid"
-0.989594249374179,-0.98309790051024,"Transiently Activated Microglia","Myeloid"
-0.700993327743319,0.509144674181532,"Homeostatic Microglia","Myeloid"
1.79378864323446,-1.01154505169432,"Homeostatic Microglia","Myeloid"
-1.07640102351358,-0.663035263181139,"Transiently Activated Microglia","Myeloid"
-2.40979030574015,2.4179505213495,"IEG-High Microglia","Myeloid"
-1.97765949214151,1.34561933124025,"Homeostatic Microglia","Myeloid"
-0.548187999374179,-3.58702503597777,"Primed Microglia","Myeloid"
-0.743674068099764,0.419087777971815,"Homeostatic Microglia","Myeloid"
-1.66878059352091,-2.94129406368773,"Homeostatic Microglia","Myeloid"
-2.25970437968424,-0.621837486386705,"IEG-High Microglia","Myeloid"
0.699934215896818,1.84352124774415,"Homeostatic Microglia","Myeloid"
0.771582813614103,-2.02946506893675,"Homeostatic Microglia","Myeloid"
-2.16934469187906,1.33041394793947,"Transiently Activated Microglia","Myeloid"
-1.55214503253153,2.59816003882844,"IFN-Responsive Microglia","Myeloid"
-2.15045574153116,-0.620028843045641,"Homeostatic Microglia","Myeloid"
2.99694892918417,2.21641672694642,"Infiltrating Macrophages","Myeloid"
-0.437412528640536,0.972776780962538,"Homeostatic Microglia","Myeloid"
0.253977985733243,-0.100908149838854,"Homeostatic Microglia","Myeloid"
-1.72676804507425,0.310751090883802,"Homeostatic Microglia","Myeloid"
-1.17040946925333,1.31784308993776,"Transiently Activated Microglia","Myeloid"
-2.59101655924967,0.762943158983778,"Transiently Activated Microglia","Myeloid"
-2.83958890879801,-1.18894421017211,"Mitochondrial-Activated Microglia","Myeloid"
-2.37612011874369,-0.188774932980944,"Homeostatic Microglia","Myeloid"
-2.00852778399637,1.33432305896242,"Transiently Activated Microglia","Myeloid"
1.82902261769125,0.860974441408705,"Mitochondrial-Activated Microglia","Myeloid"
2.83895942723105,-0.918985237241198,"Primed Microglia","Myeloid"
3.4896266177828,2.91191030585725,"Infiltrating Macrophages","Myeloid"
-0.252419738418368,1.42143763148744,"IEG-High Microglia","Myeloid"
-2.28567483866861,-0.825365413785387,"Transiently Activated Microglia","Myeloid"
-1.63504221881082,-0.233163704038073,"Homeostatic Microglia","Myeloid"
3.04252216374228,2.75520790660341,"Infiltrating Macrophages","Myeloid"
-2.09575417483499,-1.06607614910643,"Transiently Activated Microglia","Myeloid"
-1.50090411151102,1.24961389148195,"Mitochondrial-Activated Microglia","Myeloid"
-0.528025416976718,3.33935464465578,"Transiently Activated Microglia","Myeloid"
-0.515377788192538,-1.20225035107176,"Homeostatic Microglia","Myeloid"
-2.3583581730192,0.295817743181776,"Homeostatic Microglia","Myeloid"
-1.15384510005167,2.16954339587648,"Primed Microglia","Myeloid"
-2.83443310702494,-2.22218119061034,"IEG-High Microglia","Myeloid"
3.36386272465536,3.13028330647905,"Infiltrating Macrophages","Myeloid"
3.97097656285116,-0.237990249753405,"CNS Endothelial Cells","Non-Myeloid"
0.928757877701017,1.56084025943239,"IEG-High Microglia","Myeloid"
-3.05199745143106,-0.621177543759752,"Mitochondrial-Activated Microglia","Myeloid"
-1.20003440821817,0.53249515140016,"Transiently Activated Microglia","Myeloid"
3.57036277806112,3.46295387589891,"Infiltrating Macrophages","Myeloid"
-2.77286627734354,0.0965906485315076,"Homeostatic Microglia","Myeloid"
-1.53348305667093,0.626771579622816,"Transiently Activated Microglia","Myeloid"
-1.57027914965799,1.50285972201784,"Transiently Activated Microglia","Myeloid"
3.8230702594454,0.127243886828016,"Vascular Smooth Muscle Cells","Non-Myeloid"
2.40960952793905,1.10397041881044,"Transiently Activated Microglia","Myeloid"
-0.859407214767245,-2.10225998318236,"Transiently Activated Microglia","Myeloid"
1.51227447544882,1.50617850863893,"Transiently Activated Microglia","Myeloid"
-1.85982325518778,0.352173696398329,"Homeostatic Microglia","Myeloid"
-3.03662541354349,0.43723786914308,"Homeostatic Microglia","Myeloid"
-1.85635903323343,0.941592822908949,"Homeostatic Microglia","Myeloid"
-2.79108527148416,-2.29486118710082,"Homeostatic Microglia","Myeloid"
-1.29107931101969,-3.81362282192748,"Homeostatic Microglia","Myeloid"
-2.17152932131937,-3.15161835110228,"Homeostatic Microglia","Myeloid"
-1.06899240458658,-3.33351265347045,"Mitochondrial-Activated Microglia","Myeloid"
-1.73147728884867,1.67820919597108,"Transiently Activated Microglia","Myeloid"
-0.739473132735995,-1.17268024838011,"Homeostatic Microglia","Myeloid"
-2.02315094912699,-1.10470711147826,"Transiently Activated Microglia","Myeloid"
-2.96597030604532,-0.200271476865221,"Homeostatic Microglia","Myeloid"
-2.80627539599588,1.2012597426172,"Transiently Activated Microglia","Myeloid"
4.05330249821493,-0.281072010159899,"CNS Endothelial Cells","Non-Myeloid"
-2.12432291949442,-1.00421415722411,"Transiently Activated Microglia","Myeloid"
-2.53092053378275,0.0741239889856091,"CNS Endothelial Cells","Non-Myeloid"
1.13344356571982,-0.499746193051744,"Homeostatic Microglia","Myeloid"
-1.72170188868692,1.39878142917116,"Transiently Activated Microglia","Myeloid"
-2.87439110720804,0.720199237703871,"Transiently Activated Microglia","Myeloid"
0.322436066024991,2.28192068183381,"Homeostatic Microglia","Myeloid"
-2.10273912394693,0.587977777361464,"Primed Microglia","Myeloid"
3.57681247746298,3.47251201713045,"Infiltrating Macrophages","Myeloid"
3.57593891178915,3.3473289116617,"Infiltrating Macrophages","Myeloid"
-1.72061279261759,0.287781129717421,"Transiently Activated Microglia","Myeloid"
-2.38224342311075,-2.88167225277464,"Mitochondrial-Activated Microglia","Myeloid"
1.91013786351034,1.09441889369447,"Primed Microglia","Myeloid"
0.520566673629972,-0.593487609982897,"Homeostatic Microglia","Myeloid"
1.07422468220541,-1.10391508495848,"Primed Microglia","Myeloid"
-2.92884614909342,-2.57108103191893,"Transiently Activated Microglia","Myeloid"
4.13421985661337,-0.221109260678698,"CNS Endothelial Cells","Non-Myeloid"
-2.08018901789835,-1.33204780972045,"Transiently Activated Microglia","Myeloid"
-0.414651660568026,-1.01456581509154,"Homeostatic Microglia","Myeloid"
-2.40186670268228,0.971068273424696,"Transiently Activated Microglia","Myeloid"
1.75252983128378,0.336871038317274,"Primed Microglia","Myeloid"
-1.78617790187052,-2.98656069195311,"Primed Microglia","Myeloid"
-1.52973487818888,-1.12087761318724,"Transiently Activated Microglia","Myeloid"
3.38640377079794,2.79318083369691,"Infiltrating Macrophages","Myeloid"
-1.17350461924723,1.41110242450197,"Transiently Activated Microglia","Myeloid"
1.22791692768881,-0.694367756009508,"Homeostatic Microglia","Myeloid"
-3.19334927046945,-0.867222656369615,"IEG-High Microglia","Myeloid"
-1.65555217707804,0.0103808745141736,"Homeostatic Microglia","Myeloid"
-1.05830314601114,-2.25070225155394,"Transiently Activated Microglia","Myeloid"
0.264729233139249,1.32698429667909,"Transiently Activated Microglia","Myeloid"
2.85231372868368,-1.12336670315306,"Mitochondrial-Activated Microglia","Myeloid"
1.28052637135336,0.125582347750258,"Transiently Activated Microglia","Myeloid"
-2.87669804537943,0.705131421923231,"Transiently Activated Microglia","Myeloid"
-2.18341663325479,0.525325666307997,"Homeostatic Microglia","Myeloid"
-2.28971460307291,-1.98029552853148,"Homeostatic Microglia","Myeloid"
-2.67125299418619,1.94830001437623,"IEG-High Microglia","Myeloid"
-1.91411617243936,-0.58083664333861,"Transiently Activated Microglia","Myeloid"
-2.00720169985941,0.082814107775282,"Primed Microglia","Myeloid"
-1.45868518794229,-0.332235206723619,"Mitochondrial-Activated Microglia","Myeloid"
-0.521604327804354,-0.235704292416979,"Transiently Activated Microglia","Myeloid"
0.356147022598478,-2.49765812313597,"Transiently Activated Microglia","Myeloid"
-2.95001604998758,-0.44608961498778,"Transiently Activated Microglia","Myeloid"
-2.37029865229776,-0.487372268796373,"IEG-High Microglia","Myeloid"
