condition,Homeostatic Microglia,IFN-Responsive Microglia,Transiently Activated Microglia,IEG-High Microglia,Primed Microglia,Mitochondrial-Activated Microglia,Infiltrating Macrophages
Mock,0.38715203426124195,0.004710920770877944,0.3374732334047109,0.08650963597430407,0.05738758029978587,0.07708779443254818,0.04967880085653105
HSV1,0.3663877514687556,0.15720135303542818,0.20331137617945522,0.04628805412141713,0.11180345380096136,0.08064803275769984,0.03435997863628271
