"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","gene_set_db","cluster","direction","cluster_dir","Pathway","logp"
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection - Mus musculus (house mouse)","9/61","274/6346",0.00110033803849514,0.013268782228912,0.0102879903289639,"20846/23962/14972/20847/14964/16362/19106/15040/23797",9,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Human papillomavirus infection - Mus musculus (house mouse) [KEGG]",1.87716893361877
"Human Diseases","Infectious disease: viral","mmu05160","Hepatitis C - Mus musculus (house mouse)","6/61","125/6346",0.00118590677245939,0.0135061604641208,0.0104720422597291,"20846/20847/19106/23797/15945/54123",6,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Hepatitis C - Mus musculus (house mouse) [KEGG]",1.86946809481514
"Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway - Mus musculus (house mouse)","4/61","50/6346",0.00127906027321642,0.0138003871583877,0.0107001718147191,"98999/71586/15945/54123",4,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","RIG-I-like receptor signaling pathway - Mus musculus (house mouse) [KEGG]",1.86010872965725
"Genetic Information Processing","Information processing in viruses","mmu03250","Viral life cycle - HIV-1 - Mus musculus (house mouse)","4/61","56/6346",0.00195421774024279,0.0200307318374886,0.0155308883566664,"56045/19386/209387/80287",4,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Viral life cycle - HIV-1 - Mus musculus (house mouse) [KEGG]",1.69830318314892
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway - Mus musculus (house mouse)","4/61","62/6346",0.00284359218464746,0.0263674924735723,0.0204441148318841,"56045/15951/15945/54123",4,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Cytosolic DNA-sensing pathway - Mus musculus (house mouse) [KEGG]",1.57893116928396
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway - Mus musculus (house mouse)","5/61","103/6346",0.00295830403362031,0.0263674924735723,0.0204441148318841,"20846/20847/16438/16362/23797",5,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","C-type lectin receptor signaling pathway - Mus musculus (house mouse) [KEGG]",1.57893116928396
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis - Mus musculus (house mouse)","5/61","103/6346",0.00295830403362031,0.0263674924735723,0.0204441148318841,"20846/14961/15944/14960/23797",5,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Toxoplasmosis - Mus musculus (house mouse) [KEGG]",1.57893116928396
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse)","7/61","209/6346",0.0036634668246026,0.0312921124601472,0.0242624337945172,"14972/14964/14961/12010/14960/15040/23797",7,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Human T-cell leukemia virus 1 infection - Mus musculus (house mouse) [KEGG]",1.50456511762026
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","6/61","160/6346",0.00413229258820481,0.0335927876408719,0.0260462692363115,"20846/20847/20293/23797/15945/17329",6,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Chemokine signaling pathway - Mus musculus (house mouse) [KEGG]",1.47375395546722
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis - Mus musculus (house mouse)","6/61","161/6346",0.00426054867640327,0.0335927876408719,0.0260462692363115,"14972/14964/20684/19106/15040/54123",6,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Viral carcinogenesis - Mus musculus (house mouse) [KEGG]",1.47375395546722
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis - Mus musculus (house mouse)","7/61","221/6346",0.00497819879293912,0.0377974352797229,0.0293063554672049,"14972/14964/21354/14961/11461/14960/15040",7,"KEGG","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Phagocytosis - Mus musculus (house mouse) [KEGG]",1.42253766793136
NA,NA,"R-MMU-1236974","ER-Phagosome pathway","5/56","20/6898",4.15342616070812e-07,0.000126264155285527,0.000123291176559967,"14972/21354/12010/21356/15040",5,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","ER-Phagosome pathway [Reactome]",3.89871992237537
NA,NA,"R-MMU-1236977","Endosomal/Vacuolar pathway","4/56","11/6898",1.2326128808295e-06,0.000170344761861098,0.000166333874116446,"14972/12010/15040/240028",4,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Endosomal/Vacuolar pathway [Reactome]",3.76867121654164
NA,NA,"R-MMU-983170","Antigen Presentation: Folding, assembly and peptide loading of class I MHC","5/56","27/6898",2.07116422927861e-06,0.000170344761861098,0.000166333874116446,"14972/21354/12010/21356/15040",5,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Antigen Presentation: Folding, assembly and peptide loading of class I MHC [Reactome]",3.76867121654164
NA,NA,"R-MMU-1236975","Antigen processing-Cross presentation","7/56","76/6898",2.24137844554077e-06,0.000170344761861098,0.000166333874116446,"14972/21354/12010/21356/15040/240028/19188",7,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Antigen processing-Cross presentation [Reactome]",3.76867121654164
NA,NA,"R-MMU-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","6/56","72/6898",2.25132740155371e-05,0.00136880706014466,0.00133657753102768,"14972/66141/12010/27007/15040/75345",6,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell [Reactome]",2.86365776342169
NA,NA,"R-MMU-6798695","Neutrophil degranulation","12/56","419/6898",0.000104179543251823,0.0052784301914257,0.00515414582403756,"19264/14972/381308/100040462/15951/14190/12010/16423/226695/212032/15040/11980",12,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Neutrophil degranulation [Reactome]",2.27749521772551
NA,NA,"R-MMU-197264","Nicotinamide salvaging","3/56","13/6898",0.000136851953414266,0.00594328483399097,0.00580334599440946,"547253/80285/59027",3,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Nicotinamide salvaging [Reactome]",2.22597345552906
NA,NA,"R-MMU-2172127","DAP12 interactions","4/56","45/6898",0.000453319627418093,0.0172261458418875,0.0168205440699872,"14972/12010/27007/15040",4,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","DAP12 interactions [Reactome]",1.76381188023265
NA,NA,"R-MMU-196807","Nicotinate metabolism","3/56","24/6898",0.000909053389891669,0.0307058033918964,0.0299828135613393,"547253/80285/59027",3,"Reactome","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","Nicotinate metabolism [Reactome]",1.51277953517799
NA,NA,"GO:0002831","regulation of response to biotic stimulus","36/97","476/15173",1.7772424140212e-29,3.62735176701727e-26,2.80055988819972e-26,"434341/20846/56045/547253/20128/14972/381308/20847/16149/229900/100040462/229898/14469/80285/78781/17472/15950/15951/14964/21354/14190/16362/623121/15944/236312/60533/83490/226695/98999/19106/27007/209387/15040/71586/80287/54123",36,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of response to biotic stimulus [GO_BP]",25.4404103261216
NA,NA,"GO:0045088","regulation of innate immune response","31/97","396/15173",1.14588284141004e-25,1.16937343965895e-22,9.0283505978465e-23,"434341/56045/547253/20128/14972/381308/20847/16149/229900/100040462/229898/14469/80285/78781/15950/15951/14964/21354/16362/623121/15944/236312/83490/226695/98999/19106/27007/209387/15040/71586/54123",31,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of innate immune response [GO_BP]",21.9320467746518
NA,NA,"GO:0002833","positive regulation of response to biotic stimulus","28/97","350/15173",2.16886973936141e-23,1.47555437934555e-20,1.13922736835931e-20,"434341/20128/14972/381308/16149/229900/100040462/229898/14469/80285/78781/15950/15951/14964/16362/623121/15944/236312/60533/83490/226695/98999/19106/27007/209387/15040/71586/54123",28,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of response to biotic stimulus [GO_BP]",19.8310447805967
