"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","gene_set_db","cluster","direction","cluster_dir","Pathway","logp"
NA,NA,"GO:0042270","protection from natural killer cell mediated cytotoxicity","4/97","14/15173",1.49580701132216e-06,3.02271496050349e-05,2.33373954762821e-05,"14972/14964/21354/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","protection from natural killer cell mediated cytotoxicity [GO_BP]",4.51960280449832
NA,NA,"GO:0060330","regulation of response to type II interferon","4/97","14/15173",1.49580701132216e-06,3.02271496050349e-05,2.33373954762821e-05,"434341/547253/80285/15944",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of response to type II interferon [GO_BP]",4.51960280449832
NA,NA,"GO:0060334","regulation of type II interferon-mediated signaling pathway","4/97","14/15173",1.49580701132216e-06,3.02271496050349e-05,2.33373954762821e-05,"434341/547253/80285/15944",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of type II interferon-mediated signaling pathway [GO_BP]",4.51960280449832
NA,NA,"GO:0002711","positive regulation of T cell mediated immunity","6/97","57/15173",1.62884838968162e-06,3.2429199630559e-05,2.50375264173634e-05,"19264/14972/14964/12010/15040/329260",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of T cell mediated immunity [GO_BP]",4.48906376980748
NA,NA,"GO:0030522","intracellular receptor signaling pathway","11/97","279/15173",1.63655441545692e-06,3.2429199630559e-05,2.50375264173634e-05,"20128/229898/14469/78781/16362/18712/15944/83490/19106/71586/54123",11,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","intracellular receptor signaling pathway [GO_BP]",4.48906376980748
NA,NA,"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","9/97","174/15173",1.6775884411215e-06,3.25463244292487e-05,2.51279546510149e-05,"19264/14972/14964/14961/12010/16362/60533/15040/329260",9,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains [GO_BP]",4.487498050728
NA,NA,"GO:0016064","immunoglobulin mediated immune response","8/97","129/15173",1.68277647709079e-06,3.25463244292487e-05,2.51279546510149e-05,"19264/14972/16149/14964/14190/14961/15040/54123",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","immunoglobulin mediated immune response [GO_BP]",4.487498050728
NA,NA,"GO:1903901","negative regulation of viral life cycle","5/97","32/15173",1.69030396349846e-06,3.25463244292487e-05,2.51279546510149e-05,"20128/16149/66141/17069/209387",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of viral life cycle [GO_BP]",4.487498050728
NA,NA,"GO:0019724","B cell mediated immunity","8/97","131/15173",1.88990071049451e-06,3.60494144870962e-05,2.78325761299585e-05,"19264/14972/16149/14964/14190/14961/15040/54123",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","B cell mediated immunity [GO_BP]",4.44310178467793
NA,NA,"GO:0032607","interferon-alpha production","5/97","33/15173",1.98209943310602e-06,3.7458008731198e-05,2.89201057637398e-05,"20846/78781/17472/71586/54123",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","interferon-alpha production [GO_BP]",4.42645531345407
NA,NA,"GO:0046641","positive regulation of alpha-beta T cell proliferation","5/97","34/15173",2.31212485441424e-06,4.3294007595041e-05,3.34258899764184e-05,"19264/14972/14964/15944/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of alpha-beta T cell proliferation [GO_BP]",4.36357221100241
NA,NA,"GO:0002697","regulation of immune effector process","12/97","351/15173",2.37520842690968e-06,4.40709127211151e-05,3.40257130630028e-05,"19264/14972/16149/14964/21354/14190/12010/16362/16423/27007/15040/329260",12,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of immune effector process [GO_BP]",4.35584795503492
NA,NA,"GO:0001914","regulation of T cell mediated cytotoxicity","5/97","35/15173",2.68388068480915e-06,4.86422409147953e-05,3.75550863351033e-05,"19264/14972/14964/12010/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of T cell mediated cytotoxicity [GO_BP]",4.31298642562447
NA,NA,"GO:0031342","negative regulation of cell killing","5/97","35/15173",2.68388068480915e-06,4.86422409147953e-05,3.75550863351033e-05,"19264/14972/14964/21354/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of cell killing [GO_BP]",4.31298642562447
NA,NA,"GO:2000564","regulation of CD8-positive, alpha-beta T cell proliferation","4/97","16/15173",2.693078502387e-06,4.86422409147953e-05,3.75550863351033e-05,"14972/14964/16362/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of CD8-positive, alpha-beta T cell proliferation [GO_BP]",4.31298642562447
NA,NA,"GO:0002443","leukocyte mediated immunity","12/97","356/15173",2.74930290360656e-06,4.92221686514122e-05,3.80028296094092e-05,"19264/14972/16149/14964/21354/14190/14961/12010/27007/15040/329260/54123",12,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","leukocyte mediated immunity [GO_BP]",4.30783925587919
NA,NA,"GO:0001912","positive regulation of leukocyte mediated cytotoxicity","6/97","64/15173",3.24637198261628e-06,5.76160453610419e-05,4.44834678075658e-05,"19264/14972/14964/12010/27007/15040",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of leukocyte mediated cytotoxicity [GO_BP]",4.23945655405314
NA,NA,"GO:0035740","CD8-positive, alpha-beta T cell proliferation","4/97","17/15173",3.50447643256911e-06,6.16606586109788e-05,4.7606181665662e-05,"14972/14964/16362/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","CD8-positive, alpha-beta T cell proliferation [GO_BP]",4.2099918407904
NA,NA,"GO:0002440","production of molecular mediator of immune response","10/97","244/15173",3.55280539289946e-06,6.17060354349992e-05,4.7641215630209e-05,"56045/19264/14972/16149/14964/14190/14961/12010/15040/329260",10,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","production of molecular mediator of immune response [GO_BP]",4.20967235577349
NA,NA,"GO:0141085","regulation of inflammasome-mediated signaling pathway","5/97","37/15173",3.56752189188138e-06,6.17060354349992e-05,4.7641215630209e-05,"20128/229898/14469/15944/19106",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of inflammasome-mediated signaling pathway [GO_BP]",4.20967235577349
NA,NA,"GO:0019730","antimicrobial humoral response","6/97","66/15173",3.89392876580624e-06,6.67857866471473e-05,5.15631257179296e-05,"14972/14964/12010/15040/15945/17329",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antimicrobial humoral response [GO_BP]",4.17531595425368
NA,NA,"GO:0036037","CD8-positive, alpha-beta T cell activation","5/97","38/15173",4.08735219052587e-06,6.95190485071941e-05,5.36733879755897e-05,"14972/14964/16362/60533/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","CD8-positive, alpha-beta T cell activation [GO_BP]",4.15789618061726
NA,NA,"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","4/97","18/15173",4.48369955674274e-06,7.50100884861633e-05,5.791284069408e-05,"14972/14964/12010/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of peptide antigen via MHC class Ib [GO_BP]",4.12488032221868
NA,NA,"GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","4/97","18/15173",4.48369955674274e-06,7.50100884861633e-05,5.791284069408e-05,"16149/14961/12010/14960",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of exogenous peptide antigen via MHC class II [GO_BP]",4.12488032221868
NA,NA,"GO:0031341","regulation of cell killing","7/97","105/15173",4.78865869018204e-06,7.94605885094435e-05,6.13489264801242e-05,"19264/14972/14964/21354/12010/27007/15040",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of cell killing [GO_BP]",4.09984822275086
NA,NA,"GO:0042832","defense response to protozoan","5/97","40/15173",5.30434592630663e-06,8.73078228676761e-05,6.74075199633364e-05,"60440/229900/14469/17472/76074",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","defense response to protozoan [GO_BP]",4.05894684133391
NA,NA,"GO:0070663","regulation of leukocyte proliferation","10/97","256/15173",5.43994914638202e-06,8.88234896621256e-05,6.85777168179695e-05,"19264/14972/16149/14964/16362/20293/15944/60533/14960/15040",10,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of leukocyte proliferation [GO_BP]",4.05147216843735
NA,NA,"GO:0045785","positive regulation of cell adhesion","13/97","453/15173",5.99670941294019e-06,9.65959379690739e-05,7.45785704322977e-05,"19264/14972/16149/14964/14961/12010/16362/16423/11461/15944/60533/14960/15040",13,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of cell adhesion [GO_BP]",4.01504113605561
NA,NA,"GO:0141084","inflammasome-mediated signaling pathway","5/97","41/15173",6.01062426363174e-06,9.65959379690739e-05,7.45785704322977e-05,"20128/229898/14469/15944/19106",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","inflammasome-mediated signaling pathway [GO_BP]",4.01504113605561
NA,NA,"GO:0001562","response to protozoan","5/97","42/15173",6.78849874107377e-06,0.000108244733832278,8.35722254554888e-05,"60440/229900/14469/17472/76074",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","response to protozoan [GO_BP]",3.96559322313363
NA,NA,"GO:0002495","antigen processing and presentation of peptide antigen via MHC class II","4/97","20/15173",7.0298754311655e-06,0.000110493593128074,8.53084963061076e-05,"16149/14961/12010/14960",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of peptide antigen via MHC class II [GO_BP]",3.95666290342495
NA,NA,"GO:0031343","positive regulation of cell killing","6/97","73/15173",7.03780847949518e-06,0.000110493593128074,8.53084963061076e-05,"19264/14972/14964/12010/27007/15040",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of cell killing [GO_BP]",3.95666290342495
NA,NA,"GO:0046596","regulation of viral entry into host cell","5/97","44/15173",8.57947065181637e-06,0.000133615535830234,0.000103160193474747,"20128/16149/66141/17069/209387",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of viral entry into host cell [GO_BP]",3.87414304236141
NA,NA,"GO:0002475","antigen processing and presentation via MHC class Ib","4/97","21/15173",8.64147512473831e-06,0.000133615535830234,0.000103160193474747,"14972/14964/12010/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation via MHC class Ib [GO_BP]",3.87414304236141
NA,NA,"GO:0002504","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","4/97","22/15173",1.05101344711237e-05,0.00016128710116965,0.000124524505763927,"16149/14961/12010/14960",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO_BP]",3.7924003636392
NA,NA,"GO:0001913","T cell mediated cytotoxicity","5/97","46/15173",1.07201696646793e-05,0.000163282584220973,0.000126065153087391,"19264/14972/14964/12010/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","T cell mediated cytotoxicity [GO_BP]",3.78706013479843
NA,NA,"GO:0002708","positive regulation of lymphocyte mediated immunity","7/97","121/15173",1.22256397664779e-05,0.000184833561210233,0.000142703958911637,"19264/14972/14964/12010/27007/15040/329260",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of lymphocyte mediated immunity [GO_BP]",3.73321916880282
NA,NA,"GO:0002709","regulation of T cell mediated immunity","6/97","81/15173",1.28772796027524e-05,0.000192221854907925,0.000148408219292485,"19264/14972/14964/12010/15040/329260",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of T cell mediated immunity [GO_BP]",3.71619723619754
NA,NA,"GO:0001909","leukocyte mediated cytotoxicity","7/97","122/15173",1.29026918777e-05,0.000192221854907925,0.000148408219292485,"19264/14972/14964/21354/12010/27007/15040",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","leukocyte mediated cytotoxicity [GO_BP]",3.71619723619754
NA,NA,"GO:0052372","modulation by symbiont of entry into host","5/97","49/15173",1.46889248046418e-05,0.000217247069030971,0.00016772937019488,"20128/16149/66141/17069/209387",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","modulation by symbiont of entry into host [GO_BP]",3.66304607408419
NA,NA,"GO:0002706","regulation of lymphocyte mediated immunity","8/97","174/15173",1.54485411041532e-05,0.000226837930889041,0.000175134161551817,"19264/14972/14964/21354/12010/27007/15040/329260",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of lymphocyte mediated immunity [GO_BP]",3.64428432280188
NA,NA,"GO:0002720","positive regulation of cytokine production involved in immune response","6/97","84/15173",1.58820636654715e-05,0.000231537799580195,0.000178762776745946,"14972/16149/14964/12010/15040/329260",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of cytokine production involved in immune response [GO_BP]",3.63537809834357
NA,NA,"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","8/97","175/15173",1.61043130592682e-05,0.000233112786907563,0.000179978773047589,"20128/19264/14972/14964/16423/60533/15040/71586",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of tumor necrosis factor superfamily cytokine production [GO_BP]",3.63243390352324
NA,NA,"GO:0039531","regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway","6/97","85/15173",1.70007939491428e-05,0.000244356482043666,0.000188659663023476,"20128/229898/14469/78781/15944/19106",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway [GO_BP]",3.61197613595459
NA,NA,"GO:0002377","immunoglobulin production","7/97","128/15173",1.76499748431767e-05,0.00025016387954808,0.000193143365060201,"56045/19264/14972/14964/14190/14961/15040",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","immunoglobulin production [GO_BP]",3.60177539666255
NA,NA,"GO:0007259","receptor signaling pathway via JAK-STAT","7/97","128/15173",1.76499748431767e-05,0.00025016387954808,0.000193143365060201,"20846/547253/19264/20847/229900/80285/16362",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","receptor signaling pathway via JAK-STAT [GO_BP]",3.60177539666255
NA,NA,"GO:0050670","regulation of lymphocyte proliferation","9/97","233/15173",1.79949537919705e-05,0.000253294487513185,0.000195560405274627,"19264/14972/16149/14964/16362/15944/60533/14960/15040",9,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of lymphocyte proliferation [GO_BP]",3.59637426172408
NA,NA,"GO:0071396","cellular response to lipid","12/97","429/15173",1.81641627818907e-05,0.000253925042724924,0.000196047236369794,"20846/20128/229898/14469/12010/18712/15944/60533/27007/209387/15945/17329",12,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","cellular response to lipid [GO_BP]",3.59529446580244
NA,NA,"GO:0032102","negative regulation of response to external stimulus","11/97","361/15173",1.89678214695939e-05,0.000263355942989395,0.000203328526602091,"434341/56045/547253/20128/14972/20847/14964/21354/14190/15944/15040",11,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of response to external stimulus [GO_BP]",3.57945687674307
NA,NA,"GO:0006959","humoral immune response","7/97","130/15173",1.95212183896462e-05,0.000269208153603162,0.00020784682737767,"19264/14972/14964/12010/15040/15945/17329",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","humoral immune response [GO_BP]",3.56991179061732
NA,NA,"GO:0071706","tumor necrosis factor superfamily cytokine production","8/97","181/15173",2.05511685956222e-05,0.000280218609973291,0.000216347641316185,"20128/19264/14972/14964/16423/60533/15040/71586",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","tumor necrosis factor superfamily cytokine production [GO_BP]",3.55250302558014
NA,NA,"GO:0032944","regulation of mononuclear cell proliferation","9/97","237/15173",2.05942143537451e-05,0.000280218609973291,0.000216347641316185,"19264/14972/16149/14964/16362/15944/60533/14960/15040",9,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of mononuclear cell proliferation [GO_BP]",3.55250302558014
NA,NA,"GO:0032727","positive regulation of interferon-alpha production","4/97","26/15173",2.10629555722231e-05,0.000282825607387549,0.000218360418917022,"20846/78781/71586/54123",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of interferon-alpha production [GO_BP]",3.54848127152425
NA,NA,"GO:0045953","negative regulation of natural killer cell mediated cytotoxicity","4/97","26/15173",2.10629555722231e-05,0.000282825607387549,0.000218360418917022,"14972/14964/21354/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of natural killer cell mediated cytotoxicity [GO_BP]",3.54848127152425
NA,NA,"GO:0042129","regulation of T cell proliferation","8/97","182/15173",2.13841564067767e-05,0.000285261851151839,0.000220241363198795,"19264/14972/14964/16362/15944/60533/14960/15040",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of T cell proliferation [GO_BP]",3.54475630384951
NA,NA,"GO:0002702","positive regulation of production of molecular mediator of immune response","7/97","133/15173",2.26331098201396e-05,0.000299962189239643,0.000231591014359187,"19264/14972/16149/14964/12010/15040/329260",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of production of molecular mediator of immune response [GO_BP]",3.52293348541195
NA,NA,"GO:0046631","alpha-beta T cell activation","8/97","184/15173",2.31354192088459e-05,0.000304641229711319,0.000235203548764973,"19264/14972/14964/14961/16362/15944/60533/15040",8,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","alpha-beta T cell activation [GO_BP]",3.51621132022392
NA,NA,"GO:0032814","regulation of natural killer cell activation","5/97","54/15173",2.37542456624972e-05,0.000308842023707698,0.000238446844679039,"14972/14964/16362/15040/75345",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of natural killer cell activation [GO_BP]",3.51026361046508
NA,NA,"GO:0097696","receptor signaling pathway via STAT","7/97","134/15173",2.3757078746746e-05,0.000308842023707698,0.000238446844679039,"20846/547253/19264/20847/229900/80285/16362",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","receptor signaling pathway via STAT [GO_BP]",3.51026361046508
NA,NA,"GO:0002716","negative regulation of natural killer cell mediated immunity","4/97","27/15173",2.46052124055153e-05,0.000315844267419225,0.000243853048467768,"14972/14964/21354/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of natural killer cell mediated immunity [GO_BP]",3.50052700115299
NA,NA,"GO:0034121","regulation of toll-like receptor signaling pathway","4/97","27/15173",2.46052124055153e-05,0.000315844267419225,0.000243853048467768,"20128/16362/83490/54123",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of toll-like receptor signaling pathway [GO_BP]",3.50052700115299
NA,NA,"GO:0051701","biological process involved in interaction with host","7/97","135/15173",2.4926692095183e-05,0.000317971116039178,0.00024549511885848,"20128/16149/229900/66141/17069/14469/209387",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","biological process involved in interaction with host [GO_BP]",3.49761232880339
NA,NA,"GO:0002699","positive regulation of immune effector process","9/97","245/15173",2.67618361709347e-05,0.000339260295806694,0.000261931799593915,"19264/14972/16149/14964/12010/16362/27007/15040/329260",9,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of immune effector process [GO_BP]",3.4694669635822
NA,NA,"GO:0043903","regulation of biological process involved in symbiotic interaction","5/97","56/15173",2.840342601943e-05,0.000357848101886769,0.000276282837888802,"20128/16149/66141/17069/209387",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of biological process involved in symbiotic interaction [GO_BP]",3.44630128204732
NA,NA,"GO:0002519","natural killer cell tolerance induction","3/97","10/15173",2.94218013305313e-05,0.000361746364551894,0.000279292559237827,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","natural killer cell tolerance induction [GO_BP]",3.44159582472305
NA,NA,"GO:0032639","TRAIL production","3/97","10/15173",2.94218013305313e-05,0.000361746364551894,0.000279292559237827,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","TRAIL production [GO_BP]",3.44159582472305
NA,NA,"GO:0032679","regulation of TRAIL production","3/97","10/15173",2.94218013305313e-05,0.000361746364551894,0.000279292559237827,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of TRAIL production [GO_BP]",3.44159582472305
NA,NA,"GO:0032759","positive regulation of TRAIL production","3/97","10/15173",2.94218013305313e-05,0.000361746364551894,0.000279292559237827,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of TRAIL production [GO_BP]",3.44159582472305
NA,NA,"GO:0002707","negative regulation of lymphocyte mediated immunity","5/97","57/15173",3.09779046376751e-05,0.000378598223745478,0.00029230332960983,"19264/14972/14964/21354/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of lymphocyte mediated immunity [GO_BP]",3.42182142792993
NA,NA,"GO:0042269","regulation of natural killer cell mediated cytotoxicity","5/97","58/15173",3.37298320035914e-05,0.000409777304281727,0.000316375679883311,"14972/14964/21354/27007/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of natural killer cell mediated cytotoxicity [GO_BP]",3.387452098883
NA,NA,"GO:0002705","positive regulation of leukocyte mediated immunity","7/97","142/15173",3.45161279043268e-05,0.000416848621613793,0.000321835213159621,"19264/14972/14964/12010/27007/15040/329260",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of leukocyte mediated immunity [GO_BP]",3.38002163023871
NA,NA,"GO:0050671","positive regulation of lymphocyte proliferation","7/97","144/15173",3.77535849589142e-05,0.000453265099418493,0.000349951186894703,"19264/14972/16149/14964/15944/60533/15040",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of lymphocyte proliferation [GO_BP]",3.34364771953272
NA,NA,"GO:0001960","negative regulation of cytokine-mediated signaling pathway","5/97","60/15173",3.97998719515829e-05,0.000475038237737899,0.00036676151622973,"434341/56045/547253/19264/20847",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of cytokine-mediated signaling pathway [GO_BP]",3.32327143085894
NA,NA,"GO:0001788","antibody-dependent cellular cytotoxicity","3/97","11/15173",4.02673111129854e-05,0.000475061167523718,0.000366779219568842,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antibody-dependent cellular cytotoxicity [GO_BP]",3.32325046825355
NA,NA,"GO:2000566","positive regulation of CD8-positive, alpha-beta T cell proliferation","3/97","11/15173",4.02673111129854e-05,0.000475061167523718,0.000366779219568842,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of CD8-positive, alpha-beta T cell proliferation [GO_BP]",3.32325046825355
NA,NA,"GO:0032946","positive regulation of mononuclear cell proliferation","7/97","147/15173",4.30745477800369e-05,0.000501647832571995,0.000387305915758672,"19264/14972/16149/14964/15944/60533/15040",7,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of mononuclear cell proliferation [GO_BP]",3.29960105983352
NA,NA,"GO:0002715","regulation of natural killer cell mediated immunity","5/97","61/15173",4.31354320159426e-05,0.000501647832571995,0.000387305915758672,"14972/14964/21354/27007/15040",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of natural killer cell mediated immunity [GO_BP]",3.29960105983352
NA,NA,"GO:0019731","antibacterial humoral response","4/97","31/15173",4.32582158415831e-05,0.000501647832571995,0.000387305915758672,"14972/14964/12010/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","antibacterial humoral response [GO_BP]",3.29960105983352
NA,NA,"GO:0071425","hematopoietic stem cell proliferation","4/97","32/15173",4.91964889670238e-05,0.000567288327580202,0.000437984799189026,"14011/18712/15944/19106",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","hematopoietic stem cell proliferation [GO_BP]",3.24619615230637
NA,NA,"GO:0070661","leukocyte proliferation","10/97","331/15173",4.99246207157351e-05,0.000572450285847277,0.000441970178660293,"19264/14972/16149/14964/16362/20293/15944/60533/14960/15040",10,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","leukocyte proliferation [GO_BP]",3.24226222343294
NA,NA,"GO:0060761","negative regulation of response to cytokine stimulus","5/97","64/15173",5.44533779087225e-05,0.00062089019168549,0.000479369048687784,"434341/56045/547253/19264/20847",5,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","negative regulation of response to cytokine stimulus [GO_BP]",3.20698520072821
NA,NA,"GO:0002507","tolerance induction","4/97","34/15173",6.28283777183748e-05,0.000712403994017795,0.000550023868095948,"14972/14964/60533/15040",4,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","tolerance induction [GO_BP]",3.1472736543758
NA,NA,"GO:0042102","positive regulation of T cell proliferation","6/97","108/15173",6.61051921564329e-05,0.000745418216526406,0.000575513071579994,"19264/14972/14964/15944/60533/15040",6,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of T cell proliferation [GO_BP]",3.12759999816626
NA,NA,"GO:0001794","type IIa hypersensitivity","3/97","13/15173",6.91508713399266e-05,0.000754742932645937,0.000582712380500254,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","type IIa hypersensitivity [GO_BP]",3.12220094498554
NA,NA,"GO:0001796","regulation of type IIa hypersensitivity","3/97","13/15173",6.91508713399266e-05,0.000754742932645937,0.000582712380500254,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","regulation of type IIa hypersensitivity [GO_BP]",3.12220094498554
NA,NA,"GO:0001798","positive regulation of type IIa hypersensitivity","3/97","13/15173",6.91508713399266e-05,0.000754742932645937,0.000582712380500254,"14972/14964/15040",3,"GO_BP","Infiltrating_Macrophages","UP","Infiltrating_Macrophages_UP","positive regulation of type IIa hypersensitivity [GO_BP]",3.12220094498554
