"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"positive regulation of leukocyte chemotaxis [GO_BP]",0,0,2.17310426926589,1.31638354383175,0,0,0,7
"regulation of neutrophil migration [GO_BP]",0,0,1.65633260377889,1.66145392997405,0,0,0,7
"negative regulation of cell projection organization [GO_BP]",0,0,1.50086270522195,1.53484781376051,0,0,0,7
"positive regulation of neutrophil chemotaxis [GO_BP]",0,0,2.01727595989718,1.99236562138123,0,0,0,7
"positive regulation of granulocyte chemotaxis [GO_BP]",0,0,1.99432826036118,1.9787501493158,0,0,0,7
"regulation of neutrophil chemotaxis [GO_BP]",0,0,1.8864413533602,1.88858038813209,0,0,0,7
"positive regulation of neutrophil migration [GO_BP]",0,0,1.81757483691117,1.81951212904845,0,0,0,7
"negative regulation of neuron projection development [GO_BP]",0,0,1.75888391891573,1.76290191012921,0,0,0,7
"negative regulation of epithelial cell proliferation [GO_BP]",0,0,0,1.84648601347151,0,0,0,7
"Th1 and Th2 cell differentiation - Mus musculus (house mouse) [KEGG]",0,0,0,1.3575086553472,0,0,0,7
"response to interleukin-1 [GO_BP]",0,0,0,1.34901560226108,0,0,0,7
"positive regulation of fibroblast proliferation [GO_BP]",0,0,0,1.5439489268428,0,0,0,7
"cellular response to interleukin-1 [GO_BP]",0,0,0,1.45026552539028,0,0,0,7
"angiogenesis [GO_BP]",1.35686616874263,0,0,1.31638354383175,0,0,0,7
"cellular response to tumor necrosis factor [GO_BP]",1.96761332607666,0,0,1.81951212904845,0,0,0,7
"response to tumor necrosis factor [GO_BP]",1.65490118809074,0,0,1.70756618777896,0,0,0,7
"positive regulation of autophagy [GO_BP]",2.7648635223063,0,0,0,0,0,0,8
"positive regulation of cell development [GO_BP]",2.70732903614049,0,0,0,0,0,0,8
"amide transport [GO_BP]",2.70476036655624,0,0,0,0,0,0,8
"regulation of lipopolysaccharide-mediated signaling pathway [GO_BP]",2.70476036655624,0,0,0,0,0,0,8
"protein localization to nucleus [GO_BP]",2.70476036655624,0,0,0,0,0,0,8
"positive regulation of protein-containing complex assembly [GO_BP]",2.73366974642127,0,0,0,0,0,0,8
"negative regulation of inflammatory response [GO_BP]",2.72495000164002,0,0,0,0,0,0,8
"negative regulation of leukocyte proliferation [GO_BP]",2.57108086188233,0,0,0,0,0,0,8
"myeloid cell homeostasis [GO_BP]",2.64960297379864,0,0,0,0,0,0,8
"positive regulation of defense response to virus by host [GO_BP]",2.64104780544036,0,0,0,0,0,0,8
"macroautophagy [GO_BP]",2.86158932080083,0,0,0,0,0,0,8
"sarcoplasmic reticulum calcium ion transport [GO_BP]",2.90916308556108,0,0,0,0,0,0,8
"protein-containing complex disassembly [GO_BP]",2.8980222223464,0,0,0,0,0,0,8
"regulation of xenophagy [GO_BP]",3.08745498996615,0,0,0,0,0,0,8
"positive regulation of xenophagy [GO_BP]",3.08745498996615,0,0,0,0,0,0,8
"positive regulation of NF-kappaB transcription factor activity [GO_BP]",3.0192764424489,0,0,0,0,0,0,8
"calcium-mediated signaling [GO_BP]",2.97349947639046,0,0,0,0,0,0,8
"homeostasis of number of cells [GO_BP]",2.96298250346101,0,0,0,0,0,0,8
"positive regulation of mitophagy [GO_BP]",3.23615462241698,0,0,0,0,0,0,8
"Transcriptional misregulation in cancer - Mus musculus (house mouse) [KEGG]",3.18410826665824,0,0,0,0,0,0,8
"regulation of chromatin binding [GO_BP]",3.15068434212377,0,0,0,0,0,0,8
"FCGR activation [Reactome]",3.34262261581867,0,0,0,0,0,0,8
"cell activation involved in immune response [GO_BP]",3.30652099476528,0,0,0,0,0,0,8
"B cell activation [GO_BP]",3.44453590214387,0,0,0,0,0,0,8
"positive regulation of cellular catabolic process [GO_BP]",3.39151157419201,0,0,0,0,0,0,8
"leukocyte activation involved in immune response [GO_BP]",3.37925114932231,0,0,0,0,0,0,8
"response to endoplasmic reticulum stress [GO_BP]",3.72732477804234,0,0,0,0,0,0,8
"regulation of interleukin-1 production [GO_BP]",3.77128382125874,0,0,0,0,0,0,8
"macrophage activation [GO_BP]",3.77128382125874,0,0,0,0,0,0,8
"regulation of leukocyte differentiation [GO_BP]",3.51411235087226,0,0,0,0,0,0,8
"positive regulation of MAPK cascade [GO_BP]",3.50343584297819,0,0,0,0,0,0,8
"nucleotide-binding oligomerization domain containing 2 signaling pathway [GO_BP]",3.65521142884401,0,0,0,0,0,0,8
"Tuberculosis - Mus musculus (house mouse) [KEGG]",3.58773161627525,0,0,0,0,0,0,8
"regulation of interleukin-1 beta production [GO_BP]",3.56654384405767,0,0,0,0,0,0,8
"regulation of inflammatory response [GO_BP]",8,0,0,0,0,0,0,8
"cellular response to virus [GO_BP]",5.65040874558466,0,0,0,0,0,0,8
"Lipid and atherosclerosis - Mus musculus (house mouse) [KEGG]",4.36578787499236,0,0,0,0,0,0,8
"interleukin-1 production [GO_BP]",4.35064410099031,0,0,0,0,0,0,8
"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway [GO_BP]",4.34327137700614,0,0,0,0,0,0,8
"positive regulation of interleukin-1 production [GO_BP]",4.47626019372978,0,0,0,0,0,0,8
"nucleotide-binding oligomerization domain containing signaling pathway [GO_BP]",4.44968208388187,0,0,0,0,0,0,8
"pyroptosis [GO_BP]",4.1964941903764,0,0,0,0,0,0,8
"autophagy [GO_BP]",4.20026524667565,0,0,0,0,0,0,8
"process utilizing autophagic mechanism [GO_BP]",4.20026524667565,0,0,0,0,0,0,8
"interleukin-1 beta production [GO_BP]",4.16065548761366,0,0,0,0,0,0,8
"myeloid leukocyte activation [GO_BP]",4.1449406555354,0,0,0,0,0,0,8
"positive regulation of hydrolase activity [GO_BP]",3.91441926506311,0,0,0,0,0,0,8
"positive regulation of interleukin-1 beta production [GO_BP]",4.00530013807692,0,0,0,0,0,0,8
"Osteoclast differentiation - Mus musculus (house mouse) [KEGG]",3.96901349881723,0,0,0,0,0,0,8
"Fc gamma R-mediated phagosome formation - Mus musculus (house mouse) [KEGG]",3.96901349881723,0,0,0,0,0,0,8
"neuroinflammatory response [GO_BP]",3.01954908789239,0,0,0,1.32866323664272,0,0,8
"cellular component disassembly [GO_BP]",3.20948919057193,0,0,0,1.50626299363184,0,0,8
"myeloid leukocyte differentiation [GO_BP]",3.43822633765238,0,0,0,1.41991526305503,0,0,8
"regulation of myeloid leukocyte differentiation [GO_BP]",2.89936247196181,0,0,0,1.72095286174281,0,0,8
"glial cell activation [GO_BP]",2.38416520814421,0,0,0,1.50145817905078,0,0,8
"microglial cell activation [GO_BP]",2.73321616054588,0,0,0,1.53847385057991,0,0,8
"leukocyte activation involved in inflammatory response [GO_BP]",2.60271198249686,0,0,0,1.50822181639152,0,0,8
"negative regulation of cell activation [GO_BP]",2.40804297192288,1.34013735666989,0,0,2.0905363372623,0,0,8
"regulation of interleukin-10 production [GO_BP]",1.66312000484144,0,0,0,1.49217270182461,0,0,8
"interleukin-10 production [GO_BP]",1.58346992289022,0,0,0,1.45843903881408,0,0,8
"regulation of platelet activation [GO_BP]",2.12139848149971,0,0,0,1.59308417489004,0,0,8
"positive regulation of myeloid leukocyte differentiation [GO_BP]",2.07684440234174,0,0,0,1.41991526305503,0,0,8
"maintenance of protein location in cell [GO_BP]",1.32343178354522,0,0,0,0,0,0,8
"positive regulation of mitochondrial fission [GO_BP]",1.32438397366979,0,0,0,0,0,0,8
"polarized epithelial cell differentiation [GO_BP]",1.32438397366979,0,0,0,0,0,0,8
"miRNA processing [GO_BP]",1.32438397366979,0,0,0,0,0,0,8
"positive regulation of cellular extravasation [GO_BP]",1.32438397366979,0,0,0,0,0,0,8
"regulation of exocytosis [GO_BP]",1.32415678293709,0,0,0,0,0,0,8
"positive regulation of organelle organization [GO_BP]",1.32415678293709,0,0,0,0,0,0,8
"microtubule polymerization or depolymerization [GO_BP]",1.31489359587839,0,0,0,0,0,0,8
"immune response-regulating cell surface receptor signaling pathway [GO_BP]",1.31087135749147,0,0,0,0,0,0,8
"negative regulation of response to endoplasmic reticulum stress [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"antiviral innate immune response [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"granulocyte differentiation [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"mitophagy [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"regulation of metal ion transport [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"regulation of antigen receptor-mediated signaling pathway [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"immune response-activating cell surface receptor signaling pathway [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"regulation of interleukin-8 production [GO_BP]",1.37696968026528,0,0,0,0,0,0,8
"ERK1 and ERK2 cascade [GO_BP]",1.36791290832556,0,0,0,0,0,0,8
"positive regulation of apoptotic signaling pathway [GO_BP]",1.3610481431578,0,0,0,0,0,0,8
"regulatory ncRNA processing [GO_BP]",1.36377326197639,0,0,0,0,0,0,8
"RNA stabilization [GO_BP]",1.36377326197639,0,0,0,0,0,0,8
"fibroblast migration [GO_BP]",1.36377326197639,0,0,0,0,0,0,8
"interleukin-8 production [GO_BP]",1.36377326197639,0,0,0,0,0,0,8
"miRNA metabolic process [GO_BP]",1.36444057552901,0,0,0,0,0,0,8
"regulation of non-canonical Wnt signaling pathway [GO_BP]",1.36482107823585,0,0,0,0,0,0,8
"cellular response to interleukin-17 [GO_BP]",1.36482107823585,0,0,0,0,0,0,8
"podosome assembly [GO_BP]",1.36482107823585,0,0,0,0,0,0,8
"establishment of apical/basal cell polarity [GO_BP]",1.36482107823585,0,0,0,0,0,0,8
"Sertoli cell differentiation [GO_BP]",1.36482107823585,0,0,0,0,0,0,8
"nuclear transport [GO_BP]",1.34955772918007,0,0,0,0,0,0,8
"regulation of protein stability [GO_BP]",1.34955772918007,0,0,0,0,0,0,8
"nucleocytoplasmic transport [GO_BP]",1.34955772918007,0,0,0,0,0,0,8
"G1/S transition of mitotic cell cycle [GO_BP]",1.35779920948308,0,0,0,0,0,0,8
"response to ischemia [GO_BP]",1.35548507630689,0,0,0,0,0,0,8
"positive regulation of cellular component biogenesis [GO_BP]",1.42518813795202,0,0,0,0,0,0,8
"regulation of stress-activated protein kinase signaling cascade [GO_BP]",1.4219791528269,0,0,0,0,0,0,8
"regulation of binding [GO_BP]",1.40075828169213,0,0,0,0,0,0,8
"positive regulation of protein serine/threonine kinase activity [GO_BP]",1.39675819629685,0,0,0,0,0,0,8
"peptidyl-serine modification [GO_BP]",1.41309592331215,0,0,0,0,0,0,8
"Fc epsilon RI signaling pathway - Mus musculus (house mouse) [KEGG]",1.40521333339167,0,0,0,0,0,0,8
"negative regulation of B cell proliferation [GO_BP]",1.40620992334023,0,0,0,0,0,0,8
"response to growth hormone [GO_BP]",1.40620992334023,0,0,0,0,0,0,8
"regulation of cellular extravasation [GO_BP]",1.40619256373492,0,0,0,0,0,0,8
"positive regulation of calcium ion transmembrane transporter activity [GO_BP]",1.40619256373492,0,0,0,0,0,0,8
"regulation of macrophage cytokine production [GO_BP]",1.44047256799979,0,0,0,0,0,0,8
"positive T cell selection [GO_BP]",1.44047256799979,0,0,0,0,0,0,8
"hemostasis [GO_BP]",1.45119749628635,0,0,0,0,0,0,8
"protein targeting [GO_BP]",1.44521124633617,0,0,0,0,0,0,8
"Growth hormone receptor signaling [Reactome]",1.44624713338828,0,0,0,0,0,0,8
"Regulation of actin dynamics for phagocytic cup formation [Reactome]",1.44624713338828,0,0,0,0,0,0,8
"Erythropoietin activates RAS [Reactome]",1.44624713338828,0,0,0,0,0,0,8
"Th17 cell differentiation - Mus musculus (house mouse) [KEGG]",1.46690222458137,0,0,0,0,0,0,8
"coagulation [GO_BP]",1.46536116858489,0,0,0,0,0,0,8
"CD8-positive, alpha-beta T cell differentiation [GO_BP]",1.46110497833039,0,0,0,0,0,0,8
"positive regulation of stress-activated MAPK cascade [GO_BP]",1.46278595290534,0,0,0,0,0,0,8
"vacuole organization [GO_BP]",1.46278595290534,0,0,0,0,0,0,8
"positive regulation of myeloid leukocyte cytokine production involved in immune response [GO_BP]",1.47348519075303,0,0,0,0,0,0,8
"autophagy of mitochondrion [GO_BP]",1.47463079419898,0,0,0,0,0,0,8
"mitochondrion disassembly [GO_BP]",1.47463079419898,0,0,0,0,0,0,8
"regulation of peptidase activity [GO_BP]",1.48183316432655,0,0,0,0,0,0,8
"regulation of mononuclear cell migration [GO_BP]",1.47771429463419,0,0,0,0,0,0,8
"post-transcriptional regulation of gene expression [GO_BP]",1.47763924663786,0,0,0,0,0,0,8
"Acute myeloid leukemia - Mus musculus (house mouse) [KEGG]",1.73699607248053,0,0,0,0,0,0,8
"C-terminal protein amino acid modification [GO_BP]",1.70394056869901,0,0,0,0,0,0,8
"postsynapse to nucleus signaling pathway [GO_BP]",1.70394056869901,0,0,0,0,0,0,8
"positive regulation of kinase activity [GO_BP]",1.69626141100901,0,0,0,0,0,0,8
"intracellular monoatomic ion homeostasis [GO_BP]",1.69604079077359,0,0,0,0,0,0,8
"mononuclear cell migration [GO_BP]",1.60049306817382,0,0,0,0,0,0,8
"calcium ion transport [GO_BP]",1.60626949732882,0,0,0,0,0,0,8
"regulation of interleukin-12 production [GO_BP]",1.60833178333322,0,0,0,0,0,0,8
"cardiac muscle cell contraction [GO_BP]",1.60833178333322,0,0,0,0,0,0,8
"regulation of calcium ion transmembrane transport [GO_BP]",1.62656691114721,0,0,0,0,0,0,8
"cellular response to interleukin-4 [GO_BP]",1.61818807220643,0,0,0,0,0,0,8
"monoatomic cation homeostasis [GO_BP]",1.61376082171624,0,0,0,0,0,0,8
"regulation of vacuole organization [GO_BP]",1.63767818104548,0,0,0,0,0,0,8
"regulation of monocyte differentiation [GO_BP]",1.63734597718987,0,0,0,0,0,0,8
"organelle disassembly [GO_BP]",1.65239797252134,0,0,0,0,0,0,8
"organic cyclic compound catabolic process [GO_BP]",1.64754463404906,0,0,0,0,0,0,8
"cellular response to unfolded protein [GO_BP]",1.64699416338691,0,0,0,0,0,0,8
"PD-L1 expression and PD-1 checkpoint pathway in cancer - Mus musculus (house mouse) [KEGG]",1.67884325150715,0,0,0,0,0,0,8
"natural killer cell differentiation [GO_BP]",1.65702481846975,0,0,0,0,0,0,8
"negative regulation of microtubule depolymerization [GO_BP]",1.65702481846975,0,0,0,0,0,0,8
"cellular response to peptide [GO_BP]",1.65917903145058,0,0,0,0,0,0,8
"negative regulation of leukocyte differentiation [GO_BP]",1.65871741782265,0,0,0,0,0,0,8
"regulation of response to endoplasmic reticulum stress [GO_BP]",1.66674988286983,0,0,0,0,0,0,8
"microtubule depolymerization [GO_BP]",1.66312000484144,0,0,0,0,0,0,8
"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO_BP]",1.5028481541782,0,0,0,0,0,0,8
"AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse) [KEGG]",1.49681249536558,0,0,0,0,0,0,8
"Prolactin signaling pathway - Mus musculus (house mouse) [KEGG]",1.49137581717942,0,0,0,0,0,0,8
"establishment of protein localization to vacuole [GO_BP]",1.52957956286532,0,0,0,0,0,0,8
"positive regulation of extrinsic apoptotic signaling pathway [GO_BP]",1.52957956286532,0,0,0,0,0,0,8
"blood coagulation [GO_BP]",1.51396190887483,0,0,0,0,0,0,8
"regulation of RIG-I signaling pathway [GO_BP]",1.51898257117518,0,0,0,0,0,0,8
"regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO_BP]",1.51898257117518,0,0,0,0,0,0,8
"regulation of protein depolymerization [GO_BP]",1.51898257117518,0,0,0,0,0,0,8
"peptidyl-serine phosphorylation [GO_BP]",1.51898257117518,0,0,0,0,0,0,8
"positive regulation of GTPase activity [GO_BP]",1.55777278755869,0,0,0,0,0,0,8
"interleukin-12 production [GO_BP]",1.55777278755869,0,0,0,0,0,0,8
"monoatomic ion homeostasis [GO_BP]",1.55777278755869,0,0,0,0,0,0,8
"regulation of ERK1 and ERK2 cascade [GO_BP]",1.55151072604296,0,0,0,0,0,0,8
"negative regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway [GO_BP]",1.54829852739896,0,0,0,0,0,0,8
"negative regulation of CD4-positive, alpha-beta T cell activation [GO_BP]",1.54829852739896,0,0,0,0,0,0,8
"regulation of fibroblast proliferation [GO_BP]",1.58596109014661,0,0,0,0,0,0,8
"regulation of mitochondrial fission [GO_BP]",1.58346992289022,0,0,0,0,0,0,8
"response to interleukin-4 [GO_BP]",1.58346992289022,0,0,0,0,0,0,8
"regulation of microtubule depolymerization [GO_BP]",1.58346992289022,0,0,0,0,0,0,8
"positive regulation of protein-containing complex disassembly [GO_BP]",1.58346992289022,0,0,0,0,0,0,8
"regulation of calcium ion transport [GO_BP]",1.56781202414857,0,0,0,0,0,0,8
"regulation of autophagosome maturation [GO_BP]",1.57765899631303,0,0,0,0,0,0,8
"establishment of epithelial cell apical/basal polarity [GO_BP]",1.57765899631303,0,0,0,0,0,0,8
"Sertoli cell development [GO_BP]",1.57765899631303,0,0,0,0,0,0,8
"selective autophagy [GO_BP]",2.42104200472752,0,0,0,0,0,0,8
"regulation of autophagy of mitochondrion [GO_BP]",2.45384746979498,0,0,0,0,0,0,8
"cellular response to organic cyclic compound [GO_BP]",2.44197314153473,0,0,0,0,0,0,8
"RNA catabolic process [GO_BP]",2.39736506761443,0,0,0,0,0,0,8
"positive regulation of interleukin-6 production [GO_BP]",2.39599235451694,0,0,0,0,0,0,8
"positive regulation of myeloid cell differentiation [GO_BP]",2.39599235451694,0,0,0,0,0,0,8
"phagocytosis [GO_BP]",2.39364410670673,0,0,0,0,0,0,8
"regulation of interleukin-6 production [GO_BP]",2.39079396929203,0,0,0,0,0,0,8
"regulation of protein-containing complex disassembly [GO_BP]",2.35542745235449,0,0,0,0,0,0,8
"regulation of extrinsic apoptotic signaling pathway [GO_BP]",2.35361224399738,0,0,0,0,0,0,8
"regulation of mitophagy [GO_BP]",2.37062256472693,0,0,0,0,0,0,8
"cellular response to organonitrogen compound [GO_BP]",2.36395841730719,0,0,0,0,0,0,8
"platelet activation [GO_BP]",2.18160730499339,0,0,0,0,0,0,8
"negative regulation of catabolic process [GO_BP]",2.17214171330534,0,0,0,0,0,0,8
"lymphocyte activation involved in immune response [GO_BP]",2.16558751190433,0,0,0,0,0,0,8
"Cytokine Signaling in Immune system [Reactome]",2.1600604417787,0,0,0,0,0,0,8
"regulation of cardiac muscle cell action potential [GO_BP]",2.15574742974305,0,0,0,0,0,0,8
"release of sequestered calcium ion into cytosol by endoplasmic reticulum [GO_BP]",2.15574742974305,0,0,0,0,0,0,8
"myeloid leukocyte mediated immunity [GO_BP]",2.14985681492818,0,0,0,0,0,0,8
"mRNA catabolic process [GO_BP]",2.14383755836641,0,0,0,0,0,0,8
"positive regulation of RIG-I signaling pathway [GO_BP]",2.14126933174168,0,0,0,0,0,0,8
"regulation of phagocytosis [GO_BP]",2.19654027892429,0,0,0,0,0,0,8
"extrinsic apoptotic signaling pathway [GO_BP]",2.20323473138889,0,0,0,0,0,0,8
"establishment of protein localization to organelle [GO_BP]",2.20323473138889,0,0,0,0,0,0,8
"response to peptide [GO_BP]",2.22132344799955,0,0,0,0,0,0,8
"release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO_BP]",2.22130708884378,0,0,0,0,0,0,8
"positive regulation of macroautophagy [GO_BP]",2.23338450531216,0,0,0,0,0,0,8
"regulated exocytosis [GO_BP]",2.2325531551051,0,0,0,0,0,0,8
"autophagosome maturation [GO_BP]",2.26679228857467,0,0,0,0,0,0,8
"interleukin-6 production [GO_BP]",2.25027193974121,0,0,0,0,0,0,8
"Leishmaniasis - Mus musculus (house mouse) [KEGG]",2.3183656594816,0,0,0,0,0,0,8
"positive regulation of catabolic process [GO_BP]",2.29102406472937,0,0,0,0,0,0,8
"calcium ion transmembrane transport [GO_BP]",1.80835675132213,0,0,0,0,0,0,8
"inorganic ion homeostasis [GO_BP]",1.80379343321638,0,0,0,0,0,0,8
"establishment or maintenance of cell polarity [GO_BP]",1.80324046870427,0,0,0,0,0,0,8
"leukocyte degranulation [GO_BP]",1.80045460857832,0,0,0,0,0,0,8
"negative regulation of canonical NF-kappaB signal transduction [GO_BP]",1.79910565382267,0,0,0,0,0,0,8
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways [Reactome]",1.78848604360172,0,0,0,0,0,0,8
"positive regulation of endopeptidase activity [GO_BP]",1.78514873261989,0,0,0,0,0,0,8
"response to peptide hormone [GO_BP]",1.78509395070076,0,0,0,0,0,0,8
"regulation of macrophage activation [GO_BP]",1.76568027575956,0,0,0,0,0,0,8
"aromatic compound catabolic process [GO_BP]",1.77108716979162,0,0,0,0,0,0,8
"intracellular monoatomic cation homeostasis [GO_BP]",1.77053230623352,0,0,0,0,0,0,8
"negative regulation of cellular catabolic process [GO_BP]",1.88334145457343,0,0,0,0,0,0,8
"cellular nitrogen compound catabolic process [GO_BP]",1.89156780743465,0,0,0,0,0,0,8
"positive regulation of macrophage cytokine production [GO_BP]",1.8900815934226,0,0,0,0,0,0,8
"toll-like receptor 3 signaling pathway [GO_BP]",1.8900815934226,0,0,0,0,0,0,8
"positive regulation of macrophage activation [GO_BP]",1.8900815934226,0,0,0,0,0,0,8
"regulation of macroautophagy [GO_BP]",1.90793378458366,0,0,0,0,0,0,8
"autophagosome organization [GO_BP]",1.90793378458366,0,0,0,0,0,0,8
"protein targeting to vacuole [GO_BP]",1.89575214110988,0,0,0,0,0,0,8
"regulation of leukocyte degranulation [GO_BP]",1.89575214110988,0,0,0,0,0,0,8
"Signaling by the B Cell Receptor (BCR) [Reactome]",1.8985293221357,0,0,0,0,0,0,8
"regulation of B cell proliferation [GO_BP]",1.90144632262984,0,0,0,0,0,0,8
"regulation of protein serine/threonine kinase activity [GO_BP]",1.86806384635341,0,0,0,0,0,0,8
"heterocycle catabolic process [GO_BP]",1.86463248360799,0,0,0,0,0,0,8
"mitochondrial fission [GO_BP]",1.86368831801824,0,0,0,0,0,0,8
"microglia differentiation [GO_BP]",1.86326672010466,0,0,0,0,0,0,8
"positive regulation of chromatin binding [GO_BP]",1.86326672010466,0,0,0,0,0,0,8
"calcium ion homeostasis [GO_BP]",1.85613342192059,0,0,0,0,0,0,8
"establishment of cell polarity [GO_BP]",1.85008481107999,0,0,0,0,0,0,8
"endoplasmic reticulum calcium ion homeostasis [GO_BP]",1.83965696869259,0,0,0,0,0,0,8
"regulation of apoptotic signaling pathway [GO_BP]",1.83596863105054,0,0,0,0,0,0,8
"response to gamma radiation [GO_BP]",1.8284636923285,0,0,0,0,0,0,8
"protein stabilization [GO_BP]",1.82259766390171,0,0,0,0,0,0,8
"peptide transport [GO_BP]",1.8252439746722,0,0,0,0,0,0,8
"second-messenger-mediated signaling [GO_BP]",1.8252439746722,0,0,0,0,0,0,8
"import into nucleus [GO_BP]",2.00437688163792,0,0,0,0,0,0,8
"Necroptosis - Mus musculus (house mouse) [KEGG]",1.98850107290937,0,0,0,0,0,0,8
"negative regulation of intracellular signal transduction [GO_BP]",1.99198568378919,0,0,0,0,0,0,8
"positive regulation of viral genome replication [GO_BP]",1.99191733447261,0,0,0,0,0,0,8
"endolysosomal toll-like receptor signaling pathway [GO_BP]",1.96911126246436,0,0,0,0,0,0,8
"protein depolymerization [GO_BP]",1.96911126246436,0,0,0,0,0,0,8
"cardiac muscle cell action potential [GO_BP]",1.96911126246436,0,0,0,0,0,0,8
"B cell receptor signaling pathway - Mus musculus (house mouse) [KEGG]",1.96046155509905,0,0,0,0,0,0,8
"endoplasmic reticulum unfolded protein response [GO_BP]",1.95973811590793,0,0,0,0,0,0,8
"regulation of lysosome organization [GO_BP]",1.94723789666321,0,0,0,0,0,0,8
"erythrocyte homeostasis [GO_BP]",1.94851483159491,0,0,0,0,0,0,8
"regulatory ncRNA-mediated gene silencing [GO_BP]",1.94851483159491,0,0,0,0,0,0,8
"Natural killer cell mediated cytotoxicity - Mus musculus (house mouse) [KEGG]",1.92337960789053,0,0,0,0,0,0,8
"positive regulation of stress-activated protein kinase signaling cascade [GO_BP]",1.93023249150771,0,0,0,0,0,0,8
"intracellular calcium ion homeostasis [GO_BP]",2.05635513340268,0,0,0,0,0,0,8
"Signaling by Interleukins [Reactome]",2.05365004429265,0,0,0,0,0,0,8
"Fcgamma receptor (FCGR) dependent phagocytosis [Reactome]",2.05365004429265,0,0,0,0,0,0,8
"B cell proliferation [GO_BP]",2.04311318065703,0,0,0,0,0,0,8
"base conversion or substitution editing [GO_BP]",2.04644364893825,0,0,0,0,0,0,8
"protein auto-ADP-ribosylation [GO_BP]",2.04644364893825,0,0,0,0,0,0,8
"autophagosome assembly [GO_BP]",2.04979135993096,0,0,0,0,0,0,8
"exocytosis [GO_BP]",2.04808385935218,0,0,0,0,0,0,8
"maintenance of protein localization in organelle [GO_BP]",2.04808385935218,0,0,0,0,0,0,8
"B cell differentiation [GO_BP]",2.08725538850986,0,0,0,0,0,0,8
"stress-activated protein kinase signaling cascade [GO_BP]",2.08110654552744,0,0,0,0,0,0,8
"ncRNA catabolic process [GO_BP]",2.08187220597516,0,0,0,0,0,0,8
"ER-nucleus signaling pathway [GO_BP]",2.08187220597516,0,0,0,0,0,0,8
"positive regulation of peptidase activity [GO_BP]",2.08187220597516,0,0,0,0,0,0,8
"negative regulation of mononuclear cell proliferation [GO_BP]",2.08187220597516,0,0,0,0,0,0,8
"protein import into nucleus [GO_BP]",2.08187220597516,0,0,0,0,0,0,8
"erythrocyte differentiation [GO_BP]",2.12768734369188,0,0,0,0,0,0,8
"nucleobase-containing compound catabolic process [GO_BP]",2.11090083057827,0,0,0,0,0,0,8
"regulation of regulated secretory pathway [GO_BP]",2.1085933081568,0,0,0,0,0,0,8
"negative regulation of lymphocyte proliferation [GO_BP]",2.1085933081568,0,0,0,0,0,0,8
"defense response to Gram-positive bacterium [GO_BP]",8,6.78015861682475,2.20586072946622,3.0264976043755,0,0,0,1
"type II interferon-mediated signaling pathway [GO_BP]",8,6.60880949841261,3.12869068612754,3.24554929232605,0,0,0,1
"antigen processing and presentation of peptide antigen via MHC class I [GO_BP]",8,5.8204640524709,2.89508143155607,2.94316476904548,0,0,0,1
"regulation of response to cytokine stimulus [GO_BP]",6.63477586684895,6.20448153471381,2.48117911164268,3.3443663436197,0,0,0,1
"antigen processing and presentation of endogenous antigen [GO_BP]",6.49114476646933,6.52353607358635,3.12656450152301,3.21176009946618,0,0,0,1
"antigen processing and presentation of endogenous peptide antigen [GO_BP]",6.81073663961572,6.72820581255791,3.13994771134123,3.2609622773109,0,0,0,1
"antigen processing and presentation of endogenous peptide antigen via MHC class I [GO_BP]",6.81073663961572,6.72820581255791,3.13994771134123,3.2609622773109,0,0,0,1
"negative regulation of innate immune response [GO_BP]",6.26417311344952,5.52699445615236,3.61646176674357,2.95274026462254,0,0,0,1
"positive regulation of cytokine production [GO_BP]",6.82934718504957,6.20448153471381,3.03063981486577,2.46860722808103,0,0,0,1
"negative regulation of immune response [GO_BP]",6.49114476646933,6.12825927493047,2.95442092434043,2.28388719841325,0,0,0,1
"regulation of response to biotic stimulus [GO_BP]",8,8,3.66599142865403,3.72485808787485,1.41991526305503,0,0,1
"regulation of innate immune response [GO_BP]",8,8,3.13994771134123,3.2609622773109,1.53847385057991,0,0,1
"positive regulation of response to biotic stimulus [GO_BP]",8,8,2.70451345131997,3.3443663436197,0,0,0,1
"antigen processing and presentation [GO_BP]",8,8,2.89508143155607,3.67532842596439,0,0,0,1
