"Pathway","IFN_Responsive_Microglia_UP","Infiltrating_Macrophages_UP","Transiently_Activated_Microglia_UP","Homeostatic_Microglia_UP","Homeostatic_Microglia_DOWN","Transiently_Activated_Microglia_DOWN","Infiltrating_Macrophages_DOWN","Cluster"
"positive regulation of syncytium formation by plasma membrane fusion [GO_BP]",0,0,0,0,1.7535655486809,2.8284223222801,0,6
"DAP12 signaling [Reactome]",0,0,0,0,1.68219342581148,1.48440646173608,0,6
"positive regulation of cholesterol efflux [GO_BP]",0,0,0,0,1.7535655486809,1.30346061660998,0,6
"dendritic spine maintenance [GO_BP]",0,0,0,0,1.72095286174281,1.30346061660998,0,6
"response to axon injury [GO_BP]",0,0,0,0,1.40925940100821,1.61591059890302,0,6
"regulation of synapse organization [GO_BP]",0,0,0,0,1.3172884021563,1.30346061660998,0,6
"macrophage activation involved in immune response [GO_BP]",0,0,0,0,1.92690745809323,1.48520822185471,0,6
"regulation of amyloid fibril formation [GO_BP]",0,0,0,0,1.94771483110114,1.51729039859782,0,6
"regulation of amyloid-beta clearance [GO_BP]",0,0,0,0,1.94771483110114,1.50115998468624,0,6
"negative regulation of amyloid fibril formation [GO_BP]",0,0,0,0,2.0905363372623,1.61591059890302,0,6
"negative regulation of long-term synaptic potentiation [GO_BP]",0,0,0,0,2.05307218926228,1.61591059890302,0,6
"Other semaphorin interactions [Reactome]",0,0,0,0,1.84637226802912,1.96958885194733,0,6
"Binding and Uptake of Ligands by Scavenger Receptors [Reactome]",0,0,0,0,1.70602587883526,1.71198237908566,0,6
"response to lipoprotein particle [GO_BP]",0,0,0,0,2.87352742577156,0,0,6
"cellular response to lipoprotein particle stimulus [GO_BP]",0,0,0,0,2.87085560361878,0,0,6
"glial cell migration [GO_BP]",0,0,0,0,1.36206721619296,0,0,6
"regulation of osteoclast differentiation [GO_BP]",0,0,0,0,1.33017363939592,0,0,6
"cellular component maintenance [GO_BP]",0,0,0,0,1.33017363939592,0,0,6
"learning or memory [GO_BP]",0,0,0,0,1.33017363939592,0,0,6
"innate immune response activating cell surface receptor signaling pathway [GO_BP]",0,0,0,0,1.33017363939592,0,0,6
"artery morphogenesis [GO_BP]",0,0,0,0,1.3427483289223,0,0,6
