names,scores,logfoldchanges,pvals,pvals_adj
Map3k3,1.5601627,0.42839852,0.11872145562452609,1.0
Prkch,1.5568753,0.6778822,0.11950009412866693,1.0
Gm26542,1.5562178,0.9623828,0.11965630087440562,1.0
Ctnnd1,1.5496432,0.59256977,0.12122717898827257,1.0
Clcn5,1.5470133,0.53745747,0.12186002907364606,1.0
Sipa1l2,1.545041,0.6909034,0.12233635939280679,1.0
Pmp22,1.545041,1.1578199,0.12233635939280679,1.0
Hbp1,1.5424111,1.0868156,0.12297372838972517,1.0
Btrc,1.5417536,1.0784193,0.12313347518573992,1.0
Nrf1,1.5410962,0.6515556,0.12329338399084375,1.0
Tpp2,1.5371513,0.5205004,0.12425624433549198,1.0
Galc,1.5345215,0.78598034,0.12490140344444628,1.0
Tmem50a,1.533864,0.55456525,0.12506310061715542,1.0
Klf4,1.5318917,0.9977549,0.12554917139851673,1.0
Fkbp5,1.5246595,0.3998307,0.12734403449067164,1.0
Nos1ap,1.5226872,1.2978014,0.12783699115149696,1.0
Itga9,1.5207148,0.60516655,0.12833143055231036,1.0
Cables1,1.5207148,0.70582,0.12833143055231036,1.0
Mtr,1.5187423,0.5930767,0.12882735522365663,1.0
Slc26a11,1.51677,1.6745588,0.1293247676921089,1.0
Hspa5,1.515455,0.3810097,0.1296572038042331,1.0
C3ar1,1.515455,0.6565873,0.1296572038042331,1.0
Phf14,1.5147976,0.46848908,0.12982367048022686,1.0
Mtus1,1.5095379,0.54961056,0.13116138306253378,1.0
Npl,1.5055931,1.2688639,0.13217166271880607,1.0
Gng2,1.5055931,0.4891923,0.13217166271880607,1.0
Man2b1,1.5036207,0.42470062,0.13267905810195257,1.0
Gtf2i,1.5029632,0.8111235,0.1328485246690597,1.0
Dpp8,1.5029632,0.7562796,0.1328485246690597,1.0
Casd1,1.4977036,0.8987861,0.13421029639516982,1.0
Socs6,1.4977036,2.035078,0.13421029639516982,1.0
Ash1l,1.4977036,0.36997914,0.13421029639516982,1.0
Lrba,1.4950737,0.6008315,0.1348952179531089,1.0
