names,scores,logfoldchanges,pvals,pvals_adj,cluster,comparison
Hpgd,-5.852855,-0.634208,4.832043764435259e-09,4.831775317559457e-06,Homeostatic Microglia,HSV1_vs_Mock
Rpl10,-5.938891,-0.8610562,2.8695644460126763e-09,3.228080653986385e-06,Homeostatic Microglia,HSV1_vs_Mock
Fcrls,-7.539417,-0.56905484,4.720778745204337e-14,9.441032959436986e-11,Homeostatic Microglia,HSV1_vs_Mock
Cst3,-11.081182,-0.34974033,1.5481534922682687e-28,5.5730429414673135e-25,Homeostatic Microglia,HSV1_vs_Mock
Gm42418,7.808485,0.3651072,5.7879552176211895e-15,1.0417740596196379e-10,IEG-High Microglia,HSV1_vs_Mock
H2-D1,5.692948,1.6030204,1.2486457575648442e-08,0.0001010417433171649,IEG-High Microglia,HSV1_vs_Mock
Camk1d,5.6416664,0.5262565,1.684122617653729e-08,0.0001010417433171649,IEG-High Microglia,HSV1_vs_Mock
B2m,4.9946766,0.8039615,5.893445465224247e-07,0.0026519031232142805,IEG-High Microglia,HSV1_vs_Mock
Ly6e,4.843291,1.313705,1.2770617697057306e-06,0.003989888636019229,IEG-High Microglia,HSV1_vs_Mock
H2-K1,4.4569235,1.2020522,8.314429368979248e-06,0.021378773458893927,IEG-High Microglia,HSV1_vs_Mock
Cfh,-4.835212,-0.5835767,1.330036769604721e-06,0.003989888636019229,IEG-High Microglia,HSV1_vs_Mock
Iigp1,8.222248,6.277835,1.9972415998703441e-16,3.5948351556066323e-12,Infiltrating Macrophages,HSV1_vs_Mock
Nlrc5,7.898775,3.7815418,2.8165712659380863e-15,2.5347733107809808e-11,Infiltrating Macrophages,HSV1_vs_Mock
Camk1d,7.791609,1.0666122,6.616140067608562e-15,3.9694635025628835e-11,Infiltrating Macrophages,HSV1_vs_Mock
Stat1,7.571358,3.195089,3.6934235709062135e-14,1.3295586170548185e-10,Infiltrating Macrophages,HSV1_vs_Mock
Rnf213,7.4740534,2.8896587,7.77615630947476e-14,2.33271729023727e-10,Infiltrating Macrophages,HSV1_vs_Mock
Samhd1,7.2419686,2.432174,4.4221850117933867e-13,1.1370701146752738e-09,Infiltrating Macrophages,HSV1_vs_Mock
Parp14,7.203178,2.5891514,5.882504041739259e-13,1.3234898780908115e-09,Infiltrating Macrophages,HSV1_vs_Mock
Trim30a,7.021718,2.0324488,2.191565244032778e-12,3.944598282734597e-09,Infiltrating Macrophages,HSV1_vs_Mock
Ptprc,6.8047547,1.5015813,1.0122148278984419e-11,1.656259517031278e-08,Infiltrating Macrophages,HSV1_vs_Mock
Oasl2,6.6108027,3.65722,3.8224124371765793e-11,5.411097193039904e-08,Infiltrating Macrophages,HSV1_vs_Mock
H2-K1,6.6075153,1.828081,3.9082317634045645e-11,5.411097193039904e-08,Infiltrating Macrophages,HSV1_vs_Mock
Ifi211,6.5174427,3.317379,7.151601225433396e-11,9.19440503261255e-08,Infiltrating Macrophages,HSV1_vs_Mock
Stat2,6.2452526,2.6202767,4.2311536292634337e-10,4.19417288376715e-07,Infiltrating Macrophages,HSV1_vs_Mock
Gm42418,6.230131,0.49435303,4.660451007019446e-10,4.19417288376715e-07,Infiltrating Macrophages,HSV1_vs_Mock
Cers6,6.211065,2.9090974,5.262682958307898e-10,4.51062050317066e-07,Infiltrating Macrophages,HSV1_vs_Mock
Etv6,6.0637927,1.6070371,1.3294856021728763e-09,1.0877005160686183e-06,Infiltrating Macrophages,HSV1_vs_Mock
Cd74,5.790945,2.237886,6.999151207426402e-09,5.311074494018506e-06,Infiltrating Macrophages,HSV1_vs_Mock
Pde7b,5.7889724,1.8862996,7.081826093474312e-09,5.311074494018506e-06,Infiltrating Macrophages,HSV1_vs_Mock
Herc6,5.710077,2.2391202,1.1292516322871395e-08,7.817461588283163e-06,Infiltrating Macrophages,HSV1_vs_Mock
Gbp7,5.602253,2.4403703,2.1158375363625752e-08,1.3601057077496425e-05,Infiltrating Macrophages,HSV1_vs_Mock
Ifitm3,5.5489984,2.8561842,2.8731126185081435e-08,1.7832122076044163e-05,Infiltrating Macrophages,HSV1_vs_Mock
Parp11,5.5240145,2.597262,3.313401328488976e-08,1.987930350382436e-05,Infiltrating Macrophages,HSV1_vs_Mock
Ly6e,5.4773345,1.7438965,4.317804727244223e-08,2.428630227677149e-05,Infiltrating Macrophages,HSV1_vs_Mock
Gm4951,5.4194775,2.0100546,5.97734151323776e-08,3.164299114610778e-05,Infiltrating Macrophages,HSV1_vs_Mock
Mndal,5.393179,1.6632059,6.92218938378524e-08,3.5597853348214436e-05,Infiltrating Macrophages,HSV1_vs_Mock
Gbp5,5.3511014,4.876386,8.742052217168218e-08,4.25265399613002e-05,Infiltrating Macrophages,HSV1_vs_Mock
Gbp2,5.3175707,5.0683913,1.0516181993674164e-07,4.8533528129266994e-05,Infiltrating Macrophages,HSV1_vs_Mock
