condition,Homeostatic Microglia,IFN-Responsive Microglia,Transiently Activated Microglia,IEG-High Microglia,Primed Microglia,Mitochondrial-Activated Microglia,Infiltrating Macrophages
Mock,904,11,788,202,134,180,116
HSV1,2058,883,1142,260,628,453,193
