"logFC","AveExpr","t","P.Value","adj.P.Val","B","Protein"
1.13213152276127,0.738822662094107,4.60131121209994,6.75963122900724e-05,0.00236587093015253,1.58400861723368,"Synaptophysin"
-0.907699512324742,-1.84012458537515,-3.47451605342254,0.0015391555141766,0.0269352214980904,-1.37597382415104,"SPP1"
0.587670448819752,0.943728870819533,2.99284935802798,0.00539647034881871,0.0447491173146897,-2.5406669961041,"CD68"
-0.754703790710902,-1.81933831013215,-2.81920713614302,0.008329056477751,0.0447491173146897,-2.93819213607606,"CD163"
-0.65206209773199,-1.60874065895871,-2.79185260056933,0.0089094406280425,0.0447491173146897,-2.99957908831802,"Mertk"
-0.755364662988454,-1.86903509460672,-2.78666415089991,0.00902371359912796,0.0447491173146897,-3.01118312911429,"ITGAX"
1.63819087776433,2.64149756190642,2.77946336216733,0.00918458254785701,0.0447491173146897,-3.02726678071915,"GFAP"
0.485791648707085,0.654774027720472,2.73542120356915,0.0102283696719291,0.0447491173146897,-3.12510201338759,"CSF1R"
0.45102818406422,4.72137776312612,2.66312757410595,0.012184716714024,0.0473850094434266,-3.2836478553862,"Vimentin"
-0.695869356253148,-1.7068856400011,-2.58167413791834,0.0148026219452002,0.0518091768082007,-3.45912450451237,"GPNMB"
-0.686293895497804,-1.368701738842,-2.25771483296203,0.0311780570471523,0.0941069331222578,-4.12112716919289,"Rt IgG2b"
0.528781294071747,0.23151092738464,2.24226922518805,0.0322652342133455,0.0941069331222578,-4.15115753501613,"CD45"
-0.429718230908491,-1.17059642852362,-1.90177215321052,0.0665633386214833,0.179208988596301,-4.77404310212675,"Rt IgG2a"
0.374420722232944,5.4079320285841,1.78358601298621,0.0843200672993525,0.197448376299771,-4.97159963142614,"MAP2"
-0.526721599345597,-1.36078697928837,-1.72692907288598,0.0941699480212637,0.197448376299771,-5.06267483290984,"Ki-67"
-0.470788750450498,-0.183909313969602,-1.71092188790719,0.0971222884712406,0.197448376299771,-5.08797030789999,"Rb IgG"
0.448545351474389,1.96062323420942,1.67502659827576,0.104025669431223,0.197448376299771,-5.14398745312062,"Aldh1l1"
-0.41296550393328,-1.41659649178753,-1.66804208456271,0.10541541216705,0.197448376299771,-5.15477294273636,"S6"
0.451095890336575,0.245013723134521,1.65925241406015,0.107186261419876,0.197448376299771,-5.16829272370869,"TMEM119"
-0.369163809901773,1.75755045432865,-1.57546551275067,0.125337189955007,0.219340082421262,-5.29415897362509,"NeuN"
0.300122054191683,-1.01177288617644,1.36671535079068,0.181580856555143,0.302634760925239,-5.58330457303837,"MSR1"
-0.390833310908258,-0.903631415108026,-1.27759780080011,0.210910522884719,0.331491962493481,-5.69572258493744,"Olig2"
-0.295131602216816,-1.4622524261769,-1.25794766796221,0.217837575352859,0.331491962493481,-5.71959755796883,"CD39"
0.281323947921807,-0.299109229841546,1.13839618284593,0.263707901241373,0.384574022643669,-5.85761012178391,"Histone H3"
-0.217130470562267,0.486501836965393,-0.991200431235823,0.329289373205539,0.447552563714357,-6.01006813200279,"Ctsd"
-0.201383553705168,-0.0949426642573941,-0.984606217908152,0.332467618759237,0.447552563714357,-6.01643802053391,"CD9"
0.229935139382013,-0.561264229808862,0.883157648511394,0.383973266457978,0.480556628177673,-6.10937905498842,"CD40"
-0.165585616463438,0.0173057108556124,-0.882270373760192,0.384445302542138,0.480556628177673,-6.11014975318272,"IBA1"
0.22233564401262,-1.12703250544767,0.804790767317116,0.427091922897673,0.515455769014432,-6.17459987359202,"MHC II"
-0.219532920193007,-0.276578566705624,-0.739556311312415,0.465153110684684,0.542678629132131,-6.22446038644114,"Neurofilament light"
0.0993088618493026,7.00386441086817,0.44171813655102,0.661770250601417,0.747159960356439,-6.39987813390349,"S100B"
-0.079860847181558,0.273154953694879,-0.342577996917792,0.734236316861248,0.80307097156699,-6.43891986859551,"CD31"
0.029764732146787,4.17126790498348,0.167258422737146,0.868256939047998,0.920878571717574,-6.48392454444835,"GAPDH"
-0.0322308546472499,7.04566765234855,-0.114668378335308,0.909450141478723,0.936198675051627,-6.49140251539299,"Myelin basic protein"
-0.0059006171390801,0.991524381482902,-0.0275890518425706,0.978167395421503,0.978167395421503,-6.49765322578214,"CD11b"
