"sample_label","cluster_simple","GROUP_","value","position","name","sample","value_plot"
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2730.26822396652,-949.497991967871,"Homeostatic Microglia","Homeostatic Microglia",0.273026822396652
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2709.79767525873,-939.658634538153,"Homeostatic Microglia","Homeostatic Microglia",0.270979767525873
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2691.4656012365,-929.819277108434,"Homeostatic Microglia","Homeostatic Microglia",0.26914656012365
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2675.37042663553,-919.979919678715,"Homeostatic Microglia","Homeostatic Microglia",0.267537042663553
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2661.78360655205,-910.140562248996,"Homeostatic Microglia","Homeostatic Microglia",0.266178360655205
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2651.14508111674,-900.301204819277,"Homeostatic Microglia","Homeostatic Microglia",0.265114508111674
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2643.90176975474,-890.461847389558,"Homeostatic Microglia","Homeostatic Microglia",0.264390176975474
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2640.50059189116,-880.622489959839,"Homeostatic Microglia","Homeostatic Microglia",0.264050059189116
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2641.37579788475,-870.78313253012,"Homeostatic Microglia","Homeostatic Microglia",0.264137579788475
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2646.54308967873,-860.943775100402,"Homeostatic Microglia","Homeostatic Microglia",0.264654308967873
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2655.51375268421,-851.104417670683,"Homeostatic Microglia","Homeostatic Microglia",0.265551375268421
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2667.76904193272,-841.265060240964,"Homeostatic Microglia","Homeostatic Microglia",0.266776904193272
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2682.79021245577,-831.425702811245,"Homeostatic Microglia","Homeostatic Microglia",0.268279021245577
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2700.06125193707,-821.586345381526,"Homeostatic Microglia","Homeostatic Microglia",0.270006125193707
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2719.21512516041,-811.746987951807,"Homeostatic Microglia","Homeostatic Microglia",0.271921512516041
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2740.10748553647,-801.907630522088,"Homeostatic Microglia","Homeostatic Microglia",0.274010748553647
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2762.6122123149,-792.06827309237,"Homeostatic Microglia","Homeostatic Microglia",0.27626122123149
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2786.60318474536,-782.228915662651,"Homeostatic Microglia","Homeostatic Microglia",0.278660318474536
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2811.95294561533,-772.389558232932,"Homeostatic Microglia","Homeostatic Microglia",0.281195294561533
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2838.39440570122,-762.550200803213,"Homeostatic Microglia","Homeostatic Microglia",0.283839440570122
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2865.40042165223,-752.710843373494,"Homeostatic Microglia","Homeostatic Microglia",0.286540042165223
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2892.41546869773,-742.871485943775,"Homeostatic Microglia","Homeostatic Microglia",0.289241546869773
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2918.88402206707,-733.032128514056,"Homeostatic Microglia","Homeostatic Microglia",0.291888402206707
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2944.25138187189,-723.192771084337,"Homeostatic Microglia","Homeostatic Microglia",0.294425138187189
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2968.18032294699,-713.353413654618,"Homeostatic Microglia","Homeostatic Microglia",0.296818032294699
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",2990.84164011193,-703.5140562249,"Homeostatic Microglia","Homeostatic Microglia",0.299084164011193
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3012.4785458343,-693.674698795181,"Homeostatic Microglia","Homeostatic Microglia",0.30124785458343
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3033.33425258169,-683.835341365462,"Homeostatic Microglia","Homeostatic Microglia",0.303333425258169
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3053.65204740953,-673.995983935743,"Homeostatic Microglia","Homeostatic Microglia",0.305365204740953
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3073.76887820566,-664.156626506024,"Homeostatic Microglia","Homeostatic Microglia",0.307376887820566
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3094.2983367304,-654.317269076305,"Homeostatic Microglia","Homeostatic Microglia",0.30942983367304
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3115.90484426132,-644.477911646586,"Homeostatic Microglia","Homeostatic Microglia",0.311590484426132
"Homeostatic_Microglia","Homeostatic.Microglia","Homeostatic_Microglia,Homeostatic.Microglia",3139.25282207601,-634.638554216868,"Homeostatic Microglia","Homeostatic Microglia",0.313925282207601
