gene,logFC,padj,scores
Plcl2,0.16833466,1.0,2.4527645
Srrm1,0.3818102,1.0,2.430649
Etnk1,0.42401576,1.0,2.4208746
Gm13710,1.1429088,1.0,2.4144592
Sp100,1.4501665,1.0,2.4143891
Ddx17,0.2969615,1.0,2.3981757
Apobec3,0.4641662,1.0,2.384202
Wnk1,0.18040799,1.0,2.3826623
Tbc1d9,0.3133259,1.0,2.3722577
Ptpn1,0.34725127,1.0,2.3712547
Trim14,0.5961999,1.0,2.3664255
Ifi204,2.0052705,1.0,2.3556712
Cadm1,0.2952715,1.0,2.3535483
Htt,0.4736584,1.0,2.3343954
Irgm1,1.3650978,1.0,2.3212616
Gm26740,0.4830856,1.0,2.3161058
Chsy1,0.4111038,1.0,2.3150795
Fyb,0.14731336,1.0,2.306821
Gm35154,0.41569516,1.0,2.2951803
H2-T23,0.6656974,1.0,2.2819064
Stat2,0.9953448,1.0,2.2788036
Ifih1,1.3164064,1.0,2.276494
Map4,0.30803815,1.0,2.2730649
Pkd1,0.61373657,1.0,2.2672093
Pde3b,0.13451444,1.0,2.2644799
Rad51b,0.7115549,1.0,2.2575047
Ccnd3,0.18967196,1.0,2.2488496
Ide,0.95561534,1.0,2.2422245
Gcnt1,0.45700666,1.0,2.2353892
Atm,0.59009534,1.0,2.234386
Slfn8,0.52547985,1.0,2.2022626
Naip5,0.5019347,1.0,2.200163
Wdr33,0.30100992,1.0,2.1947975
Fnbp4,0.3846324,1.0,2.184976
Psme2,0.9693384,1.0,2.1538324
Sp110,0.8094543,1.0,2.1470206
Stk3,0.33568254,1.0,2.1450844
Itgam,0.24303217,1.0,2.1429381
2210408I21Rik,0.6067577,1.0,2.140792
Ubr5,0.29311547,1.0,2.127751
Slfn2,2.6771665,1.0,2.1194694
Safb,0.72118413,1.0,2.1194463
Actr3,0.35415092,1.0,2.1193528
Abcg1,0.59044516,1.0,2.114174
Bst2,1.0272646,1.0,2.1116078
Qk,0.07437085,1.0,2.1078053
Unc93b1,0.20622358,1.0,2.1059623
Dpysl2,0.39598575,1.0,2.0984738
Atp8a1,0.19071883,1.0,2.0957677
Jmjd1c,0.16327782,1.0,2.0931315
Huwe1,0.2641663,1.0,2.0926416
Larp4b,0.27900407,1.0,2.0896556
Picalm,0.12720966,1.0,2.089189
Dennd1b,0.3151033,1.0,2.0780613
Uri1,0.47078627,1.0,2.0720658
Parp8,0.27834138,1.0,2.0698264
H2-Q4,2.3726072,1.0,2.0647173
Vwa8,0.4996357,1.0,2.064624
Cnot1,0.3118043,1.0,2.0563424
Gm34589,0.3769853,1.0,2.0545928
Bbs9,0.23465687,1.0,2.0541263
Klf7,0.34238896,1.0,2.0476875
Cmklr1,0.45553106,1.0,2.044165
Akap9,0.30531484,1.0,2.0411088
Trim30d,0.45360917,1.0,2.0401523
Efhd2,0.3383816,1.0,2.0361633
Fer,0.3269693,1.0,2.0323374
Klf6,0.39421877,1.0,2.0314507
Itgb5,0.12016081,1.0,2.0309377
Ppp1r21,0.28139877,1.0,2.0214896
Snx6,0.34521922,1.0,2.0197399
Mdm4,0.3152009,1.0,2.0111783
H2-Aa,1.8342572,1.0,1.9877331
Gbp2,3.9352868,1.0,1.9843972
Taf15,0.28329453,1.0,1.9842339
H2-M3,1.1153194,1.0,1.9765588
Pik3ap1,0.24152517,1.0,1.9643812
Vps13b,0.25208065,1.0,1.9603921
Ranbp2,0.30176914,1.0,1.9530202
Flnb,0.8451019,1.0,1.9520638
Parp12,0.7392805,1.0,1.9475147
Myo1b,0.3484109,1.0,1.9471648
