Infiltrating Macrophages (HSV1_UP),Infiltrating Macrophages (HSV1_DOWN),Infiltrating Macrophages (ALL_DEGs),Transiently Activated Microglia (HSV1_UP),Transiently Activated Microglia (HSV1_DOWN),Transiently Activated Microglia (ALL_DEGs),Homeostatic Microglia (HSV1_UP),Homeostatic Microglia (HSV1_DOWN),Homeostatic Microglia (ALL_DEGs),IFN-Responsive Microglia (MARKERS_pos)
Slfn5,C1qa,Slfn5,,,Man2b1,,,Rpl10,Nlrp1b
Actb,Ctsd,Actb,,,P2ry12,,,Fcrls,Apobec1
Ascc3,Gm5086,Ascc3,,,Fcrls,,,Cst3,Gbp5
Zc3h7a,Cd163,Zc3h7a,,,AY036118,,,,Oasl2
Pim1,Mctp1,Pim1,,,Rpl10,,,,Gatm
Irgm1,Ssh2,Irgm1,,,Sparc,,,,Diaph2
Cdk14,Csf1r,Cdk14,,,Cst3,,,,Ctss
Tapbp,Itm2b,Tapbp,,,,,,,Lrch3
Ifi209,Dab2,Ifi209,,,,,,,Lcp2
Slco3a1,Wwp1,Slco3a1,,,,,,,Rad51b
Xdh,Mrc1,Xdh,,,,,,,9930111J21Rik2
Cd274,Sbf2,Cd274,,,,,,,Lyn
Pik3ap1,AC149090.1,Pik3ap1,,,,,,,Larp1
Cd52,Snx29,Cd52,,,,,,,Ifih1
Ifi205,Pde4d,Ifi205,,,,,,,Apobec3
Znfx1,Abca9,Znfx1,,,,,,,Mycbp2
Lpp,Slc9a9,Lpp,,,,,,,Zc3hav1
Lars2,Fcrls,Lars2,,,,,,,Snd1
Gsap,Cst3,Gsap,,,,,,,Atp6v0a2
Hk3,Stab1,Hk3,,,,,,,E230029C05Rik
Eif2ak2,Apoe,Eif2ak2,,,,,,,Tap1
Gvin1,,Gvin1,,,,,,,Chd7
Klrk1,,Klrk1,,,,,,,Casp4
Trim30d,,Trim30d,,,,,,,Ascc3
H2-Aa,,H2-Aa,,,,,,,Hspa5
Acer3,,Acer3,,,,,,,Morc3
H2-T23,,H2-T23,,,,,,,Ikzf1
Dennd1b,,Dennd1b,,,,,,,Pign
Pfkp,,Pfkp,,,,,,,Lgals3bp
Ifih1,,Ifih1,,,,,,,G530011O06Rik
Atp8a1,,Atp8a1,,,,,,,Parp12
Apobec3,,Apobec3,,,,,,,Camk1d
Slamf7,,Slamf7,,,,,,,Adar
Naaa,,Naaa,,,,,,,Lair1
Cmss1,,Cmss1,,,,,,,Iigp1
Arhgap15,,Arhgap15,,,,,,,Cd180
Akt3,,Akt3,,,,,,,Bst2
B4galt5,,B4galt5,,,,,,,Bmp2k
Skap2,,Skap2,,,,,,,Spata5
Cxcl10,,Cxcl10,,,,,,,Gm26917
Lrch3,,Lrch3,,,,,,,Ptpn1
Samd9l,,Samd9l,,,,,,,Ccr5
Htt,,Htt,,,,,,,Btaf1
Irf7,,Irf7,,,,,,,Trafd1
Cxcl9,,Cxcl9,,,,,,,Fmnl2
Lnpep,,Lnpep,,,,,,,H2-T23
Actr3,,Actr3,,,,,,,Vps54
Tmem131,,Tmem131,,,,,,,Slfn5
Arfgef1,,Arfgef1,,,,,,,Zfand3
Psme2,,Psme2,,,,,,,Skap2
Clic4,,Clic4,,,,,,,Gbp4
,,Rnase4,,,,,,,Eml4
,,Nfia,,,,,,,Lacc1
,,Serinc3,,,,,,,Prr5l
,,Sh3kbp1,,,,,,,Cacnb2
,,Tbc1d5,,,,,,,Cept1
,,Kansl1,,,,,,,Gvin1
,,Ccnd3,,,,,,,Mllt3
,,Hdac9,,,,,,,Ophn1
,,Otulinl,,,,,,,Fndc3b
,,Rhob,,,,,,,Synj1
,,Wdfy3,,,,,,,Fgd2
,,Kctd12,,,,,,,Gm12185
,,Zfp644,,,,,,,Ifi209
,,Colec12,,,,,,,Fgl2
,,Ivns1abp,,,,,,,Aig1
,,Fgd4,,,,,,,Pla2g4a
,,Btg2,,,,,,,Hk2
,,Mir99ahg,,,,,,,Sp110
,,Fli1,,,,,,,Itgam
,,Pf4,,,,,,,Rnpep
,,Slc12a6,,,,,,,Akt3
,,Atp6v0b,,,,,,,B4galt1
,,Cd14,,,,,,,Ranbp2
,,Maf,,,,,,,Tiam1
,,Ulk2,,,,,,,Gls
,,Jun,,,,,,,Ptprj
,,P2rx7,,,,,,,Gm4070
,,Ints6l,,,,,,,Map4
,,Zdhhc14,,,,,,,Ptprc
,,Agmo,,,,,,,Tor1aip1
,,C1qb,,,,,,,Lpp
,,Prkn,,,,,,,Fndc3a
,,Hexb,,,,,,,Hps3
,,Atxn1,,,,,,,Nktr
,,Abca1,,,,,,,Plek
,,Jund,,,,,,,Luc7l3
,,St3gal6,,,,,,,Sppl2a
,,Lyz2,,,,,,,Gbp8
,,Mertk,,,,,,,Clec2d
,,Trf,,,,,,,Irgm2
,,Rnf150,,,,,,,Xrn2
,,Siglech,,,,,,,Trim12a
,,Qk,,,,,,,Zc3h7a
,,Hpgd,,,,,,,Gbp9
,,Zfp36l1,,,,,,,H2-T24
,,F13a1,,,,,,,Pdia3
,,C1qc,,,,,,,Slc15a3
,,Cfh,,,,,,,Ppp3ca
,,Hpgds,,,,,,,Bin2
,,Lrp6,,,,,,,Cdk6
,,Selenop,,,,,,,Naip2
,,C1qa,,,,,,,Rhoh
,,Ctsd,,,,,,,Fcgr4
,,Gm5086,,,,,,,Rtp4
,,Cd163,,,,,,,Dpysl2
,,Mctp1,,,,,,,Cyld
,,Ssh2,,,,,,,Tasor2
,,Csf1r,,,,,,,Fnbp4
,,Itm2b,,,,,,,Uvrag
,,Dab2,,,,,,,Vmp1
,,Wwp1,,,,,,,Nr3c1
,,Mrc1,,,,,,,Gbp3
,,Sbf2,,,,,,,Itpr1
,,AC149090.1,,,,,,,Cd274
,,Snx29,,,,,,,Disc1
,,Pde4d,,,,,,,Parp8
,,Abca9,,,,,,,Nod1
,,Slc9a9,,,,,,,Fam49b
,,Fcrls,,,,,,,Rrbp1
,,Cst3,,,,,,,Tut7
,,Stab1,,,,,,,Htt
,,Apoe,,,,,,,Atf6
,,,,,,,,,Man1a2
,,,,,,,,,Dnajc13
,,,,,,,,,Btg1
,,,,,,,,,Lgals9
,,,,,,,,,Mid1
,,,,,,,,,Dpy19l4
,,,,,,,,,Hsp90b1
,,,,,,,,,Actr2
,,,,,,,,,Akap9
,,,,,,,,,Aim2
,,,,,,,,,Slfn2
,,,,,,,,,H2-Ab1
,,,,,,,,,Lars2
,,,,,,,,,Gna13
,,,,,,,,,Gsap
,,,,,,,,,Setd3
,,,,,,,,,Ikzf2
,,,,,,,,,Taok3
,,,,,,,,,Peli1
,,,,,,,,,Ap3b1
,,,,,,,,,Cdk14
,,,,,,,,,Ankrd17
,,,,,,,,,Tor3a
,,,,,,,,,Ank2
,,,,,,,,,Xaf1
,,,,,,,,,Tap2
,,,,,,,,,Dtx3l
,,,,,,,,,Trim14
,,,,,,,,,Cux1
,,,,,,,,,Scfd1
,,,,,,,,,Naa25
,,,,,,,,,Clint1
,,,,,,,,,March5
,,,,,,,,,Usp18
,,,,,,,,,Gm26740
,,,,,,,,,Rap1b
,,,,,,,,,Atm
,,,,,,,,,Lpcat2
,,,,,,,,,Mbd2
,,,,,,,,,Il10ra
,,,,,,,,,Ecpas
,,,,,,,,,Fcgr2b
,,,,,,,,,Pnpt1
,,,,,,,,,Rufy3
,,,,,,,,,Tpd52
,,,,,,,,,Snx2
,,,,,,,,,Nfkb1
,,,,,,,,,Mdn1
,,,,,,,,,Xrn1
,,,,,,,,,Lnpep
,,,,,,,,,Psme4
,,,,,,,,,Pou2f2
,,,,,,,,,Abr
,,,,,,,,,Mpeg1
,,,,,,,,,Pml
,,,,,,,,,Ttc39b
,,,,,,,,,Sbno2
,,,,,,,,,Nfxl1
,,,,,,,,,Susd6
,,,,,,,,,Atp2a2
,,,,,,,,,Tbc1d1
,,,,,,,,,Parp10
,,,,,,,,,Wwox
,,,,,,,,,Nup98
,,,,,,,,,Prkcb
,,,,,,,,,Tdrd7
,,,,,,,,,Spint1
,,,,,,,,,Lap3
,,,,,,,,,Arhgap24
,,,,,,,,,Cd47
,,,,,,,,,Icam1
,,,,,,,,,Vti1a
,,,,,,,,,Jak2
,,,,,,,,,Msn
,,,,,,,,,Eif3a
,,,,,,,,,Ntpcr
,,,,,,,,,Sdc3
,,,,,,,,,Fus
,,,,,,,,,Exoc6
,,,,,,,,,Ino80
,,,,,,,,,Hsp90ab1
,,,,,,,,,Mia2
,,,,,,,,,Wdr43
,,,,,,,,,Efhd2
,,,,,,,,,Iqsec2
,,,,,,,,,Tnfaip8
,,,,,,,,,Gm47283
,,,,,,,,,Hltf
,,,,,,,,,Nup153
,,,,,,,,,Ripor2
,,,,,,,,,Hacd2
,,,,,,,,,Sp140
,,,,,,,,,Gab2
,,,,,,,,,Ddx58
,,,,,,,,,Xpo6
,,,,,,,,,Abcc5
,,,,,,,,,Rapgef5
,,,,,,,,,Apc
,,,,,,,,,Smchd1
,,,,,,,,,Ambra1
,,,,,,,,,Bcl2l1
,,,,,,,,,Taf15
,,,,,,,,,Slc12a9
,,,,,,,,,Dennd1b
,,,,,,,,,Tle4
,,,,,,,,,Myo9a
,,,,,,,,,Tlr3
,,,,,,,,,Gm40645
,,,,,,,,,Sgk3
,,,,,,,,,Vav1
,,,,,,,,,March1
,,,,,,,,,Baz1a
,,,,,,,,,Naa15
,,,,,,,,,Exoc4
,,,,,,,,,Tapbp
,,,,,,,,,Lcor
,,,,,,,,,Tbc1d14
,,,,,,,,,Psme2
,,,,,,,,,Cpq
,,,,,,,,,Gcnt2
,,,,,,,,,Fgfr1op
,,,,,,,,,Ifi30
,,,,,,,,,Irf2
,,,,,,,,,Mb21d2
,,,,,,,,,Pcca
,,,,,,,,,Csf1
