gene,scores,logFC,pvals,padj
G530011O06Rik,8.711346,1.6329342,3.002876963705663e-18,6.358680290557438e-16
Parp12,8.61991,1.5792739,6.7006860379609505e-18,1.402391255782083e-15
Camk1d,8.560569,0.4157899,1.1231191136795416e-17,2.3235656238066747e-15
Adar,8.5458555,1.5623319,1.2758759029066554e-17,2.6096011791382833e-15
Lair1,8.422339,0.6366788,3.690409294737677e-17,7.380408543998161e-15
Iigp1,8.408735,2.74028,4.1445619354448115e-17,8.197579151216611e-15
Cd180,8.396233,0.8945913,4.6103136089544246e-17,9.019677679083771e-15
Bst2,8.386736,1.6571995,4.998253006200348e-17,9.673500629956997e-15
Bmp2k,8.384217,0.5996109,5.1064230832071317e-17,9.77771373134523e-15
Spata5,8.312059,1.0432575,9.405512392405252e-17,1.7819980794831803e-14
Gm26917,8.304751,0.8170827,1.0002844438729981e-16,1.8754291359656346e-14
Ptpn1,8.289057,0.81237644,1.1415047467980003e-16,2.118138550269815e-14
Ccr5,8.2690735,0.7830388,1.3500384867375176e-16,2.4795247676314877e-14
Btaf1,8.164978,0.77542025,3.2149422333612383e-16,5.845024773562518e-14
Trafd1,8.124983,1.1584983,4.474269472086349e-16,8.05323762280822e-14
Fmnl2,8.078729,0.91862226,6.544553726414632e-16,1.1662913120964055e-13
H2-T23,8.030008,1.2967296,9.746585993160718e-16,1.7198902087343112e-13
Vps54,8.025077,0.76559037,1.014626058021667e-15,1.7730344095467947e-13
Slfn5,7.9745803,2.5086555,1.5289957694494808e-15,2.620989986125829e-13
Zfand3,7.9689436,0.6933253,1.6003631512154105e-15,2.717446826294922e-13
Skap2,7.9288583,0.6546668,2.2116948446669218e-15,3.7204014494541985e-13
Gbp4,7.8919735,2.8865285,2.974444663594084e-15,4.957132361113881e-13
Eml4,7.8840284,0.7074217,3.169917346564703e-15,5.234435075304412e-13
Lacc1,7.8698096,0.8383332,3.5518068685304813e-15,5.811724711516376e-13
Prr5l,7.8570304,2.7080567,3.933479528690368e-15,6.37826108440522e-13
Cacnb2,7.835616,0.68629086,4.6654994637843976e-15,7.497707575772801e-13
Cept1,7.809442,0.77213866,5.744169149372246e-15,9.149495621199208e-13
Gvin1,7.783995,2.021526,7.02693903273323e-15,1.1094550495628546e-12
Mllt3,7.678198,1.5414274,1.613419884662298e-14,2.482046538806556e-12
Ophn1,7.655217,0.5404723,1.929858345984081e-14,2.9436881668955486e-12
Fndc3b,7.640294,0.7754295,2.1672650476579758e-14,3.278033915361e-12
Synj1,7.6070666,0.7218293,2.803862836954565e-14,4.205560600195435e-12
Fgd2,7.5847683,0.65002936,3.330822358485621e-14,4.954667076891132e-12
Gm12185,7.5812154,0.96254206,3.423329579479492e-14,5.050533532873064e-12
Ifi209,7.5480256,2.3928895,4.4190551752601943e-14,6.4665507397974176e-12
Fgl2,7.532488,2.3184135,4.9782560947296055e-14,7.226099310406304e-12
Aig1,7.5101814,1.0974076,5.904539688739755e-14,8.502064788610147e-12
Pla2g4a,7.4963226,0.7512607,6.563311884116806e-14,9.375638936684e-12
Hk2,7.490941,0.68480825,6.838157233684745e-14,9.691337956621396e-12
Sp110,7.4897494,1.3975266,6.900534694425278e-14,9.703337809762544e-12
Itgam,7.453269,0.6109969,9.105522653147781e-14,1.2704674591783482e-11
Rnpep,7.422216,0.86914027,1.1517690941210078e-13,1.582495566800307e-11
Akt3,7.378038,0.85802525,1.6063902582806162e-13,2.1739412224656248e-11
B4galt1,7.351362,0.6652597,1.9619721559358407e-13,2.635338569752925e-11
Ranbp2,7.344039,0.7691188,2.0724262078313e-13,2.7630814307226348e-11
Tiam1,7.3367686,1.5770397,2.1881255357440367e-13,2.895887611607126e-11
Gls,7.2997565,0.6904973,2.8828929750303165e-13,3.7875321647861804e-11
Ptprj,7.2213473,0.52575594,5.147503930194783e-13,6.713762553592456e-11
Gm4070,7.198801,2.0588603,6.074428173441904e-13,7.865728970775599e-11
Map4,7.1411843,0.6622179,9.25303011342123e-13,1.1896092072247765e-10
Ptprc,7.1296935,0.5597018,1.0059251448166904e-12,1.2840884171316035e-10
Tor1aip1,7.1174164,0.726213,1.0996896924426644e-12,1.3841478863129733e-10
Lpp,7.074423,0.7921967,1.500720867966284e-12,1.875796868230913e-10
Fndc3a,7.0213103,0.6736706,2.197967062827746e-12,2.7283592526783866e-10
Hps3,7.019714,0.6696392,2.223228069686728e-12,2.7408138374172203e-10
Nktr,7.0060573,0.65621275,2.4512729203329646e-12,3.0013919246988456e-10
Plek,6.9880385,0.6272762,2.7875578061755477e-12,3.3900846590103837e-10
Luc7l3,6.972943,0.76827973,3.103786907254133e-12,3.7493329223937674e-10
Sppl2a,6.9637537,0.7138573,3.3132404950000054e-12,3.9756677113003396e-10
Gbp8,6.9539495,2.4640408,3.5519859693191463e-12,4.233920229256644e-10
Clec2d,6.932738,2.1225817,4.127732577157492e-12,4.887832806332744e-10
Irgm2,6.9315233,1.5299748,4.163325378912723e-12,4.897757744774516e-10
Xrn2,6.8506784,0.7324458,7.350065770406418e-12,8.535086051712588e-10
Trim12a,6.8258533,0.8842459,8.740404912047443e-12,1.0084522308457816e-09
Zc3h7a,6.8249016,0.66038305,8.798556902901942e-12,1.0086957050658093e-09
Gbp9,6.7922816,2.215285,1.1037370433221144e-11,1.257352091313591e-09
H2-T24,6.7730637,1.9293983,1.2608347323599954e-11,1.4272807765878965e-09
Pdia3,6.757668,0.660712,1.402302914073978e-11,1.5775031344010956e-09
Slc15a3,6.704863,1.1171653,2.0159517435229523e-11,2.2537338777434543e-09
Ppp3ca,6.681485,0.55648863,2.3653285095726766e-11,2.6212435481058592e-09
Bin2,6.68096,0.7395754,2.3738135359811937e-11,2.6212435481058592e-09
Cdk6,6.6440983,0.69855434,3.0507925398858585e-11,3.34824481252473e-09
Naip2,6.6191235,0.8381775,3.6133478625170014e-11,3.941615041057183e-09
Rhoh,6.5848546,0.68322736,4.5533054412653636e-11,4.9370448576708e-09
Fcgr4,6.5658913,2.5819633,5.172251514842145e-11,5.541390179502605e-09
Rtp4,6.561132,2.3225925,5.3400894019409454e-11,5.687353203877815e-09
Dpysl2,6.439744,0.77634174,1.196750629583836e-10,1.2670773283458509e-08
Cyld,6.4035115,0.7253032,1.5184342115948758e-10,1.5889707775869863e-08
Tasor2,6.376273,0.70691395,1.8144902398909048e-10,1.8769545878043908e-08
Fnbp4,6.3270288,0.74011153,2.4992696307934055e-10,2.570534519122886e-08
Uvrag,6.323978,0.5732675,2.549139796322141e-10,2.6069299542046713e-08
Vmp1,6.319271,0.94476616,2.6280017554036e-10,2.6661601014287354e-08
Nr3c1,6.3187613,0.57107,2.636682582667453e-10,2.6661601014287354e-08
Gbp3,6.310861,1.9970446,2.774871203015448e-10,2.790218256037712e-08
Itpr1,6.299198,1.1762779,2.991890084012012e-10,2.986725109314167e-08
Cd274,6.298599,2.107847,3.003484886859627e-10,2.986725109314167e-08
Disc1,6.292055,0.7527585,3.132899934884426e-10,3.09830032571345e-08
