"ROI","CellState","Score","antigen"
"DSP-1001660019915-A-B08.dcc","Transiently Activated Microglia",-0.21753763606049,"negative"
"DSP-1001660019915-A-B09.dcc","Transiently Activated Microglia",-0.0121836028299106,"negative"
"DSP-1001660019915-A-B10.dcc","Transiently Activated Microglia",-0.199844725336978,"negative"
"DSP-1001660019915-A-B11.dcc","Transiently Activated Microglia",-0.21486896226913,"negative"
"DSP-1001660019915-A-B12.dcc","Transiently Activated Microglia",0.436529780423348,"negative"
"DSP-1001660019915-A-C01.dcc","Transiently Activated Microglia",-0.222334559800805,"negative"
"DSP-1001660019915-A-C02.dcc","Transiently Activated Microglia",0.193121149901516,"negative"
"DSP-1001660019915-A-C03.dcc","Transiently Activated Microglia",0.147015597937128,"negative"
"DSP-1001660019915-A-C04.dcc","Transiently Activated Microglia",-0.637010203123166,"negative"
"DSP-1001660019915-A-C05.dcc","Transiently Activated Microglia",-0.0734411993705652,"negative"
"DSP-1001660019915-A-C07.dcc","Transiently Activated Microglia",0.0531053257498821,"negative"
"DSP-1001660019915-A-C08.dcc","Transiently Activated Microglia",-0.115773236491657,"negative"
"DSP-1001660019915-A-C09.dcc","Transiently Activated Microglia",0.262053342493902,"negative"
"DSP-1001660019915-A-C10.dcc","Transiently Activated Microglia",-0.300162134912302,"negative"
"DSP-1001660019915-A-C11.dcc","Transiently Activated Microglia",-0.103961791256924,"negative"
"DSP-1001660019915-A-C12.dcc","Transiently Activated Microglia",0.133899341430549,"negative"
"DSP-1001660019915-A-D02.dcc","Transiently Activated Microglia",0.192706692344347,"negative"
"DSP-1001660019915-A-D03.dcc","Transiently Activated Microglia",-0.2637455060026,"negative"
"DSP-1001660019915-A-D04.dcc","Transiently Activated Microglia",0.40652679541302,"negative"
"DSP-1001660019915-A-D05.dcc","Transiently Activated Microglia",-0.385448441271118,"negative"
"DSP-1001660019915-A-D06.dcc","Transiently Activated Microglia",0.0250966999760297,"negative"
"DSP-1001660019915-A-D07.dcc","Transiently Activated Microglia",0.514011801602435,"negative"
"DSP-1001660019915-A-D08.dcc","Transiently Activated Microglia",-0.429316019104063,"negative"
"DSP-1001660019915-A-D11.dcc","Transiently Activated Microglia",0.175569453056512,"negative"
"DSP-1001660019915-A-D12.dcc","Transiently Activated Microglia",0.0463549436870325,"negative"
"DSP-1001660019915-A-A02.dcc","IFN-Responsive Microglia",0.936568200295278,"positive"
"DSP-1001660019915-A-A03.dcc","IFN-Responsive Microglia",0.571562622304281,"positive"
"DSP-1001660019915-A-A04.dcc","IFN-Responsive Microglia",0.537507476924289,"positive"
"DSP-1001660019915-A-A05.dcc","IFN-Responsive Microglia",1.20467591609319,"positive"
"DSP-1001660019915-A-A06.dcc","IFN-Responsive Microglia",0.721843692264459,"negative"
"DSP-1001660019915-A-A07.dcc","IFN-Responsive Microglia",0.189252631755083,"negative"
"DSP-1001660019915-A-A08.dcc","IFN-Responsive Microglia",-0.463998200430197,"negative"
"DSP-1001660019915-A-A09.dcc","IFN-Responsive Microglia",-0.181153710813816,"negative"
"DSP-1001660019915-A-A10.dcc","IFN-Responsive Microglia",-0.318831769696814,"negative"
"DSP-1001660019915-A-A11.dcc","IFN-Responsive Microglia",-0.691759014089317,"negative"
"DSP-1001660019915-A-A12.dcc","IFN-Responsive Microglia",-0.676453959900459,"negative"
"DSP-1001660019915-A-B01.dcc","IFN-Responsive Microglia",0.469343997016843,"negative"
"DSP-1001660019915-A-B02.dcc","IFN-Responsive Microglia",1.51763560585421,"positive"
"DSP-1001660019915-A-B03.dcc","IFN-Responsive Microglia",1.10534095943056,"positive"
"DSP-1001660019915-A-B04.dcc","IFN-Responsive Microglia",0.743356847886239,"negative"
"DSP-1001660019915-A-B05.dcc","IFN-Responsive Microglia",0.519435223226848,"negative"
"DSP-1001660019915-A-B06.dcc","IFN-Responsive Microglia",0.928263136595807,"positive"
"DSP-1001660019915-A-B07.dcc","IFN-Responsive Microglia",1.40360507924679,"positive"
"DSP-1001660019915-A-B08.dcc","IFN-Responsive Microglia",-0.311744510487489,"negative"
"DSP-1001660019915-A-B09.dcc","IFN-Responsive Microglia",-0.445691417064136,"negative"
"DSP-1001660019915-A-B10.dcc","IFN-Responsive Microglia",-0.488411319744549,"negative"
"DSP-1001660019915-A-B11.dcc","IFN-Responsive Microglia",-0.741619147413976,"negative"
"DSP-1001660019915-A-B12.dcc","IFN-Responsive Microglia",0.354366719742477,"negative"
"DSP-1001660019915-A-C01.dcc","IFN-Responsive Microglia",-0.247301717497291,"negative"
"DSP-1001660019915-A-C02.dcc","IFN-Responsive Microglia",-0.277804453361009,"negative"
"DSP-1001660019915-A-C03.dcc","IFN-Responsive Microglia",-0.552040293585463,"negative"
"DSP-1001660019915-A-C04.dcc","IFN-Responsive Microglia",-0.72926754828274,"negative"
"DSP-1001660019915-A-C05.dcc","IFN-Responsive Microglia",-0.714421418566258,"negative"
"DSP-1001660019915-A-C07.dcc","IFN-Responsive Microglia",-0.50156920954979,"negative"
"DSP-1001660019915-A-C08.dcc","IFN-Responsive Microglia",-0.519722007145673,"negative"
