"CellState","n_negative","n_positive","median_negative","median_positive","delta_median","p_value","p_adj","FDR_label"
"Homeostatic Microglia",35,8,-0.0256964457022018,0.0347852314026688,0.0604816771048706,0.913017795992799,0.913017795992799,"FDR = 0.913"
"Transiently Activated Microglia",35,8,-0.0121836028299106,0.0644914546944379,0.0766750575243484,0.267890615785822,0.362176695916528,"FDR = 0.362"
"IFN-Responsive Microglia",35,8,-0.318831769696814,1.02095457986292,1.33978634955973,2.34865670065876e-05,0.000164405969046113,"FDR = 1.6e-04"
"Primed Microglia",35,8,-0.0490375462179168,0.444162856114913,0.49320040233283,0.00287781368550524,0.00503617394963417,"FDR = 0.005"
"Mitochondrial-Activated Microglia",35,8,-0.158197556374264,0.549141260034535,0.707338816408799,0.00123715861155187,0.00433005514043153,"FDR = 0.004"
"IEG-High Microglia",35,8,-0.0508452352330079,0.36893696319053,0.419782198423538,0.00234298155892591,0.00503617394963417,"FDR = 0.005"
"Infiltrating Macrophages",35,8,-0.106621415109595,0.0243729281333371,0.130994343242933,0.310437167928452,0.362176695916528,"FDR = 0.362"
