"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.81873139131049e-07,0.383970435525614,0.239,0.203,0.00687333463121975,"Homeostatic Microglia","Adgrg1"
1.47093506126556e-06,0.367512850679517,0.24,0.207,0.0264753601677187,"Homeostatic Microglia","Cmtm6"
2.67205484072738e-07,0.367168685884165,0.276,0.24,0.00480943150782522,"Homeostatic Microglia","Abcc3"
1.66903031395796e-10,0.338434902752496,0.456,0.414,3.00408766209292e-06,"Homeostatic Microglia","Apba1"
8.15031158258796e-10,0.329314792858278,0.374,0.326,1.46697458175001e-05,"Homeostatic Microglia","Serpine2"
4.98647822000272e-07,0.317375125649825,0.24,0.202,0.00897516214818289,"Homeostatic Microglia","Syngr1"
1.05355268171717e-11,0.30608453557674,0.489,0.436,1.89628947182273e-07,"Homeostatic Microglia","Lrba"
8.50539998764782e-39,0.303646887601738,0.859,0.763,1.53088694377673e-34,"Homeostatic Microglia","Selplg"
1.61756549721816e-07,0.303347988151332,0.362,0.328,0.00291145613844297,"Homeostatic Microglia","Eef2k"
2.79116130841466e-43,0.294193227583375,0.935,0.864,5.02381123901555e-39,"Homeostatic Microglia","P2ry12"
2.21595744756325e-16,0.275641137398956,0.549,0.487,3.98850180986909e-12,"Homeostatic Microglia","Scoc"
5.26354191025422e-15,0.271105322911624,0.555,0.485,9.47384908426656e-11,"Homeostatic Microglia","Plxna4"
2.23527769511595e-37,0.264109355626147,0.954,0.887,4.02327632343919e-33,"Homeostatic Microglia","Ctsd"
1.05394209971023e-30,1.16417622267386,0.751,0.883,1.89699038526845e-26,"Primed Microglia","Tmsb4x"
1.97177941064805e-06,0.917579921627955,0.143,0.25,0.0354900576122543,"Primed Microglia","Rpl7"
9.3683542562085e-08,0.894785396516513,0.114,0.218,0.00168621008257497,"Primed Microglia","Rpl14"
9.48127574541356e-07,0.824563877917096,0.182,0.312,0.0170653482141699,"Primed Microglia","Rpl10"
1.5993785988717e-06,0.73450424282839,0.089,0.17,0.0287872154010917,"Primed Microglia","Rpl4"
2.99348840106545e-08,0.732236456426491,0.199,0.353,0.00053879797730777,"Primed Microglia","Rpsa"
1.06269671549212e-06,0.726792616341157,0.054,0.118,0.0191274781821426,"Primed Microglia","Eef1g"
2.73486504305337e-07,0.719059853523625,0.172,0.3,0.00492248359099175,"Primed Microglia","Rpl5"
6.13664008025175e-10,0.700766155984139,0.11,0.229,1.10453384804451e-05,"Primed Microglia","Eif1"
9.17056105061401e-08,0.696989233810168,0.092,0.184,0.00165060928350002,"Primed Microglia","Calm1"
4.414666874329e-08,0.678475896167383,0.108,0.21,0.000794595890710476,"Primed Microglia","Actg1"
1.40689190365171e-08,0.653637479059593,0.133,0.252,0.000253226473738271,"Primed Microglia","Rpl10a"
4.37529763369577e-08,0.65356452848525,0.108,0.21,0.000787509821088901,"Primed Microglia","Cox4i1"
6.71722159659896e-09,0.604021583162833,0.197,0.352,0.000120903271517185,"Primed Microglia","Ftl1"
2.76757257698274e-09,0.599193979946418,0.142,0.271,4.98135388131124e-05,"Primed Microglia","Rps6"
4.27232517344809e-08,0.589910263112666,0.101,0.199,0.000768975807968922,"Primed Microglia","Serf2"
1.35050003253626e-06,0.580872637284963,0.055,0.119,0.0243076500856202,"Primed Microglia","Atp5b"
6.40977122722174e-07,0.568804705187305,0.1,0.187,0.0115369472318764,"Primed Microglia","Ankrd13c"
2.64805604491067e-06,0.557384057975524,0.064,0.13,0.0476623607523471,"Primed Microglia","Fam111a"
